Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.977481505158,8.86295295423,0.0,8.40636832397,0.0,0.256687899222,0.256687899222,0.256687899222,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428075140674
 01/01  02:00:00,0.853589106755,9.02685980867,0.0,8.66444877358,0.0,0.26437092898,0.26437092898,0.26437092898,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336161304887
 01/01  03:00:00,0.825194807597,9.73825593714,0.0,9.40195818612,0.0,0.287058591326,0.287058591326,0.287058591326,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310352365516
 01/01  04:00:00,0.819997535343,10.0260703153,0.0,9.6836604596,0.0,0.295513730444,0.295513730444,0.295513730444,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.316829683819
 01/01  05:00:00,0.820834288021,10.1999505649,0.0,9.78488644695,0.0,0.298533179574,0.298533179574,0.298533179574,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.390450240495
 01/01  06:00:00,0.87855121602,10.5853287584,0.0,9.84957915493,0.0,0.300570194179,0.300570194179,0.300570194179,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708282494446
 01/01  07:00:00,1.12768970391,11.8457816586,0.0,10.5086066706,0.0,0.320819017955,0.320819017955,0.320819017955,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30543944468
 01/01  08:00:00,1.43962090122,11.4702796821,0.0,9.95885054559,0.0,0.303910840901,0.303910840901,0.303910840901,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.477707744
 01/01  09:00:00,1.37103446334,10.3295651636,0.0,8.85570803221,0.0,0.269834675006,0.269834675006,0.269834675006,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44534764184
 01/01  10:00:00,1.16121982208,8.83735066481,0.0,7.49472852015,0.0,0.228145336572,0.228145336572,0.228145336572,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31835826362
 01/01  11:00:00,1.15487987741,8.58678369066,0.0,7.39952129097,0.0,0.22559628006,0.22559628006,0.22559628006,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16242787233
 01/01  12:00:00,1.09930092333,6.05898321831,0.0,5.01534177212,0.0,0.152091224178,0.152091224178,0.152091224178,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01879931021
 01/01  13:00:00,1.04248232225,4.73641731307,0.0,3.80084864786,0.0,0.115300236083,0.115300236083,0.115300236083,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.911145003194
 01/01  14:00:00,0.992774321775,3.88750846189,0.0,3.01791828639,0.0,0.0915512192528,0.0915512192528,0.0915512192528,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.84432195695
 01/01  15:00:00,0.978906018763,3.39401595129,0.0,2.58637652243,0.0,0.0784928717663,0.0784928717663,0.0784928717663,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.780948398846
 01/01  16:00:00,1.05049948248,3.43168414748,0.0,2.6155345078,0.0,0.0793856475522,0.0793856475522,0.0793856475522,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.787974929266
 01/01  17:00:00,1.33771169922,4.26947702213,0.0,3.36518051194,0.0,0.10267952993,0.10267952993,0.10267952993,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.870970765755
 01/01  18:00:00,1.87225120867,5.88959161914,0.0,4.81588065199,0.0,0.147251501003,0.147251501003,0.147251501003,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03322551371
 01/01  19:00:00,2.20217370638,5.60500522229,0.0,4.36969855252,0.0,0.132991324837,0.132991324837,0.132991324837,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19135168677
 01/01  20:00:00,2.17453322527,5.87927713621,0.0,4.60901050558,0.0,0.140400560507,0.140400560507,0.140400560507,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22489644478
 01/01  21:00:00,2.03395970829,6.28431051526,0.0,5.09935158302,0.0,0.155459022138,0.155459022138,0.155459022138,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13802897981
 01/01  22:00:00,1.88632668359,6.96436397992,0.0,5.89707947752,0.0,0.179931338521,0.179931338521,0.179931338521,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02145019089
 01/01  23:00:00,1.58132504217,7.58911989948,0.0,6.70878792276,0.0,0.204714471212,0.204714471212,0.204714471212,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.840668253956
 01/01  24:00:00,1.27065757323,8.02989972307,0.0,7.35596085071,0.0,0.224434599834,0.224434599834,0.224434599834,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.639471835302
 01/02  01:00:00,0.939334056868,7.82295477111,0.0,7.38341642407,0.0,0.225114134008,0.225114134008,0.225114134008,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411028857457
 01/02  02:00:00,0.815153896267,7.89263412378,0.0,7.53889233918,0.0,0.229882742568,0.229882742568,0.229882742568,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327492054403
 01/02  03:00:00,0.784887743109,8.50049730113,0.0,8.17004504894,0.0,0.249362765265,0.249362765265,0.249362765265,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304506866682
 01/02  04:00:00,0.779964527084,8.75437563664,0.0,8.41799362109,0.0,0.256846126357,0.256846126357,0.256846126357,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310801843691
 01/02  05:00:00,0.786436610149,9.14621067071,0.0,8.74384149097,0.0,0.266806657318,0.266806657318,0.266806657318,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.37775530229
 01/02  06:00:00,0.83262459777,9.18071347506,0.0,8.4831094652,0.0,0.25874026853,0.25874026853,0.25874026853,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670136900868
 01/02  07:00:00,1.05484767108,9.72657376144,0.0,8.47828617921,0.0,0.258602497343,0.258602497343,0.258602497343,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21655203885
 01/02  08:00:00,1.34530077362,8.97707126372,0.0,7.57415028816,0.0,0.23075207522,0.23075207522,0.23075207522,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36919958302
 01/02  09:00:00,1.30354773002,9.06972109219,0.0,7.71007926959,0.0,0.234785242581,0.234785242581,0.234785242581,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33113233302
 01/02  10:00:00,1.1002622028,8.204856958,0.0,6.96776879922,0.0,0.212218775757,0.212218775757,0.212218775757,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21282427774
 01/02  11:00:00,1.09333146623,8.1455741184,0.0,7.04969864141,0.0,0.214964098169,0.214964098169,0.214964098169,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07104094963
 01/02  12:00:00,1.07208303702,6.7990015334,0.0,5.83106034928,0.0,0.177362097392,0.177362097392,0.177362097392,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.943099048148
 01/02  13:00:00,1.02092394582,5.52784921227,0.0,4.65909438925,0.0,0.141552365737,0.141552365737,0.141552365737,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.844331161007
 01/02  14:00:00,0.978863969717,4.80021013802,0.0,3.98916108006,0.0,0.121228899709,0.121228899709,0.121228899709,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.7857808394
 01/02  15:00:00,0.964703535026,4.15849125777,0.0,3.40430216524,0.0,0.103415960205,0.103415960205,0.103415960205,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.727498062518
 01/02  16:00:00,1.04053263778,4.26341225571,0.0,3.49981560979,0.0,0.106477775704,0.106477775704,0.106477775704,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.7354219355
 01/02  17:00:00,1.3161868109,4.68186432762,0.0,3.84188051373,0.0,0.117072560856,0.117072560856,0.117072560856,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.806658069467
 01/02  18:00:00,1.83207261361,5.66422758408,0.0,4.66696929567,0.0,0.14242483616,0.14242483616,0.14242483616,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.956772834955
 01/02  19:00:00,2.15598784767,5.12209071703,0.0,3.98450054525,0.0,0.121115781669,0.121115781669,0.121115781669,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09363518877
 01/02  20:00:00,2.12323967544,5.21485490328,0.0,4.05350170354,0.0,0.123351764866,0.123351764866,0.123351764866,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11598301388
 01/02  21:00:00,1.97332233721,5.33980452487,0.0,4.2585457672,0.0,0.129677021391,0.129677021391,0.129677021391,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03432880525
 01/02  22:00:00,1.81961314622,5.86164869946,0.0,4.88124276517,0.0,0.148824658615,0.148824658615,0.148824658615,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.93457162277
 01/02  23:00:00,1.51165182785,6.17026250517,0.0,5.35757717575,0.0,0.163334468822,0.163334468822,0.163334468822,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.773021606648
 01/02  24:00:00,1.2095235472,6.49841902781,0.0,5.86632870951,0.0,0.17883541914,0.17883541914,0.17883541914,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.597623281256
 01/03  01:00:00,0.918309929867,7.13259812402,0.0,6.69069542384,0.0,0.204090007007,0.204090007007,0.204090007007,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.4133932106
 01/03  02:00:00,0.800909927729,7.42779556383,0.0,7.07248317046,0.0,0.21563877403,0.21563877403,0.21563877403,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.329062663162
 01/03  03:00:00,0.761032767324,7.72847688275,0.0,7.39744383984,0.0,0.225507789481,0.225507789481,0.225507789481,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.305087657402
 01/03  04:00:00,0.757821622563,8.03630363724,0.0,7.69921622872,0.0,0.234703221837,0.234703221837,0.234703221837,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311507236651
 01/03  05:00:00,0.764026497585,8.42010190835,0.0,8.01689158944,0.0,0.244396544753,0.244396544753,0.244396544753,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378596441462
 01/03  06:00:00,0.822650767257,8.86020069316,0.0,8.16103380151,0.0,0.248766438017,0.248766438017,0.248766438017,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.671699782646
 01/03  07:00:00,1.0561238079,9.77569661858,0.0,8.52474223514,0.0,0.259878634162,0.259878634162,0.259878634162,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21921884005
 01/03  08:00:00,1.37133336256,9.82741276589,0.0,8.42140549462,0.0,0.25678466416,0.25678466416,0.25678466416,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37228587873
 01/03  09:00:00,1.30354233006,9.07331920293,0.0,7.71088558647,0.0,0.234779842612,0.234779842612,0.234779842612,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33392412687
 01/03  10:00:00,1.1093056636,8.50681226916,0.0,7.26746123471,0.0,0.221262236552,0.221262236552,0.221262236552,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.2150871534
 01/03  11:00:00,1.12557795814,9.20198120493,0.0,8.1038353418,0.0,0.247210590086,0.247210590086,0.247210590086,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07331133577
 01/03  12:00:00,1.07702981383,6.97675166042,0.0,6.00769052255,0.0,0.182308874197,0.182308874197,0.182308874197,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.944219001889
 01/03  13:00:00,1.03669192015,6.04838533161,0.0,5.17785708534,0.0,0.157320340073,0.157320340073,0.157320340073,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.846104584258
 01/03  14:00:00,0.991272090707,5.21329841736,0.0,4.40054323252,0.0,0.1336370207,0.1336370207,0.1336370207,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.787486966293
 01/03  15:00:00,0.983128578948,4.7668935764,0.0,4.01128563925,0.0,0.121841004127,0.121841004127,0.121841004127,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.728916907138
 01/03  16:00:00,1.05574975668,4.77068588379,0.0,4.00563035365,0.0,0.1216948946,0.1216948946,0.1216948946,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.736880819717
 01/03  17:00:00,1.37002365432,6.43936724861,0.0,5.59717535797,0.0,0.170909404283,0.170909404283,0.170909404283,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.808866146217
 01/03  18:00:00,1.93226211788,8.9360808069,0.0,7.9373802732,0.0,0.242614340429,0.242614340429,0.242614340429,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.958215080246
 01/03  19:00:00,2.24233321307,7.96070849467,0.0,6.82380802872,0.0,0.207461147065,0.207461147065,0.207461147065,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09294548295
 01/03  20:00:00,2.2085115833,8.01142315386,0.0,6.85058305165,0.0,0.208623672726,0.208623672726,0.208623672726,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11546991636
 01/03  21:00:00,2.07155008393,8.55541426745,0.0,7.47465962471,0.0,0.227904768103,0.227904768103,0.227904768103,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.0338246903
 01/03  22:00:00,1.9254612046,9.32773392843,0.0,8.34836697235,0.0,0.254672717,0.254672717,0.254672717,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.933532644563
 01/03  23:00:00,1.62622303831,9.92041380578,0.0,9.10956353042,0.0,0.277905679284,0.277905679284,0.277905679284,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.771186552597
 01/03  24:00:00,1.3249912607,10.278124348,0.0,9.6478894241,0.0,0.294303132645,0.294303132645,0.294303132645,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.595767886884
 01/04  01:00:00,1.03492223525,10.9473721303,0.0,10.5079602372,0.0,0.32070231239,0.32070231239,0.32070231239,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.410902403548
 01/04  02:00:00,0.91854323997,11.2737344558,0.0,10.9207677736,0.0,0.33327208627,0.33327208627,0.33327208627,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.326716951971
 01/04  03:00:00,0.886661302341,11.8332766008,0.0,11.5044641928,0.0,0.351136324497,0.351136324497,0.351136324497,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.302867022465
 01/04  04:00:00,0.86991632808,11.6996502651,0.0,11.3649048108,0.0,0.346797927353,0.346797927353,0.346797927353,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.309165282394
 01/04  05:00:00,0.873682133311,12.003692787,0.0,11.6029315772,0.0,0.35405218048,0.35405218048,0.35405218048,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.376147332381
 01/04  06:00:00,0.930804839872,12.3891686124,0.0,11.6916028666,0.0,0.356920510632,0.356920510632,0.356920510632,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670098636845
 01/04  07:00:00,1.15531637586,13.0158812688,0.0,11.7653850653,0.0,0.359071202125,0.359071202125,0.359071202125,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21876066019
 01/04  08:00:00,1.46192058058,12.7891496377,0.0,11.3834297546,0.0,0.347371882177,0.347371882177,0.347371882177,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37199849056
 01/04  09:00:00,1.39383282708,12.0207460328,0.0,10.6582562625,0.0,0.325070339637,0.325070339637,0.325070339637,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33398028068
 01/04  10:00:00,1.16888693221,10.4588984487,0.0,9.21993241511,0.0,0.280843505166,0.280843505166,0.280843505166,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21470215258
 01/04  11:00:00,1.1688538521,10.616224536,0.0,9.51831362482,0.0,0.290486484046,0.290486484046,0.290486484046,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07307638384
 01/04  12:00:00,1.11901155489,8.34569945151,0.0,7.3764851262,0.0,0.224290615266,0.224290615266,0.224290615266,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.94437218933
 01/04  13:00:00,1.06057978964,6.83049056594,0.0,5.96021220183,0.0,0.181208209566,0.181208209566,0.181208209566,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.845854702102
 01/04  14:00:00,1.01723595955,6.05954189588,0.0,5.24681561697,0.0,0.159600889538,0.159600889538,0.159600889538,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.787458060361
 01/04  15:00:00,1.01209106625,5.71100676444,0.0,4.95542395105,0.0,0.150803491425,0.150803491425,0.150803491425,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.728891783373
 01/04  16:00:00,1.08806265631,5.8249376146,0.0,5.06005233144,0.0,0.154007794237,0.154007794237,0.154007794237,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.736710572748
 01/04  17:00:00,1.3727758283,6.53474233771,0.0,5.69342416121,0.0,0.173661578263,0.173661578263,0.173661578263,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.807992432074
 01/04  18:00:00,1.94464484259,9.33332371534,0.0,8.33381743142,0.0,0.254997065138,0.254997065138,0.254997065138,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.959020830467
 01/04  19:00:00,2.27202644516,8.92417146097,0.0,7.78583346303,0.0,0.237154379153,0.237154379153,0.237154379153,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09438301494
 01/04  20:00:00,2.24703455196,9.26369329245,0.0,8.10191496425,0.0,0.247146641392,0.247146641392,0.247146641392,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11640814234
 01/04  21:00:00,2.10036041302,9.49622319717,0.0,8.41526533605,0.0,0.256715097192,0.256715097192,0.256715097192,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03402790868
