Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.661043960466,1.04352960535,0.0,0.666092819347,0.0,0.0184763199519,0.0184763199519,0.0184763199519,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351286870215
 01/01  02:00:00,0.564165825186,1.49383944279,0.0,1.18968988275,0.0,0.0330000418541,0.0330000418541,0.0330000418541,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072375771
 01/01  03:00:00,0.531891379009,1.88724695211,0.0,1.60281205265,0.0,0.0444593717983,0.0444593717983,0.0444593717983,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636870939
 01/01  04:00:00,0.528039042834,2.22983611639,0.0,1.94027711391,0.0,0.0538200979063,0.0538200979063,0.0538200979063,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.26609596087
 01/01  05:00:00,0.534500656329,2.55612250207,0.0,2.21000706475,0.0,0.0613019633875,0.0613019633875,0.0613019633875,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538715257
 01/01  06:00:00,0.590639207512,2.94728938421,0.0,2.35028403389,0.0,0.065193015938,0.065193015938,0.065193015938,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811543009
 01/01  07:00:00,0.788840121153,3.31358891714,0.0,2.2470989328,0.0,0.0623308308392,0.0623308308392,0.0623308308392,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810175
 01/01  08:00:00,1.07923218994,3.11674059095,0.0,1.91665153084,0.0,0.0531647630653,0.0531647630653,0.0531647630653,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860194
 01/01  09:00:00,1.01960657516,2.3679438189,0.0,1.20008986319,0.0,0.0332885202171,0.0332885202171,0.0332885202171,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.877096305345,1.61777533374,0.0,0.55500279788,0.0,0.0153948653551,0.0153948653551,0.0153948653551,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051684292
 01/01  11:00:00,0.877416936899,1.41679708493,0.0,0.476264264623,0.0,0.013210787865,0.013210787865,0.013210787865,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917753710319
 01/01  12:00:00,0.882123097729,0.826790053627,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.804003964742
