Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.912729645691,1.9607617425,0.0,1.93279436413,0.0,0.0511049589226,0.0511049589226,0.0511049589226,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.736994275542,2.42623720454,0.0,2.40048661596,0.0,0.0630292011314,0.0630292011314,0.0630292011314,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844198612
 01/01  03:00:00,0.683128721932,2.90833208991,0.0,2.88288005888,0.0,0.0752000167305,0.0752000167305,0.0752000167305,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417571311
 01/01  04:00:00,0.683152245612,3.26656095665,0.0,3.24146719468,0.0,0.0841095108746,0.0841095108746,0.0841095108746,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072577478
 01/01  05:00:00,0.736782412492,3.53167186458,0.0,3.50752602283,0.0,0.0906253720724,0.0906253720724,0.0906253720724,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188693
 01/01  06:00:00,1.00134495646,3.46742896509,0.0,3.44048414632,0.0,0.088798692457,0.088798692457,0.088798692457,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.61622959768,3.31918120057,0.0,3.28804911218,0.0,0.0844366717051,0.0844366717051,0.0844366717051,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.04146732955,3.0807885269,0.0,3.0477083505,0.0,0.0781316221919,0.0781316221919,0.0781316221919,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,1.987237141,3.10781511379,0.0,3.07984773542,0.0,0.0791249087903,0.0791249087903,0.0791249087903,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.73158175945,2.65320038329,0.0,2.62939788272,0.0,0.0674765346505,0.0674765346505,0.0674765346505,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.63193231422,2.90748786764,0.0,2.88312557166,0.0,0.0746417027756,0.0746417027756,0.0746417027756,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958449663
 01/01  12:00:00,1.5391366288,2.28400964656,0.0,2.25963988665,0.0,0.0586143044815,0.0586143044815,0.0586143044815,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266163658
 01/01  13:00:00,1.4400726233,2.01939545969,0.0,1.99543621641,0.0,0.0519782482312,0.0519782482312,0.0519782482312,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750166639
 01/01  14:00:00,1.35934788818,1.64231655059,0.0,1.61752881011,0.0,0.042268091847,0.042268091847,0.042268091847,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995971
 01/01  15:00:00,1.31023589762,1.4436971608,0.0,1.41751366378,0.0,0.0371719960883,0.0371719960883,0.0371719960883,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433622
 01/01  16:00:00,1.37973525805,1.30660295505,0.0,1.27896398998,0.0,0.0335742739236,0.0335742739236,0.0335742739236,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.68428633979,1.0908364198,0.0,1.05814436822,0.0,0.0278613807792,0.0278613807792,0.0278613807792,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.26714110151,1.11719442876,0.0,1.07747881085,0.0,0.0283990716538,0.0283990716538,0.0283990716538,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680399269
 01/01  19:00:00,2.68759142335,0.553631486303,0.0,0.510512312332,0.0,0.0134174163886,0.0134174163886,0.0134174163886,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.66412780822
 01/01  20:00:00,2.66804055387,0.400523208777,0.0,0.356015742204,0.0,0.00933276821029,0.00933276821029,0.00933276821029,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909667207
 01/01  21:00:00,2.46128032556,0.436204372269,0.0,0.39016679826,0.0,0.0102290069001,0.0102290069001,0.0102290069001,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498746474
 01/01  22:00:00,2.21928481664,0.474312306211,0.0,0.429349539376,0.0,0.0112627387329,0.0112627387329,0.0112627387329,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411881
 01/01  23:00:00,1.78241735811,0.524050804433,0.0,0.485141291899,0.0,0.0127357902197,0.0127357902197,0.0127357902197,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370614241
 01/01  24:00:00,1.33545088987,0.749628297815,0.0,0.715816655425,0.0,0.0187937723492,0.0187937723492,0.0187937723492,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805545
 01/02  01:00:00,0.86850569194,0.940323793815,0.0,0.91235641544,0.0,0.0240188721704,0.0240188721704,0.0240188721704,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281594
 01/02  02:00:00,0.693854927502,1.14142876623,0.0,1.11567817766,0.0,0.0293965813961,0.0293965813961,0.0293965813961,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.092524715632
 01/02  03:00:00,0.633021821982,1.23163793327,0.0,1.20618590224,0.0,0.0317832830463,0.0317832830463,0.0317832830463,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292928
 01/02  04:00:00,0.626657138027,1.29262732173,0.0,1.26753355976,0.0,0.0333585672558,0.0333585672558,0.0333585672558,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979536
 01/02  05:00:00,0.673449222726,1.50367782571,0.0,1.47953198396,0.0,0.0389178086569,0.0389178086569,0.0389178086569,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717959
 01/02  06:00:00,0.92345628987,1.58042750847,0.0,1.5534826897,0.0,0.0407673132445,0.0407673132445,0.0407673132445,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500133
 01/02  07:00:00,1.5068080805,1.73921610035,0.0,1.70808401196,0.0,0.0447187731138,0.0447187731138,0.0447187731138,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146168
 01/02  08:00:00,1.90227561625,1.26200278274,0.0,1.22892260634,0.0,0.0320263203382,0.0320263203382,0.0320263203382,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.78433720605
