Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.952168948805,8.86063305271,0.0,8.40347763528,0.0,0.231375342869,0.231375342869,0.231375342869,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428645927851
 01/01  02:00:00,0.83261285821,9.20324683223,0.0,8.84001608912,0.0,0.243394680435,0.243394680435,0.243394680435,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336981012907
 01/01  03:00:00,0.791486953134,9.53825475805,0.0,9.20161683919,0.0,0.253350736863,0.253350736863,0.253350736863,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310692533351
 01/01  04:00:00,0.78235353044,9.70916488995,0.0,9.36574504671,0.0,0.257869725541,0.257869725541,0.257869725541,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317839671373
 01/01  05:00:00,0.784453298954,9.93750517283,0.0,9.52128278948,0.0,0.262152190507,0.262152190507,0.262152190507,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391608505905
 01/01  06:00:00,0.836634400221,10.1309057426,0.0,9.39420706444,0.0,0.258653378381,0.258653378381,0.258653378381,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.70923156918
 01/01  07:00:00,1.05858422278,10.4800989731,0.0,9.1421542634,0.0,0.25171353683,0.25171353683,0.25171353683,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30620916633
 01/01  08:00:00,1.38227839812,10.4681253592,0.0,8.95528229852,0.0,0.246568337804,0.246568337804,0.246568337804,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47912166812
 01/01  09:00:00,1.33158816674,9.8429845433,0.0,8.36763140506,0.0,0.230388378404,0.230388378404,0.230388378404,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44684364866
 01/01  10:00:00,1.14959228813,9.20761961328,0.0,7.86385657767,0.0,0.216517802617,0.216517802617,0.216517802617,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31949915456
 01/01  11:00:00,1.17955440003,10.2775775429,0.0,9.08975462553,0.0,0.250270802679,0.250270802679,0.250270802679,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16298839003
 01/01  12:00:00,1.16792736,9.06073173273,0.0,8.01639407063,0.0,0.22071766085,0.22071766085,0.22071766085,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01949552613
 01/01  13:00:00,1.13660138715,8.54015802057,0.0,7.60604129353,0.0,0.209419300978,0.209419300978,0.209419300978,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.909693065017
 01/01  14:00:00,1.10093728474,8.12033531113,0.0,7.25355451847,0.0,0.199714182219,0.199714182219,0.199714182219,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.84151257411
 01/01  15:00:00,1.09094471014,7.72423941621,0.0,6.92004476284,0.0,0.190531563141,0.190531563141,0.190531563141,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.777503623353
 01/01  16:00:00,1.14491956442,7.1252571084,0.0,6.31256789328,0.0,0.173805729494,0.173805729494,0.173805729494,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.784514504704
 01/01  17:00:00,1.41745091649,7.52614798917,0.0,6.62538991121,0.0,0.182418747199,0.182418747199,0.182418747199,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.867432333528
 01/01  18:00:00,1.94042776552,8.89501156182,0.0,7.82427740034,0.0,0.215428057856,0.215428057856,0.215428057856,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03024870803
 01/01  19:00:00,2.25459471042,7.96704241943,0.0,6.73411582965,0.0,0.185412328875,0.185412328875,0.185412328875,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18897160677
 01/01  20:00:00,2.20324720994,7.40929017911,0.0,6.14218559586,0.0,0.169114545178,0.169114545178,0.169114545178,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.2217343974
 01/01  21:00:00,2.05119434928,7.45508214589,0.0,6.27217800263,0.0,0.172693663133,0.172693663133,0.172693663133,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13597419082
 01/01  22:00:00,1.8825961282,7.46590702492,0.0,6.3995554668,0.0,0.176200783128,0.176200783128,0.176200783128,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.0205172466
 01/01  23:00:00,1.56683512423,7.78887372509,0.0,6.90889426399,0.0,0.19022455328,0.19022455328,0.19022455328,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.840315738338
 01/01  24:00:00,1.25033003683,8.08718164484,0.0,7.41310254362,0.0,0.204107063432,0.204107063432,0.204107063432,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.63961206417
 01/02  01:00:00,0.935682190045,8.48440203292,0.0,8.04343793197,0.0,0.221462267186,0.221462267186,0.221462267186,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412454611365
 01/02  02:00:00,0.815627971353,8.72095359291,0.0,8.36648512882,0.0,0.230356817654,0.230356817654,0.230356817654,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328218733889
 01/02  03:00:00,0.769842456283,8.8411254923,0.0,8.51033504785,0.0,0.23431747844,0.23431747844,0.23431747844,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304845058948
 01/02  04:00:00,0.761231631864,8.98495449104,0.0,8.64819555845,0.0,0.238113231138,0.238113231138,0.238113231138,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311178760729
 01/02  05:00:00,0.756362256918,9.00088608188,0.0,8.59804073448,0.0,0.236732304086,0.236732304086,0.236732304086,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378231469949
 01/02  06:00:00,0.805752652874,9.11949719739,0.0,8.42138253728,0.0,0.231868323634,0.231868323634,0.231868323634,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.67064755112
 01/02  07:00:00,1.0364830723,9.97458730885,0.0,8.7253627922,0.0,0.24023789856,0.24023789856,0.24023789856,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21748897327
 01/02  08:00:00,1.35334618931,10.0771773741,0.0,8.67304765225,0.0,0.238797490914,0.238797490914,0.238797490914,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37040832931
 01/02  09:00:00,1.28899698011,9.35937240703,0.0,7.99884555848,0.0,0.220234492667,0.220234492667,0.220234492667,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33201735896
 01/02  10:00:00,1.10455216102,9.10107591358,0.0,7.86352720762,0.0,0.216508733977,0.216508733977,0.216508733977,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21328482491
 01/02  11:00:00,1.11445549662,9.67075120251,0.0,8.57464448763,0.0,0.236088128559,0.236088128559,0.236088128559,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07127218752
 01/02  12:00:00,1.09857920759,8.37170601462,0.0,7.40406637259,0.0,0.203858267961,0.203858267961,0.203858267961,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.942797506057
 01/02  13:00:00,1.07336775789,7.91417723362,0.0,7.04587844752,0.0,0.193996177816,0.193996177816,0.193996177816,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.843875124088
