Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.93715882552,7.69769994391,0.0,7.2424228059,0.0,0.216365219584,0.216365219584,0.216365219584,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.426767648429
 01/01  02:00:00,0.807448742025,7.66357724351,0.0,7.30166116348,0.0,0.218230564251,0.218230564251,0.218230564251,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.335666349831
 01/01  03:00:00,0.758086466299,7.69407210523,0.0,7.3579886768,0.0,0.219950250028,0.219950250028,0.219950250028,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310138042926
 01/01  04:00:00,0.753015552841,7.98598394193,0.0,7.64322587853,0.0,0.228531747942,0.228531747942,0.228531747942,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317177891533
 01/01  05:00:00,0.752221511359,8.10570903913,0.0,7.689933689,0.0,0.229920402912,0.229920402912,0.229920402912,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391161472681
 01/01  06:00:00,0.800548032016,8.18303924766,0.0,7.44661925115,0.0,0.222567010176,0.222567010176,0.222567010176,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708952887515
 01/01  07:00:00,1.01933581335,8.44787598269,0.0,7.11006710391,0.0,0.212465127399,0.212465127399,0.212465127399,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.3060733354
 01/01  08:00:00,1.35250917973,8.76696767095,0.0,7.25407197473,0.0,0.216799119408,0.216799119408,0.216799119408,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47917430368
 01/01  09:00:00,1.32021379064,8.80075600381,0.0,7.32508680941,0.0,0.2190140023,0.2190140023,0.2190140023,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44715970481
 01/01  10:00:00,1.12039040129,7.62094296144,0.0,6.2773446951,0.0,0.187315915775,0.187315915775,0.187315915775,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31933438529
 01/01  11:00:00,1.16129824649,8.95002261093,0.0,7.76237054957,0.0,0.232014649148,0.232014649148,0.232014649148,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.162817534
 01/01  12:00:00,1.19365359218,9.26912323094,0.0,8.22377860212,0.0,0.246443893035,0.246443893035,0.246443893035,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02050249284
 01/01  13:00:00,1.15744816125,8.63303218218,0.0,7.69945175151,0.0,0.230266075083,0.230266075083,0.230266075083,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.90915676865
 01/01  14:00:00,1.08038614956,6.87247186174,0.0,6.00709618353,0.0,0.179163047035,0.179163047035,0.179163047035,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.840107459663
 01/01  15:00:00,1.05851324732,6.10708324612,0.0,5.30303919226,0.0,0.158100100327,0.158100100327,0.158100100327,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.777353023851
 01/01  16:00:00,1.1302748573,6.15020316462,0.0,5.33688262125,0.0,0.159161022372,0.159161022372,0.159161022372,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.785145832948
 01/01  17:00:00,1.40728595492,6.66517915723,0.0,5.76377446919,0.0,0.172253785637,0.172253785637,0.172253785637,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.868078943609
 01/01  18:00:00,1.93709295991,8.15571966846,0.0,7.08475160896,0.0,0.212093252246,0.212093252246,0.212093252246,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03048260606
 01/01  19:00:00,2.25264247555,7.3832140444,0.0,6.15031305862,0.0,0.18346009401,0.18346009401,0.18346009401,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18894600278
 01/01  20:00:00,2.21744868965,7.41090547666,0.0,6.14345406832,0.0,0.183316024884,0.183316024884,0.183316024884,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22208122249
 01/01  21:00:00,2.06902854161,7.55913805303,0.0,6.37610651637,0.0,0.190527855462,0.190527855462,0.190527855462,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13610158423
 01/01  22:00:00,1.90453952673,7.69562050372,0.0,6.6302966933,0.0,0.198144181658,0.198144181658,0.198144181658,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01948949889
 01/01  23:00:00,1.58916949128,7.98794150591,0.0,7.10898967629,0.0,0.212558920323,0.212558920323,0.212558920323,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.839288106855
 01/01  24:00:00,1.26816624701,8.09489082561,0.0,7.42163750465,0.0,0.221943273611,0.221943273611,0.221943273611,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.638786283917
 01/02  01:00:00,0.954235514373,8.46565546856,0.0,8.02583123498,0.0,0.240015591513,0.240015591513,0.240015591513,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411314743995
 01/02  02:00:00,0.831225309818,8.57516035073,0.0,8.22139456563,0.0,0.245954156119,0.245954156119,0.245954156119,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327516054893
 01/02  03:00:00,0.786070047342,8.70932015121,0.0,8.37955940596,0.0,0.250545069498,0.250545069498,0.250545069498,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.303815359753
 01/02  04:00:00,0.775025509406,8.76015870292,0.0,8.42435704961,0.0,0.25190710868,0.25190710868,0.25190710868,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310221481447
 01/02  05:00:00,0.773539385882,8.89346610345,0.0,8.4914895515,0.0,0.253909433051,0.253909433051,0.253909433051,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377362674503
 01/02  06:00:00,0.83818375597,9.53298325816,0.0,8.83547374367,0.0,0.26429942673,0.26429942673,0.26429942673,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670042405496
 01/02  07:00:00,1.07643982738,10.6121886861,0.0,9.36370887974,0.0,0.280194653646,0.280194653646,0.280194653646,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21674426299
 01/02  08:00:00,1.38707546273,10.5094826329,0.0,9.1063411334,0.0,0.272526764333,0.272526764333,0.272526764333,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36942010699
 01/02  09:00:00,1.29517473652,8.94702565299,0.0,7.58763519341,0.0,0.22641224908,0.22641224908,0.22641224908,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33088097
 01/02  10:00:00,1.0795434613,7.65682388138,0.0,6.4196458769,0.0,0.191500034257,0.191500034257,0.191500034257,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21291412343
 01/02  11:00:00,1.08720467652,8.07858238443,0.0,6.98181760009,0.0,0.208837308458,0.208837308458,0.208837308458,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07193025698
 01/02  12:00:00,1.12551639079,8.68069425525,0.0,7.71139348381,0.0,0.230795451166,0.230795451166,0.230795451166,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.944458635465
 01/02  13:00:00,1.0863298294,7.78266330049,0.0,6.9141881784,0.0,0.206958249319,0.206958249319,0.206958249319,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.844051460078
 01/02  14:00:00,1.05307590606,7.35591970919,0.0,6.54748097365,0.0,0.195440836051,0.195440836051,0.195440836051,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.783170516992
 01/02  15:00:00,1.05165171936,7.12222638511,0.0,6.37020573471,0.0,0.190364144541,0.190364144541,0.190364144541,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.725329620387
 01/02  16:00:00,1.14120978491,7.68592316707,0.0,6.92465233834,0.0,0.207154922839,0.207154922839,0.207154922839,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.73309611832
