Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.893459261368,6.73216469705,0.0,6.27116077198,0.0,0.172665655432,0.172665655432,0.172665655432,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.432494435492
 01/01  02:00:00,0.777851325358,7.21745316931,0.0,6.85109492366,0.0,0.188633147583,0.188633147583,0.188633147583,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.340108515447
 01/01  03:00:00,0.737503691679,7.58096265965,0.0,7.2409622392,0.0,0.199367475408,0.199367475408,0.199367475408,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.314055034946
 01/01  04:00:00,0.728029648468,7.73877556601,0.0,7.39271921971,0.0,0.20354584357,0.20354584357,0.20354584357,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.32047617443
 01/01  05:00:00,0.728976615844,7.92510412671,0.0,7.50638759789,0.0,0.206675507397,0.206675507397,0.206675507397,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.394102651368
 01/01  06:00:00,0.785685944506,8.2831861536,0.0,7.54377562759,0.0,0.207704922665,0.207704922665,0.207704922665,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711943417023
 01/01  07:00:00,1.00951311297,8.70061470574,0.0,7.35990742278,0.0,0.202642427021,0.202642427021,0.202642427021,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30897173957
 01/01  08:00:00,1.34898414577,9.26144410621,0.0,7.74604581921,0.0,0.213274085454,0.213274085454,0.213274085454,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48167689446
 01/01  09:00:00,1.295492097,8.53422696147,0.0,7.05663382427,0.0,0.194292308667,0.194292308667,0.194292308667,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44908364761
 01/01  10:00:00,1.12281339103,8.23730384783,0.0,6.89125569426,0.0,0.189738905517,0.189738905517,0.189738905517,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32178427252
 01/01  11:00:00,1.12230190002,8.20000808078,0.0,7.01036233838,0.0,0.193018302669,0.193018302669,0.193018302669,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16481121505
 01/01  12:00:00,1.10815369009,6.89144045287,0.0,5.8454337082,0.0,0.160943990946,0.160943990946,0.160943990946,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.0211646087
 01/01  13:00:00,1.06892685034,6.08477246608,0.0,5.14812399992,0.0,0.141744764169,0.141744764169,0.141744764169,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.912224804144
 01/01  14:00:00,1.02512948412,5.36981691507,0.0,4.50023971306,0.0,0.123906381595,0.123906381595,0.123906381595,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.844308983458
 01/01  15:00:00,1.0185176097,5.09660257935,0.0,4.28951589516,0.0,0.118104462707,0.118104462707,0.118104462707,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.780395654169
 01/01  16:00:00,1.08059656482,4.79196778611,0.0,3.97637734729,0.0,0.109482729893,0.109482729893,0.109482729893,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.787415728396
 01/01  17:00:00,1.34224497197,4.79761353233,0.0,3.89393432489,0.0,0.107212802679,0.107212802679,0.107212802679,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.87035346301
 01/01  18:00:00,1.85157583557,5.67108090502,0.0,4.59720403578,0.0,0.126576127906,0.126576127906,0.126576127906,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03339141578
 01/01  19:00:00,2.17144643441,4.95084815923,0.0,3.71419733206,0.0,0.10226405287,0.10226405287,0.10226405287,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19269584416
 01/01  20:00:00,2.1362293597,4.98023316751,0.0,3.70811894588,0.0,0.102096694932,0.102096694932,0.102096694932,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22674403578
 01/01  21:00:00,1.97935027657,4.84962260765,0.0,3.66282451317,0.0,0.100849590418,0.100849590418,0.100849590418,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13986814205
 01/01  22:00:00,1.8166871907,5.07531487231,0.0,4.00576416922,0.0,0.11029184563,0.11029184563,0.11029184563,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02371639157
 01/01  23:00:00,1.49536640776,5.19653472281,0.0,4.31317359174,0.0,0.118755836804,0.118755836804,0.118755836804,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.843697408308
 01/01  24:00:00,1.17548146964,5.37188830819,0.0,4.69462678669,0.0,0.12925849625,0.12925849625,0.12925849625,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.642794484455
 01/02  01:00:00,0.854446712282,5.5370595569,0.0,5.09299164799,0.0,0.140226789423,0.140226789423,0.140226789423,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.415558419329
 01/02  02:00:00,0.732529810455,5.70598282561,0.0,5.3483867957,0.0,0.147258656756,0.147258656756,0.147258656756,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.331346299714
 01/02  03:00:00,0.689800668118,5.93708388565,0.0,5.60324318406,0.0,0.154275690274,0.154275690274,0.154275690274,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.307895316087
 01/02  04:00:00,0.678352370581,5.97814139216,0.0,5.63804758854,0.0,0.155233969855,0.155233969855,0.155233969855,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.314513631753
 01/02  05:00:00,0.675095679431,6.05241824839,0.0,5.64646491857,0.0,0.155465726599,0.155465726599,0.155465726599,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.381339452369
 01/02  06:00:00,0.726431772797,6.24168539065,0.0,5.54047382213,0.0,0.152547443557,0.152547443557,0.152547443557,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.673744459526
 01/02  07:00:00,0.942053874886,6.54799954173,0.0,5.29572487699,0.0,0.145808701151,0.145808701151,0.145808701151,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.22053912136
 01/02  08:00:00,1.26558389623,6.89273227758,0.0,5.48554954647,0.0,0.151035197834,0.151035197834,0.151035197834,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37346133857
 01/02  09:00:00,1.20806706312,6.42357065978,0.0,5.05949714291,0.0,0.139304575676,0.139304575676,0.139304575676,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33556402728
 01/02  10:00:00,1.02492550014,6.21246012364,0.0,4.97151263264,0.0,0.136882073098,0.136882073098,0.136882073098,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21668360996
 01/02  11:00:00,1.02721232231,6.50541258516,0.0,5.40600060765,0.0,0.148844954248,0.148844954248,0.148844954248,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07457745015
 01/02  12:00:00,1.02015032565,5.52652809513,0.0,4.55555474138,0.0,0.125429386022,0.125429386022,0.125429386022,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.946131217779
 01/02  13:00:00,0.994800570992,5.06386634999,0.0,4.19234362481,0.0,0.115428990914,0.115428990914,0.115428990914,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.84709906317
 01/02  14:00:00,0.955524886821,4.36824255339,0.0,3.55532649293,0.0,0.0978898168134,0.0978898168134,0.0978898168134,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.7876478419
 01/02  15:00:00,0.934041042809,3.39819323525,0.0,2.6423824317,0.0,0.0727534679878,0.0727534679878,0.0727534679878,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.729119773533
 01/02  16:00:00,0.993946799683,2.94072822395,0.0,2.17525580722,0.0,0.0598919376079,0.0598919376079,0.0598919376079,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.73729770632
 01/02  17:00:00,1.25844696999,2.99663270566,0.0,2.15494520276,0.0,0.0593327199515,0.0593327199515,0.0593327199515,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.808361758462
 01/02  18:00:00,1.7588831729,3.51444127192,0.0,2.51460717484,0.0,0.0692353954528,0.0692353954528,0.0692353954528,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.959348643632
 01/02  19:00:00,2.09094237877,3.17750670626,0.0,2.03645562889,0.0,0.0560703127705,0.0560703127705,0.0560703127705,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09709609437
