Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.857047988837,4.8088559685,0.0,4.34939007576,0.0,0.136254382901,0.136254382901,0.136254382901,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430956403155
 01/01  02:00:00,0.751906164011,5.56188339961,0.0,5.19634509076,0.0,0.162687986236,0.162687986236,0.162687986236,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.339288578644
 01/01  03:00:00,0.706847552835,5.71738111353,0.0,5.37789410561,0.0,0.168711336564,0.168711336564,0.168711336564,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.313541622418
 01/01  04:00:00,0.700168936591,5.95415985278,0.0,5.60892807688,0.0,0.175685131692,0.175685131692,0.175685131692,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.31965160404
 01/01  05:00:00,0.69323496842,5.87390437772,0.0,5.45592557138,0.0,0.170933859973,0.170933859973,0.170933859973,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393364928882
 01/01  06:00:00,0.732556678638,5.6790045468,0.0,4.94036311385,0.0,0.154575656798,0.154575656798,0.154575656798,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711174323956
 01/01  07:00:00,0.951546353419,5.96688629038,0.0,4.62676390809,0.0,0.144675667467,0.144675667467,0.144675667467,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.3083868389
 01/01  08:00:00,1.27580366232,5.99405020478,0.0,4.47864771023,0.0,0.140093602005,0.140093602005,0.140093602005,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48168110201
 01/01  09:00:00,1.23174615916,5.65033332695,0.0,4.17206492872,0.0,0.130546370821,0.130546370821,0.130546370821,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44975890865
 01/01  10:00:00,1.07394538591,5.8521772644,0.0,4.5054669521,0.0,0.140870900398,0.140870900398,0.140870900398,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32244643125
 01/01  11:00:00,1.07856686693,5.9560744386,0.0,4.76541525811,0.0,0.14928326958,0.14928326958,0.14928326958,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16582465313
 01/01  12:00:00,1.07856437458,5.24576831259,0.0,4.19888405485,0.0,0.131354675436,0.131354675436,0.131354675436,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02204212176
 01/01  13:00:00,1.05386578158,4.99199933694,0.0,4.05528754734,0.0,0.126683695414,0.126683695414,0.126683695414,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.912288127593
 01/01  14:00:00,1.02480302795,4.820628627,0.0,3.95089086662,0.0,0.123579925424,0.123579925424,0.123579925424,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.844469541825
 01/01  15:00:00,1.02297558979,4.72528597388,0.0,3.9181233241,0.0,0.122562442798,0.122562442798,0.122562442798,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.780471619764
 01/01  16:00:00,1.09389584734,4.74030611955,0.0,3.92484801656,0.0,0.122782012411,0.122782012411,0.122782012411,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.787283392573
 01/01  17:00:00,1.35358940278,4.69206943616,0.0,3.78917975553,0.0,0.118557233495,0.118557233495,0.118557233495,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.869563936202
 01/01  18:00:00,1.85208914809,5.13379397641,0.0,4.0611366922,0.0,0.127089440425,0.127089440425,0.127089440425,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03217183075
 01/01  19:00:00,2.17264267562,4.54876596999,0.0,3.31293007333,0.0,0.10346029408,0.10346029408,0.10346029408,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19188091365
 01/01  20:00:00,2.1335460596,4.45517265268,0.0,3.18455432131,0.0,0.0994133948368,0.0994133948368,0.0994133948368,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22524814551
 01/01  21:00:00,1.97987547834,4.43015895678,0.0,3.24388451787,0.0,0.10137479219,0.10137479219,0.10137479219,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13934448648
 01/01  22:00:00,1.81587291242,4.56769279372,0.0,3.49886949084,0.0,0.109477567352,0.109477567352,0.109477567352,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02298899136
 01/01  23:00:00,1.49509875523,4.66760451402,0.0,3.78500395488,0.0,0.118488184273,0.118488184273,0.118488184273,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.84293683637
 01/01  24:00:00,1.17692510565,4.85070075286,0.0,4.17411620512,0.0,0.130702132257,0.130702132257,0.130702132257,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.642117510685
 01/02  01:00:00,0.85220831079,4.84842369886,0.0,4.40493685212,0.0,0.13798838793,0.13798838793,0.13798838793,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.414977357159
 01/02  02:00:00,0.728909495595,4.94452432413,0.0,4.58733760551,0.0,0.143638341895,0.143638341895,0.143638341895,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.330936988424
 01/02  03:00:00,0.681400290506,4.99261853689,0.0,4.65918671808,0.0,0.145875312662,0.145875312662,0.145875312662,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.307486433312
 01/02  04:00:00,0.672478698137,5.11080108339,0.0,4.77127021055,0.0,0.14936029741,0.14936029741,0.14936029741,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.313950700982
 01/02  05:00:00,0.672659939004,5.29364581475,0.0,4.88797454661,0.0,0.153029986172,0.153029986172,0.153029986172,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.381057390696
