Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.674499985249,1.52874338115,0.0,1.15119816003,0.0,0.0319323447349,0.0319323447349,0.0319323447349,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.5835794276,2.19372238678,0.0,1.88957282479,0.0,0.0524136442686,0.0524136442686,0.0524136442686,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.552851346798,2.64287814932,0.0,2.35844326464,0.0,0.0654193395878,0.0654193395878,0.0654193395878,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636856163
 01/01  04:00:00,0.551516214623,3.07621549432,0.0,2.7866564572,0.0,0.0772972696953,0.0772972696953,0.0772972696953,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095995517
 01/01  05:00:00,0.557294846366,3.37787955054,0.0,3.0317641217,0.0,0.084096153425,0.084096153425,0.084096153425,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538706773
 01/01  06:00:00,0.616247535468,3.87049931097,0.0,3.27349403518,0.0,0.0908013438936,0.0908013438936,0.0908013438936,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468478
 01/01  07:00:00,0.812828477186,4.17839704015,0.0,3.1119070625,0.0,0.0863191868719,0.0863191868719,0.0863191868719,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738101081
 01/01  08:00:00,1.10451994341,4.02839350936,0.0,2.82830444934,0.0,0.0784525165404,0.0784525165404,0.0784525165404,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.042168424,3.18132470569,0.0,2.01347074998,0.0,0.0558503690625,0.0558503690625,0.0558503690625,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.88562775713,1.92534409866,0.0,0.862571555466,0.0,0.0239263171397,0.0239263171397,0.0239263171397,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051685026
 01/01  11:00:00,0.868684633173,1.10197974233,0.0,0.161454560989,0.0,0.00447848413895,0.00447848413895,0.00447848413895,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917746071353
 01/01  12:00:00,0.882123097729,0.825387750991,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.802601662107
 01/01  13:00:00,0.862598905581,0.735635969727,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.713233720012
 01/01  14:00:00,0.835623927166,0.680364675599,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.657187768651
 01/01  15:00:00,0.831356818766,0.630683539228,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.606201579103
 01/01  16:00:00,0.891545084126,0.636720246496,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.610877402043
 01/01  17:00:00,1.11959307789,0.705763710716,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.67519615503
 01/01  18:00:00,1.53810911013,0.841816883238,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.804682188305
 01/01  19:00:00,1.81178851188,0.972417476528,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.932100405936
 01/01  20:00:00,1.76281772805,1.00251976206,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.960904617181
 01/01  21:00:00,1.63498306873,0.937339450389,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.894293632245
 01/01  22:00:00,1.49386947983,0.847528784842,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.805487927433
 01/01  23:00:00,1.21158329454,0.766980621265,0.0,0.0603555997165,0.0,0.00167416512963,0.00167416512963,0.00167416512963,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670244047168
 01/01  24:00:00,0.946220720531,1.40511427353,0.0,0.857723833154,0.0,0.023791849291,0.023791849291,0.023791849291,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515776050591
 01/02  01:00:00,0.676894502603,1.83968138334,0.0,1.47451221419,0.0,0.0409005451658,0.0409005451658,0.0409005451658,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339019253364
 01/02  02:00:00,0.584189463832,2.35150925049,0.0,2.053860148,0.0,0.0569707045756,0.0569707045756,0.0569707045756,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571918209
 01/02  03:00:00,0.557527944812,2.90083324077,0.0,2.62117824298,0.0,0.0727071760295,0.0727071760295,0.0727071760295,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969278
 01/02  04:00:00,0.553464138212,3.19053269343,0.0,2.90610577589,0.0,0.0806105974568,0.0806105974568,0.0806105974568,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875937
 01/02  05:00:00,0.54966853873,3.18874699332,0.0,2.85312512928,0.0,0.0791410014041,0.0791410014041,0.0791410014041,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.31304514198
 01/02  06:00:00,0.615521536236,3.96175919589,0.0,3.3950114507,0.0,0.0941720372618,0.0941720372618,0.0941720372618,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553937881
 01/02  07:00:00,0.841648427752,5.53104348178,0.0,4.53396186478,0.0,0.125764649655,0.125764649655,0.125764649655,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.967972650164
 01/02  08:00:00,1.09402271571,4.32847863625,0.0,3.21275888855,0.0,0.0891166507563,0.0891166507563,0.0891166507563,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478928953
 01/02  09:00:00,1.00383078649,2.88044724658,0.0,1.80075675346,0.0,0.0499500324369,0.0499500324369,0.0499500324369,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354057733
 01/02  10:00:00,0.830649417283,1.48556197582,0.0,0.503960494537,0.0,0.0139790357586,0.0139790357586,0.0139790357586,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.959345788345
 01/02  11:00:00,0.813289919745,0.869302910705,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.846523800715
 01/02  12:00:00,0.82963433821,0.765015342885,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.742229254001
 01/02  13:00:00,0.81478839949,0.682366538051,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.659964288336
 01/02  14:00:00,0.792035894651,0.633540757375,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.610363850427
 01/02  15:00:00,0.792231246591,0.586992129292,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.562510169167
 01/02  16:00:00,0.854486111271,0.593363108364,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.567520263911
 01/02  17:00:00,1.08367515864,0.655044222081,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.624476666395
 01/02  18:00:00,1.50275717992,0.782756319855,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.745621624922
 01/02  19:00:00,1.77747819634,0.894162409724,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.853845339131
 01/02  20:00:00,1.72857297386,0.914409988742,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.872794843867
 01/02  21:00:00,1.6001276984,0.854564425908,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.811518607764
 01/02  22:00:00,1.45826262236,0.777901330951,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.735860473542
