Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,4.01608450311,0.0,3.12274423107,0.0,0.0966697863575,3.21941401743,0.0966697863575,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128171705999
 01/01  02:00:00,4.01661459812,0.0,3.27774538761,0.0,0.101316796698,3.37906218431,0.101316796698,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108818431
 01/01  03:00:00,4.24077715488,0.0,3.54992999256,0.0,0.109372463646,3.65930245621,0.109372463646,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437631077
 01/01  04:00:00,4.28134117078,0.0,3.5991342982,0.0,0.110852691434,3.70998698964,0.110852691434,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684921859
 01/01  05:00:00,4.39144891292,0.0,3.67272569646,0.0,0.112988084522,3.78571378098,0.112988084522,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599342
 01/01  06:00:00,4.57411237484,0.0,3.64291503558,0.0,0.112207086376,3.75512212195,0.112207086376,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561031582
 01/01  07:00:00,4.90691005239,0.0,3.47937367792,0.0,0.107091835317,3.58646551324,0.107091835317,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,5.06196926335,0.0,3.25839585762,0.0,0.100084518213,3.35848037583,0.100084518213,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,4.90373863783,0.0,3.1665099239,0.0,0.0974249976473,3.26393492155,0.0974249976473,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,4.44899381844,0.0,2.91374212945,0.0,0.0897367070779,3.00347883653,0.0897367070779,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744045581
 01/01  11:00:00,4.69320654893,0.0,3.2229831396,0.0,0.100154729863,3.32313786946,0.100154729863,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273996086
 01/01  12:00:00,3.52707277188,0.0,2.14309568539,0.0,0.0661466447628,2.20924233015,0.0661466447628,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111889136
 01/01  13:00:00,3.14497793067,0.0,1.84334074567,0.0,0.0574134480247,1.9007541937,0.0574134480247,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410004408
 01/01  14:00:00,2.83709455146,0.0,1.60123107782,0.0,0.0502620671594,1.65149314498,0.0502620671594,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326994476068
 01/01  15:00:00,2.45543397871,0.0,1.26420614611,0.0,0.0397997649949,1.30400591111,0.0397997649949,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.29579411081
 01/01  16:00:00,2.57105096401,0.0,1.31258941255,0.0,0.0414741509516,1.3540635635,0.0414741509516,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299815679514
 01/01  17:00:00,2.95437953909,0.0,1.41886842106,0.0,0.0450250360655,1.46389345713,0.0450250360655,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.340581184069
 01/01  18:00:00,4.46399037076,0.0,2.3899949697,0.0,0.0761539232303,2.46614889293,0.0761539232303,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422908350748
 01/01  19:00:00,4.08653430071,0.0,1.67715971113,0.0,0.0524888880003,1.72964859913,0.0524888880003,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.505117421635
 01/01  20:00:00,4.04235423454,0.0,1.66317778867,0.0,0.0518506948103,1.71502848348,0.0518506948103,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.523241040663
 01/01  21:00:00,4.08825226317,0.0,1.8736053167,0.0,0.0584308360588,1.93203615276,0.0584308360588,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.478547355428
 01/01  22:00:00,4.13632603513,0.0,2.11567679915,0.0,0.0658646600962,2.18154145924,0.0658646600962,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.419225962796
 01/01  23:00:00,4.20044694049,0.0,2.54440269316,0.0,0.07915003808,2.62355273124,0.07915003808,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.330908477638
 01/01  24:00:00,4.20210298347,0.0,2.92459500581,0.0,0.0908236613585,3.01541866717,0.0908236613585,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.232905549032
 01/02  01:00:00,4.2466473655,0.0,3.36024667272,0.0,0.104092745787,3.46433941851,0.104092745787,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.120382850393
 01/02  02:00:00,4.40835906856,0.0,3.6654907061,0.0,0.113307139163,3.77879784526,0.113307139163,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0784667154098
