Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.962430461912,4.04520405343,0.0,4.01723667506,0.0,0.100805775144,0.100805775144,0.100805775144,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.788156360435,4.59391914515,0.0,4.56816855657,0.0,0.114191295739,0.114191295739,0.114191295739,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.72610088933,4.75664435949,0.0,4.73119232846,0.0,0.118172186005,0.118172186005,0.118172186005,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417552547
 01/01  04:00:00,0.719287589193,4.84413236742,0.0,4.81903860545,0.0,0.120244855687,0.120244855687,0.120244855687,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072565166
 01/01  05:00:00,0.768413858237,4.92532420047,0.0,4.90117835871,0.0,0.122256817753,0.122256817753,0.122256817753,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188758
 01/01  06:00:00,1.03866841798,5.08180898094,0.0,5.05486416217,0.0,0.126122153976,0.126122153976,0.126122153976,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094914
 01/01  07:00:00,1.6479003258,4.68469143823,0.0,4.65355934984,0.0,0.116107399824,0.116107399824,0.116107399824,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252542
 01/01  08:00:00,2.08848588583,5.06912268688,0.0,5.03604251048,0.0,0.125150178474,0.125150178474,0.125150178474,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.02589370887,4.74224020519,0.0,4.71427282681,0.0,0.117781476663,0.117781476663,0.117781476663,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.77739393968,4.57588202205,0.0,4.55207952148,0.0,0.113288714886,0.113288714886,0.113288714886,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.69165348632,5.38877643018,0.0,5.3644141342,0.0,0.134362876803,0.134362876803,0.134362876803,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.58599191482,4.25951743292,0.0,4.235147673,0.0,0.10546959583,0.10546959583,0.10546959583,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158326
 01/01  13:00:00,1.47751518662,3.60653932576,0.0,3.58258008248,0.0,0.0894208141323,0.0894208141323,0.0894208141323,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750164054
 01/01  14:00:00,1.39645255587,3.18495941917,0.0,3.16017167869,0.0,0.0793727599543,0.0793727599543,0.0793727599543,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995553
 01/01  15:00:00,1.34394519066,2.83557127873,0.0,2.8093877817,0.0,0.0708812892333,0.0708812892333,0.0708812892333,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433516
