Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.904718581282,1.74065275745,0.0,1.71268537907,0.0,0.0430938945151,0.0430938945151,0.0430938945151,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465515
 01/01  02:00:00,0.724550426636,2.04119058586,0.0,2.01543999728,0.0,0.05058536194,0.05058536194,0.05058536194,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.663364441068,2.24031644247,0.0,2.21486441145,0.0,0.055435747472,0.055435747472,0.055435747472,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.655798537612,2.29651391703,0.0,2.27142015506,0.0,0.0567558052677,0.0567558052677,0.0567558052677,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.703088719275,2.30820006942,0.0,2.28405422767,0.0,0.0569316788744,0.0569316788744,0.0569316788744,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,0.970123187223,2.33855665091,0.0,2.31161183214,0.0,0.0575769232231,0.0575769232231,0.0575769232231,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.58473910068,2.15606642723,0.0,2.12493433884,0.0,0.0529461747092,0.0529461747092,0.0529461747092,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.01934579406,2.28490284596,0.0,2.25182266956,0.0,0.0560100867023,0.0560100867023,0.0560100867023,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,1.95733403686,2.00635298081,0.0,1.97838560243,0.0,0.0492218046477,0.0492218046477,0.0492218046477,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.71329011093,2.00036137989,0.0,1.97655887932,0.0,0.0491848861353,0.0491848861353,0.0491848861353,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.62001879813,2.53194546367,0.0,2.5075831677,0.0,0.0627281886167,0.0627281886167,0.0627281886167,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.52761213621,1.91059373286,0.0,1.88622397295,0.0,0.0470898172222,0.0470898172222,0.0470898172222,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158326
 01/01  13:00:00,1.42941940811,1.67649808243,0.0,1.65253883915,0.0,0.0413250344033,0.0413250344033,0.0413250344033,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165276
 01/01  14:00:00,1.35373146403,1.48601236601,0.0,1.46122462553,0.0,0.0366516683521,0.0366516683521,0.0366516683521,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995312
 01/01  15:00:00,1.30529977132,1.30839112977,0.0,1.28220763275,0.0,0.0322358700022,0.0322358700022,0.0322358700022,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433401
 01/01  16:00:00,1.37686519788,1.24791891816,0.0,1.22027995309,0.0,0.0307042137488,0.0307042137488,0.0307042137488,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
