Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.760484323258,4.62857875273,0.0,4.25103353166,0.0,0.117916682744,0.117916682744,0.117916682744,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.35139530528
 01/01  02:00:00,0.666472218697,5.18210389723,0.0,4.87795433524,0.0,0.135306435366,0.135306435366,0.135306435366,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377717
 01/01  03:00:00,0.632445562369,5.51234219179,0.0,5.22790729167,0.0,0.145013555159,0.145013555159,0.145013555159,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.626181455475,5.76798432799,0.0,5.47842521396,0.0,0.151962510547,0.151962510547,0.151962510547,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266096072437
 01/01  05:00:00,0.630755205492,6.02621113569,0.0,5.68009549113,0.0,0.157556512551,0.157556512551,0.157556512551,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538922498
 01/01  06:00:00,0.68319837707,6.28415504415,0.0,5.68714972836,0.0,0.157752185496,0.157752185496,0.157752185496,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811508479
 01/01  07:00:00,0.881205691085,6.64347511752,0.0,5.57698513563,0.0,0.154696400771,0.154696400771,0.154696400771,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738101505
 01/01  08:00:00,1.17756423049,6.66172499805,0.0,5.46163593779,0.0,0.151496803623,0.151496803623,0.151496803623,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860209
 01/01  09:00:00,1.12642962141,6.21903885501,0.0,5.0511848993,0.0,0.140111566474,0.140111566474,0.140111566474,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.98677891545,5.57196096872,0.0,4.50918843596,0.0,0.12507747546,0.12507747546,0.12507747546,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
 01/01  11:00:00,1.00264832194,5.9316057768,0.0,4.99100132009,0.0,0.13844217291,0.13844217291,0.13844217291,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825346719
 01/01  12:00:00,0.982740078077,4.45700673231,0.0,3.62735914342,0.0,0.100616980348,0.100616980348,0.100616980348,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861500008
 01/01  13:00:00,0.942864679088,3.63796856828,0.0,2.89367447149,0.0,0.0802657735061,0.0802657735061,0.0802657735061,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891847079
 01/01  14:00:00,0.902851151462,3.11636571003,0.0,2.42361961065,0.0,0.0672272242958,0.0672272242958,0.0672272242958,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569192428
 01/01  15:00:00,0.878782436946,2.35415729451,0.0,1.70974868398,0.0,0.0474256181795,0.0474256181795,0.0474256181795,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619926650405
 01/01  16:00:00,0.936833642724,2.28422881196,0.0,1.632705201,0.0,0.045288558598,0.045288558598,0.045288558598,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.625680766513
