Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.691781068351,2.15174651946,0.0,1.77420130109,0.0,0.0492134278374,0.0492134278374,0.0492134278374,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395302587
 01/01  02:00:00,0.594223020995,2.57743630548,0.0,2.2732867435,0.0,0.0630572376632,0.0630572376632,0.0630572376632,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377703
 01/01  03:00:00,0.559382342577,2.87832815713,0.0,2.59389325701,0.0,0.0719503353669,0.0719503353669,0.0719503353669,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871606
 01/01  04:00:00,0.552509466199,3.11202340871,0.0,2.82246433153,0.0,0.0782905212717,0.0782905212717,0.0782905212717,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266096035581
 01/01  05:00:00,0.559663868912,3.4632855997,0.0,3.11717013929,0.0,0.0864651759711,0.0864651759711,0.0864651759711,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538738344
 01/01  06:00:00,0.611677972282,3.70576124423,0.0,3.10875596865,0.0,0.086231780708,0.086231780708,0.086231780708,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468261
 01/01  07:00:00,0.838858005943,5.11679182014,0.0,4.05030184249,0.0,0.112348715629,0.112348715629,0.112348715629,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738101081
 01/01  08:00:00,1.10548735042,4.06326965709,0.0,2.86318059707,0.0,0.0794199235526,0.0794199235526,0.0794199235526,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.05763561038,3.73893476414,0.0,2.57108080487,0.0,0.0713175554413,0.0713175554413,0.0713175554413,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170404349
 01/01  10:00:00,0.911624981597,2.86257426161,0.0,1.79980172824,0.0,0.0499235416071,0.0499235416071,0.0499235416071,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051684043
 01/01  11:00:00,0.917683429974,2.86852263913,0.0,1.92791816363,0.0,0.0534772809399,0.0534772809399,0.0534772809399,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825365506
 01/01  12:00:00,0.903735454733,1.60879817626,0.0,0.779150601784,0.0,0.0216123570036,0.0216123570036,0.0216123570036,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861485596
 01/01  13:00:00,0.862598905581,0.743591735874,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721189486159
 01/01  14:00:00,0.835623927166,0.690697581873,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.667520674925
 01/01  15:00:00,0.831356818766,0.641996243052,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.617514282927
 01/01  16:00:00,0.891545084126,0.647898112106,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.622055267653
 01/01  17:00:00,1.11959307789,0.716709691302,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.686142135617
 01/01  18:00:00,1.53975432455,0.913007042496,0.0,0.0593118930026,0.0,0.00164521442093,0.00164521442093,0.00164521442093,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.816560454561
 01/01  19:00:00,1.81178851188,0.981983887971,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.941666817378
 01/01  20:00:00,1.76281772805,1.00983948691,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.968224342039
 01/01  21:00:00,1.63498306873,0.943505678743,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.900459860599
 01/01  22:00:00,1.49647626387,0.946461096875,0.0,0.0939775959539,0.0,0.00260678404078,0.00260678404078,0.00260678404078,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.810442643512
 01/01  23:00:00,1.22520908102,1.25892825096,0.0,0.55158104707,0.0,0.0152999516119,0.0152999516119,0.0152999516119,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670966229505
 01/01  24:00:00,0.951234510762,1.58586854586,0.0,1.03847680122,0.0,0.0288056395216,0.0288056395216,0.0288056395216,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515777354848
 01/02  01:00:00,0.678084699587,1.88258969807,0.0,1.51742019947,0.0,0.0420907421496,0.0420907421496,0.0420907421496,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339019582814
 01/02  02:00:00,0.577896725142,2.1246487059,0.0,1.82699960075,0.0,0.0506779658853,0.0506779658853,0.0506779658853,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571920879
 01/02  03:00:00,0.539180257973,2.23937779472,0.0,1.9597227969,0.0,0.0543594891895,0.0543594891895,0.0543594891895,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969302
