Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.958140457639,9.07556728458,0.0,8.62036090517,0.0,0.237346851702,0.237346851702,0.237346851702,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.426696889824
 01/01  02:00:00,0.828718958313,9.06031641847,0.0,8.69859090399,0.0,0.239500780538,0.239500780538,0.239500780538,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33547578427
 01/01  03:00:00,0.779113507398,9.08833758523,0.0,8.75221729112,0.0,0.240977291127,0.240977291127,0.240977291127,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310174908607
 01/01  04:00:00,0.768406511766,9.20195077415,0.0,8.8591938384,0.0,0.243922706868,0.243922706868,0.243922706868,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317176763885
 01/01  05:00:00,0.769531883954,9.3952810213,0.0,8.97934182167,0.0,0.247230775507,0.247230775507,0.247230775507,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.39132532218
 01/01  06:00:00,0.823591053853,9.65717801969,0.0,8.92047694208,0.0,0.245610032013,0.245610032013,0.245610032013,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709233968616
 01/01  07:00:00,1.04538953692,10.0009636559,0.0,8.66292753952,0.0,0.238518850968,0.238518850968,0.238518850968,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30630057301
 01/01  08:00:00,1.37497127872,10.202811216,0.0,8.68989008453,0.0,0.239261218398,0.239261218398,0.239261218398,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47919973897
 01/01  09:00:00,1.34017338649,10.1550963613,0.0,8.67944381016,0.0,0.238973598151,0.238973598151,0.238973598151,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44714306159
 01/01  10:00:00,1.17196994142,10.020271909,0.0,8.67660570908,0.0,0.238895455906,0.238895455906,0.238895455906,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31940231887
 01/01  11:00:00,1.20441657831,11.1801278965,0.0,9.99274090123,0.0,0.275132980959,0.275132980959,0.275132980959,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16255246794
 01/01  12:00:00,1.18527825362,9.68960708426,0.0,8.64657291648,0.0,0.238068554474,0.238068554474,0.238068554474,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01819203181
 01/01  13:00:00,1.15674226278,9.27082189506,0.0,8.33755138386,0.0,0.229560176614,0.229560176614,0.229560176614,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908846849184
 01/01  14:00:00,1.12857632959,9.12388288601,0.0,8.25739569002,0.0,0.227353227069,0.227353227069,0.227353227069,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.84121897744
 01/01  15:00:00,1.12710571523,9.03713251556,0.0,8.23340077482,0.0,0.226692568235,0.226692568235,0.226692568235,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.777040710721
 01/01  16:00:00,1.19536715436,8.95671223294,0.0,8.14480804685,0.0,0.224253319427,0.224253319427,0.224253319427,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.783729475676
 01/01  17:00:00,1.45550971223,8.90690185049,0.0,8.00767306601,0.0,0.220477542946,0.220477542946,0.220477542946,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.865903040047
 01/01  18:00:00,1.97961917732,10.3169692764,0.0,9.24769680411,0.0,0.25461946966,0.25461946966,0.25461946966,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02878701879
 01/01  19:00:00,2.28475586751,9.06112010679,0.0,7.82955930234,0.0,0.215573485968,0.215573485968,0.215573485968,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18760582144
 01/01  20:00:00,2.24248888953,8.83388666951,0.0,7.56743070925,0.0,0.208356224765,0.208356224765,0.208356224765,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22108577441
