Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.920784956465,7.72161983083,0.0,7.26362118184,0.0,0.199991350529,0.199991350529,0.199991350529,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429489159411
 01/01  02:00:00,0.797490197048,7.9285448874,0.0,7.56437239301,0.0,0.208272019273,0.208272019273,0.208272019273,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337922764185
 01/01  03:00:00,0.75187065036,8.10088251584,0.0,7.76276553279,0.0,0.213734434089,0.213734434089,0.213734434089,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.312171597547
 01/01  04:00:00,0.742067923798,8.24735288253,0.0,7.90258484026,0.0,0.217584118899,0.217584118899,0.217584118899,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319187870411
 01/01  05:00:00,0.745940806246,8.54035653468,0.0,8.12252150775,0.0,0.223639697799,0.223639697799,0.223639697799,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393221149475
 01/01  06:00:00,0.802372311074,8.88846371478,0.0,8.14981906562,0.0,0.224391289234,0.224391289234,0.224391289234,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.71117754016
 01/01  07:00:00,1.02758610601,9.35622214193,0.0,8.01631268579,0.0,0.220715420058,0.220715420058,0.220715420058,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30817391275
 01/01  08:00:00,1.35586076993,9.51043411064,0.0,7.99580258499,0.0,0.220150709612,0.220150709612,0.220150709612,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48091013311
 01/01  09:00:00,1.2970798883,8.59127163515,0.0,7.11430189076,0.0,0.195880099964,0.195880099964,0.195880099964,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44846025481
 01/01  10:00:00,1.10430129682,7.56451817638,0.0,6.21890241882,0.0,0.171226811312,0.171226811312,0.171226811312,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32135187651
 01/01  11:00:00,1.10902386263,7.71829076521,0.0,6.52810831413,0.0,0.179740265283,0.179740265283,0.179740265283,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16534792371
 01/01  12:00:00,1.07383081198,5.64544305971,0.0,4.59883787381,0.0,0.126621112833,0.126621112833,0.126621112833,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02176304993
 01/01  13:00:00,1.03084943657,4.70333665131,0.0,3.76516464459,0.0,0.1036673504,0.1036673504,0.1036673504,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.91374834471
 01/01  14:00:00,0.997001133377,4.34959825115,0.0,3.47862710978,0.0,0.0957780308546,0.0957780308546,0.0957780308546,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.845702922821
 01/01  15:00:00,0.990478126873,4.07967875152,0.0,3.27113094565,0.0,0.0900649798769,0.0900649798769,0.0900649798769,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.781856775863
 01/01  16:00:00,1.07004371702,4.41058198209,0.0,3.59310132744,0.0,0.0989298820892,0.0989298820892,0.0989298820892,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.789305944237
 01/01  17:00:00,1.35404944355,5.22776105235,0.0,4.32266891561,0.0,0.11901727426,0.11901727426,0.11901727426,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.871766392308
 01/01  18:00:00,1.88911778291,7.03508170181,0.0,5.96071542377,0.0,0.164118075251,0.164118075251,0.164118075251,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03388082459
 01/01  19:00:00,2.20937680697,6.32799324325,0.0,5.09181619804,0.0,0.140194425424,0.140194425424,0.140194425424,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.1922220622
 01/01  20:00:00,2.17683154717,6.45360559794,0.0,5.18277726555,0.0,0.1426988824,0.1426988824,0.1426988824,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22545814654
 01/01  21:00:00,2.03247127996,6.77809257623,0.0,5.59216217918,0.0,0.153970593811,0.153970593811,0.153970593811,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13900044462
 01/01  22:00:00,1.87155810947,7.06654549781,0.0,5.99865819568,0.0,0.165162764395,0.165162764395,0.165162764395,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02205299061
 01/01  23:00:00,1.5533981586,7.30226913765,0.0,6.4208680172,0.0,0.176787587648,0.176787587648,0.176787587648,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.84173739768
 01/01  24:00:00,1.23404129692,7.49678868338,0.0,6.82150077747,0.0,0.187818323528,0.187818323528,0.187818323528,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.640820868867
 01/02  01:00:00,0.913914273221,7.69514304949,0.0,7.25283423182,0.0,0.199694350362,0.199694350362,0.199694350362,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.413799328089
 01/02  02:00:00,0.793678941097,7.92537918916,0.0,7.56930344738,0.0,0.208407787398,0.208407787398,0.208407787398,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.329826011574
 01/02  03:00:00,0.747436488096,8.02872245712,0.0,7.69655752851,0.0,0.211911510253,0.211911510253,0.211911510253,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.306219543109
 01/02  04:00:00,0.73791316059,8.13939284237,0.0,7.80127622205,0.0,0.214794759864,0.214794759864,0.214794759864,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.312536448454
 01/02  05:00:00,0.737462399732,8.31584129951,0.0,7.91160403297,0.0,0.217832446901,0.217832446901,0.217832446901,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.379623389091
 01/02  06:00:00,0.795938143682,8.76455522605,0.0,8.06492273704,0.0,0.222053814442,0.222053814442,0.222053814442,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.672165380017
 01/02  07:00:00,1.02813807783,9.67288525125,0.0,8.42227529175,0.0,0.231892904097,0.231892904097,0.231892904097,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21887441611
 01/02  08:00:00,1.32810333837,9.16130483636,0.0,7.75623546859,0.0,0.213554639972,0.213554639972,0.213554639972,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37134797523
 01/02  09:00:00,1.28216508916,9.11247591813,0.0,7.75071348825,0.0,0.213402601715,0.213402601715,0.213402601715,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33325294029
 01/02  10:00:00,1.10204432182,9.01150307255,0.0,7.77244329891,0.0,0.21400089478,0.21400089478,0.21400089478,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.2147958926
 01/02  11:00:00,1.12796916476,10.1629462608,0.0,9.06545654464,0.0,0.249601796698,0.249601796698,0.249601796698,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07265518883
 01/02  12:00:00,1.1151955492,8.97633074034,0.0,8.00756652679,0.0,0.220474609571,0.220474609571,0.220474609571,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.943922077572
 01/02  13:00:00,1.09278132487,8.62003523185,0.0,7.75097292246,0.0,0.213409744791,0.213409744791,0.213409744791,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.844638647375
 01/02  14:00:00,1.06732378147,8.42660748002,0.0,7.61582619515,0.0,0.209688711461,0.209688711461,0.209688711461,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.785513066308
 01/02  15:00:00,1.06094066166,8.00453519292,0.0,7.25133555415,0.0,0.199653086843,0.199653086843,0.199653086843,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.726508608755
 01/02  16:00:00,1.13188694936,7.94713765163,0.0,7.18519743904,0.0,0.197832087285,0.197832087285,0.197832087285,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.73376550217
