Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.930917754359,2.75904781205,0.0,2.73108043367,0.0,0.0692930675904,0.0692930675904,0.0692930675904,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.753551534334,3.18079481102,0.0,3.15504422244,0.0,0.0795864605316,0.0795864605316,0.0795864605316,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844192523
 01/01  03:00:00,0.69458807043,3.47886700258,0.0,3.45341497156,0.0,0.0866593744745,0.0866593744745,0.0866593744745,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417478854
 01/01  04:00:00,0.688329786691,3.59499179637,0.0,3.5698980344,0.0,0.089287054303,0.089287054303,0.089287054303,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553979
 01/01  05:00:00,0.739207300439,3.75446437919,0.0,3.73031853744,0.0,0.0930502314958,0.0930502314958,0.0930502314958,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137217217
 01/01  06:00:00,1.00648115395,3.7949014164,0.0,3.76795659763,0.0,0.0939348871445,0.0939348871445,0.0939348871445,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635097716
 01/01  07:00:00,1.62953668598,3.95645734159,0.0,3.9253252532,0.0,0.0977437599171,0.0977437599171,0.0977437599171,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252628
 01/01  08:00:00,2.04765037868,3.42534120203,0.0,3.39226102564,0.0,0.08431463621,0.08431463621,0.08431463621,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262290685
 01/01  09:00:00,1.98521226823,3.13299506248,0.0,3.10502768411,0.0,0.0771000265496,0.0771000265496,0.0771000265496,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306497688
 01/01  10:00:00,1.72965609591,2.65963856119,0.0,2.63583606062,0.0,0.0655508710673,0.0655508710673,0.0655508710673,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681726
 01/01  11:00:00,1.64089709992,3.35157830595,0.0,3.32721600998,0.0,0.0836064904045,0.0836064904045,0.0836064904045,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.57459376918,3.75783411165,0.0,3.73346435174,0.0,0.0940714501879,0.0940714501879,0.0940714501879,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158326
 01/01  13:00:00,1.46309347624,2.99301881869,0.0,2.96905957541,0.0,0.0749991025287,0.0749991025287,0.0749991025287,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165276
 01/01  14:00:00,1.38329011974,2.66473551509,0.0,2.63994777461,0.0,0.066210323411,0.066210323411,0.066210323411,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995965
 01/01  15:00:00,1.33733189474,2.58381935998,0.0,2.55763586296,0.0,0.0642679932025,0.0642679932025,0.0642679932025,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433622
 01/01  16:00:00,1.40721822184,2.45197736075,0.0,2.42433839568,0.0,0.0610572535312,0.0610572535312,0.0610572535312,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328040169
 01/01  17:00:00,1.71346950191,2.29686068371,0.0,2.26416863213,0.0,0.0570445439911,0.0570445439911,0.0570445439911,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914887412
 01/01  18:00:00,2.30364129257,2.60968294242,0.0,2.5699673245,0.0,0.0648992627355,0.0648992627355,0.0648992627355,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680399247
 01/01  19:00:00,2.73315202086,2.37467707704,0.0,2.33155790307,0.0,0.058978013897,0.058978013897,0.058978013897,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.66412780822
