Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.927979748468,2.52491617551,0.0,2.49694879714,0.0,0.0663550618682,0.0663550618682,0.0663550618682,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465348
 01/01  02:00:00,0.756913166081,3.17229848293,0.0,3.14654789436,0.0,0.082948093918,0.082948093918,0.082948093918,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.098084417613
 01/01  03:00:00,0.71044025961,3.94190137135,0.0,3.91644934032,0.0,0.102511556053,0.102511556053,0.102511556053,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441755487
 01/01  04:00:00,0.713916727334,4.4428485511,0.0,4.41775478913,0.0,0.114873992383,0.114873992383,0.114873992383,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072579611
 01/01  05:00:00,0.770928025864,4.84511037242,0.0,4.82096453067,0.0,0.124770985422,0.124770985422,0.124770985422,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188716
 01/01  06:00:00,1.03684123606,4.83623996792,0.0,4.80929514915,0.0,0.124294972058,0.124294972058,0.124294972058,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.65563403885,4.8491319687,0.0,4.81799988031,0.0,0.123841112874,0.123841112874,0.123841112874,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.09977326849,5.34137450814,0.0,5.30829433174,0.0,0.136437561129,0.136437561129,0.136437561129,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.01411830064,4.18914628796,0.0,4.16117890958,0.0,0.10600606843,0.10600606843,0.10600606843,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.74241487489,3.10204439992,0.0,3.07824189935,0.0,0.0783096496926,0.0783096496926,0.0783096496926,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428682075
 01/01  11:00:00,1.61519694688,2.28518215205,0.0,2.26081985607,0.0,0.0579063375785,0.0579063375785,0.0579063375785,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447516
 01/01  12:00:00,1.49774986154,0.703305119134,0.0,0.678935359221,0.0,0.0172275428832,0.0172275428832,0.0172275428832,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266157993
 01/01  13:00:00,1.3879322742,0.0239592432832,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475588065764
