Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.958425330769,3.83777909525,0.0,3.80981171688,0.0,0.0968006442073,0.0968006442073,0.0968006442073,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.15880346531
 01/01  02:00:00,0.772773382555,3.92922828109,0.0,3.90347769252,0.0,0.0988083178714,0.0988083178714,0.0988083178714,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101339
 01/01  03:00:00,0.715845082737,4.29131104368,0.0,4.26585901265,0.0,0.107916389141,0.107916389141,0.107916389141,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417455256
 01/01  04:00:00,0.718760924908,4.75339255516,0.0,4.72829879319,0.0,0.119718192564,0.119718192564,0.119718192564,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.777065817933,5.20770218143,0.0,5.18355633968,0.0,0.130908777532,0.130908777532,0.130908777532,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.05610799546,5.72989605037,0.0,5.7029512316,0.0,0.143561728057,0.143561728057,0.143561728057,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635098311
 01/01  07:00:00,1.69121870353,6.38471306249,0.0,6.3535809741,0.0,0.159425776652,0.159425776652,0.159425776652,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385253445
 01/01  08:00:00,2.09453133061,5.32518209981,0.0,5.29210192341,0.0,0.131195623237,0.131195623237,0.131195623237,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255591
 01/01  09:00:00,2.00452670803,3.95386368712,0.0,3.92589630875,0.0,0.0964144758205,0.0964144758205,0.0964144758205,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.73566831505,2.92058104113,0.0,2.89677854056,0.0,0.0715630923699,0.0715630923699,0.0715630923699,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428679561
 01/01  11:00:00,1.62419363086,2.68342871469,0.0,2.65906641871,0.0,0.0669030238781,0.0669030238781,0.0669030238781,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958445197
 01/01  12:00:00,1.51355893722,1.33402628331,0.0,1.3096565234,0.0,0.0330366174993,0.0330366174993,0.0330366174993,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.54826615906
