Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.770112461514,4.76358558661,0.0,4.37194671131,0.117060938643,0.117060938643,0.117060938643,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365172727963
 01/01  02:00:00,0.67890621518,5.53864029544,0.0,5.22718027105,0.139960221245,0.139960221245,0.139960221245,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.287091674163
 01/01  03:00:00,0.648906966003,6.06659528925,0.0,5.77691200191,0.15467954805,0.15467954805,0.15467954805,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265597468713
 01/01  04:00:00,0.644923135068,6.41916433798,0.0,6.12380086475,0.163967661234,0.163967661234,0.163967661234,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271616692519
 01/01  05:00:00,0.645986825395,6.56510945627,0.0,6.20744957889,0.166207395073,0.166207395073,0.166207395073,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334810134487
 01/01  06:00:00,0.690347583891,6.5282443281,0.0,5.89571821705,0.157860640588,0.157860640588,0.157860640588,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.60702763444
 01/01  07:00:00,0.893262004843,6.97285260005,0.0,5.82557946701,0.15598264242,0.15598264242,0.15598264242,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11781215079
 01/01  08:00:00,1.163851964,6.37722465039,0.0,5.08225863795,0.136079876053,0.136079876053,0.136079876053,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26366151152
 01/01  09:00:00,1.12903744297,6.01618289852,0.0,4.75520602337,0.127322887788,0.127322887788,0.127322887788,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23451072782
 01/01  10:00:00,0.962708034057,4.56190537039,0.0,3.41510860106,0.0914411462004,0.0914411462004,0.0914411462004,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12427193778
 01/01  11:00:00,0.954691160629,4.06656861591,0.0,3.05366153588,0.0817632302709,0.0817632302709,0.0817632302709,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989852501741
 01/01  12:00:00,0.936312817478,2.58895909315,0.0,1.69807318377,0.0454667117199,0.0454667117199,0.0454667117199,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867824267789
 01/01  13:00:00,0.898372823155,1.8098362719,0.0,1.01280671647,0.027118378316,0.027118378316,0.027118378316,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774356394783
 01/01  14:00:00,0.8596099858,1.30736169158,0.0,0.567472905192,0.0151943551289,0.0151943551289,0.0151943551289,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716431600561
 01/01  15:00:00,0.847745936928,0.952956704613,0.0,0.26644363465,0.00713415419429,0.00713415419429,0.00713415419429,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.661735048925
 01/01  16:00:00,0.912418519365,1.07530169342,0.0,0.381304447475,0.0102096067216,0.0102096067216,0.0102096067216,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.667841883372
 01/01  17:00:00,1.15517561532,1.52014497094,0.0,0.75111092958,0.0201113499884,0.0201113499884,0.0201113499884,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.738096831513
 01/01  18:00:00,1.61525735554,2.861250278,0.0,1.94584914821,0.0521010302251,0.0521010302251,0.0521010302251,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.87781736412
 01/01  19:00:00,1.89315129425,2.80692231035,0.0,1.75035911311,0.0468666921793,0.0468666921793,0.0468666921793,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01575857138
 01/01  20:00:00,1.84996298358,2.98370581626,0.0,1.896641004,0.0507834589161,0.0507834589161,0.0507834589161,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.04494641447
 01/01  21:00:00,1.72623645601,3.20275503461,0.0,2.18920748386,0.0586170646323,0.0586170646323,0.0586170646323,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.969981178523
 01/01  22:00:00,1.59144517374,3.49271009335,0.0,2.58045232016,0.0690928299608,0.0690928299608,0.0690928299608,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.869708514716
 01/01  23:00:00,1.32002159506,4.03111378471,0.0,3.27803725567,0.0877709961708,0.0877709961708,0.0877709961708,0.371268979252,0.0769227476707,0.234174068073,0.534536803897,0.716255598685
 01/01  24:00:00,1.04591115663,4.56961464643,0.0,3.99213397765,0.106891273264,0.106891273264,0.106891273264,0.254901084073,0.05281263592,0.151455627092,0.464502536285,0.545483965443
 01/02  01:00:00,0.766166643486,4.84796549763,0.0,4.47009119992,0.119688803692,0.119688803692,0.119688803692,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351408150385
 01/02  02:00:00,0.674562757117,5.51653592198,0.0,5.21237440762,0.139563787257,0.139563787257,0.139563787257,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279793164133
 01/02  03:00:00,0.641794143662,5.89313259027,0.0,5.60878858502,0.150177964136,0.150177964136,0.150177964136,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.26025818662
 01/02  04:00:00,0.627811668267,5.82534951407,0.0,5.53572300099,0.148221598605,0.148221598605,0.148221598605,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.265879732364
 01/02  05:00:00,0.624845228631,5.86354707052,0.0,5.51762267872,0.147736953925,0.147736953925,0.147736953925,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.323074648904
 01/02  06:00:00,0.679206023067,6.23136574515,0.0,5.6326092003,0.150815772364,0.150815772364,0.150815772364,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.573258068238
 01/02  07:00:00,0.87983320547,6.79072800649,0.0,5.72088338136,0.153179355265,0.153179355265,0.153179355265,0.127450542036,0.0264063108338,0.129758030703,0.427690966632,1.04038364288
 01/02  08:00:00,1.16734199622,7.20359726627,0.0,6.0029293826,0.160731270196,0.160731270196,0.160731270196,0.260442373107,0.0539607283354,0.207405929039,0.454453695544,1.16936338275
 01/02  09:00:00,1.09134404389,5.72122110022,0.0,4.5589032989,0.1220667896,0.1220667896,0.1220667896,0.24935972625,0.0516645292523,0.268690649238,0.38421434955,1.13585165399
 01/02  10:00:00,0.913086607892,4.29946286815,0.0,3.24366932169,0.0868507785017,0.0868507785017,0.0868507785017,0.127450542036,0.0264063108338,0.330033495679,0.326997480842,1.03326871492
 01/02  11:00:00,0.893250026793,3.59526293762,0.0,2.66058146704,0.071238325724,0.071238325724,0.071238325724,0.105285248323,0.0218139126677,0.344876619894,0.334687920184,0.911626892284
 01/02  12:00:00,0.878704385606,2.33277407564,0.0,1.50686563869,0.0403470393676,0.0403470393676,0.0403470393676,0.105285248323,0.0218139126677,0.361119725873,0.334790459375,0.802846795364
 01/02  13:00:00,0.847145753345,1.62587629521,0.0,0.885206214641,0.0237018145969,0.0237018145969,0.0237018145969,0.105285248323,0.0218139126677,0.3518459739,0.329150803858,0.717996919925
 01/02  14:00:00,0.815154643314,1.22607404031,0.0,0.535080947465,0.0143270451578,0.0143270451578,0.0143270451578,0.105285248323,0.0218139126677,0.317847783081,0.340532654084,0.667535907021
 01/02  15:00:00,0.810607978867,0.982926703961,0.0,0.340676278702,0.00912176830865,0.00912176830865,0.00912176830865,0.110826537357,0.0229620193354,0.292642171022,0.359707482845,0.617472404222
 01/02  16:00:00,0.876922239386,1.0896574703,0.0,0.43966729729,0.0117722995979,0.0117722995979,0.0117722995979,0.138533188893,0.0287025099169,0.302863615842,0.379702625135,0.623834810438
 01/02  17:00:00,1.11657314938,1.36597099196,0.0,0.650849516972,0.0174268032991,0.0174268032991,0.0174268032991,0.23273572157,0.0482202235015,0.353720743409,0.4491216576,0.68418426514
 01/02  18:00:00,1.56585317515,2.27170960921,0.0,1.42103113745,0.038048780046,0.038048780046,0.038048780046,0.432223571359,0.0895518497538,0.445069937436,0.54561103655,0.813094706093
