Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.728578799034,3.47834750194,0.0,3.10080228224,0.0,0.0860111585204,0.0860111585204,0.0860111585204,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395303908
 01/01  02:00:00,0.625186417774,3.69370276492,0.0,3.38955320298,0.0,0.0940206344418,0.0940206344418,0.0940206344418,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377671
 01/01  03:00:00,0.582694426364,3.71875588596,0.0,3.43432098584,0.0,0.0952624191536,0.0952624191536,0.0952624191536,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871606
 01/01  04:00:00,0.578080608608,4.03389272419,0.0,3.74433375061,0.0,0.10386166368,0.10386166368,0.10386166368,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.578089911986,4.12756584094,0.0,3.7814504187,0.0,0.104891219044,0.104891219044,0.104891219044,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.630414584481,4.38123790174,0.0,3.78423262618,0.0,0.104968392907,0.104968392907,0.104968392907,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.861895554503,5.94732223479,0.0,4.88083225715,0.0,0.135386264189,0.135386264189,0.135386264189,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.11813337106,4.51917340624,0.0,3.31908434622,0.0,0.0920659441849,0.0920659441849,0.0920659441849,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.05455125516,3.62774016808,0.0,2.45988621238,0.0,0.0682332002162,0.0682332002162,0.0682332002162,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.912029203161,2.87714691843,0.0,1.81437438567,0.0,0.0503277631712,0.0503277631712,0.0503277631712,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
 01/01  11:00:00,0.916302415321,2.81873544043,0.0,1.87813097948,0.0,0.0520962662868,0.0520962662868,0.0520962662868,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825350958
 01/01  12:00:00,0.910479224979,1.85191891329,0.0,1.02227136114,0.0,0.0283561272505,0.0283561272505,0.0283561272505,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861463271
 01/01  13:00:00,0.882517357976,1.46237745576,0.0,0.718083370882,0.0,0.0199184523946,0.0199184523946,0.0199184523946,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891835167
 01/01  14:00:00,0.841241603123,0.895269840639,0.0,0.202523750752,0.0,0.00561767595756,0.00561767595756,0.00561767595756,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569182939
 01/01  15:00:00,0.833532914094,0.722859370587,0.0,0.0784507670293,0.0,0.00217609532786,0.00217609532786,0.00217609532786,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619926643433
 01/01  16:00:00,0.900040442977,0.957791176306,0.0,0.306267565341,0.0,0.00849535885053,0.00849535885053,0.00849535885053,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.625680766513
 01/01  17:00:00,1.14109933914,1.49562187982,0.0,0.775325726613,0.0,0.0215062612533,0.0215062612533,0.0215062612533,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.68972859752
 01/01  18:00:00,1.59078426604,2.75375975239,0.0,1.89900062347,0.0,0.0526751559075,0.0526751559075,0.0526751559075,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.81762443399
 01/01  19:00:00,1.84501573569,2.18239041821,0.0,1.19788005665,0.0,0.0332272238159,0.0332272238159,0.0332272238159,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.944193290966
 01/01  20:00:00,1.79596466118,2.20780568383,0.0,1.19498548405,0.0,0.0331469331299,0.0331469331299,0.0331469331299,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.971205054903
 01/01  21:00:00,1.67727636962,2.47016704204,0.0,1.52472267757,0.0,0.0422933008889,0.0422933008889,0.0422933008889,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.902398546329
 01/01  22:00:00,1.54416571544,2.66584315286,0.0,1.81323778058,0.0,0.0502962356143,0.0502962356143,0.0502962356143,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.810564514866
