Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.729021629943,3.22884360445,0.0,2.83730220877,0.0759701070726,0.0759701070726,0.0759701070726,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365075248345
 01/01  02:00:00,0.625208852111,3.53307808368,0.0,3.22171190051,0.0862628581763,0.0862628581763,0.0862628581763,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.28699783295
 01/01  03:00:00,0.591007997156,3.90408172569,0.0,3.61452368203,0.0967805792034,0.0967805792034,0.0967805792034,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265472225041
 01/01  04:00:00,0.585800214475,4.21097554995,0.0,3.91570086793,0.104844740642,0.104844740642,0.104844740642,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271527901312
 01/01  05:00:00,0.595429516735,4.67685166467,0.0,4.3192547473,0.115650086414,0.115650086414,0.115650086414,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334747174479
 01/01  06:00:00,0.6513477433,5.07164949907,0.0,4.43916723778,0.118860799997,0.118860799997,0.118860799997,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606983784679
 01/01  07:00:00,0.847884006243,5.27804140418,0.0,4.13081950655,0.11060464382,0.11060464382,0.11060464382,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11776091537
 01/01  08:00:00,1.13578922134,5.3291462372,0.0,4.03418216685,0.108017133395,0.108017133395,0.108017133395,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26365956942
 01/01  09:00:00,1.09114944575,4.60115659627,0.0,3.34017974096,0.0894348905724,0.0894348905724,0.0894348905724,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23451070798
 01/01  10:00:00,0.939584405436,3.6982930181,0.0,2.55149625287,0.0683175175794,0.0683175175794,0.0683175175794,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12427193367
 01/01  11:00:00,0.945331495203,3.71698263208,0.0,2.70410036756,0.0724035648453,0.0724035648453,0.0724035648453,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989827686226
 01/01  12:00:00,0.932204932537,2.43551635482,0.0,1.54465348406,0.0413588267797,0.0413588267797,0.0413588267797,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867801229172
 01/01  13:00:00,0.895627317621,1.70729403898,0.0,0.910268636469,0.0243728727816,0.0243728727816,0.0243728727816,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774352241869
 01/01  14:00:00,0.85683633864,1.20377550182,0.0,0.463883802627,0.0124207079689,0.0124207079689,0.0124207079689,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716434513366
 01/01  15:00:00,0.840611782734,0.686159146079,0.0,0.0,0.0,0.0,0.0,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.661381125041
 01/01  16:00:00,0.902208912643,0.693412590059,0.0,0.0,0.0,0.0,0.0,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.667257227487
 01/01  17:00:00,1.14412054957,1.10723653977,0.0,0.338230605048,0.00905628424117,0.00905628424117,0.00905628424117,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.73806872487
 01/01  18:00:00,1.59039440114,1.93276804166,0.0,1.01727713296,0.0272380758295,0.0272380758295,0.0272380758295,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.877907143031
 01/01  19:00:00,1.85806802158,1.49675809967,0.0,0.440082599164,0.0117834195018,0.0117834195018,0.0117834195018,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01587087464
 01/01  20:00:00,1.81079507415,1.52094105443,0.0,0.433813054725,0.0116155494875,0.0116155494875,0.0116155494875,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.04500960192
 01/01  21:00:00,1.68958846938,1.83405253157,0.0,0.820492637635,0.0219690779998,0.0219690779998,0.0219690779998,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.969993521715
 01/01  22:00:00,1.55322606791,2.06530690664,0.0,1.15305992107,0.0308737241291,0.0308737241291,0.0308737241291,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.869697727097
 01/01  23:00:00,1.27884381935,2.49317168265,0.0,1.74014559672,0.0465932204527,0.0465932204527,0.0465932204527,0.371268979252,0.0769227476707,0.234174068073,0.534536803897,0.716205155583
 01/01  24:00:00,1.00364649465,2.99106515994,0.0,2.41364971044,0.0646266112828,0.0646266112828,0.0646266112828,0.254901084073,0.05281263592,0.151455627092,0.464502536285,0.545418746158
 01/02  01:00:00,0.721142230744,3.16632853691,0.0,2.78853682749,0.0746643909505,0.0746643909505,0.0746643909505,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351325562084
 01/02  02:00:00,0.62510045167,3.66913320836,0.0,3.36507533299,0.0901014818105,0.0901014818105,0.0901014818105,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279689525143
 01/02  03:00:00,0.592669817669,4.05836072007,0.0,3.77411223647,0.101053638143,0.101053638143,0.101053638143,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.260162664972
 01/02  04:00:00,0.592945859509,4.52314031237,0.0,4.23356824552,0.113355789847,0.113355789847,0.113355789847,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.265825286137
 01/02  05:00:00,0.593457213024,4.69125163599,0.0,4.34535519824,0.116348938318,0.116348938318,0.116348938318,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.323046694857
 01/02  06:00:00,0.642090884761,4.84519014678,0.0,4.24644735386,0.113700634058,0.113700634058,0.113700634058,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.573244316312
 01/02  07:00:00,0.845255889056,5.49934773848,0.0,4.42950312645,0.11860203885,0.11860203885,0.11860203885,0.127450542036,0.0264063108338,0.129758030703,0.427690966632,1.04038362977
 01/02  08:00:00,1.11349689794,5.19261133142,0.0,3.99194345463,0.10688617192,0.10688617192,0.10688617192,0.260442373107,0.0539607283354,0.207405929039,0.454453695544,1.16936337587
 01/02  09:00:00,1.05459045836,4.34856238718,0.0,3.18624458593,0.0853132040725,0.0853132040725,0.0853132040725,0.24935972625,0.0516645292523,0.268690649238,0.38421434955,1.13585165392
 01/02  10:00:00,0.8880188866,3.36324333204,0.0,2.30744975147,0.0617830572091,0.0617830572091,0.0617830572091,0.127450542036,0.0264063108338,0.330033495679,0.326997480842,1.03326874901
 01/02  11:00:00,0.877610563457,3.01114706808,0.0,2.07648483248,0.0555988623877,0.0555988623877,0.0555988623877,0.105285248323,0.0218139126677,0.344876619894,0.334687920184,0.911607657307
 01/02  12:00:00,0.863538250483,1.76634738396,0.0,0.940446683375,0.0251809042446,0.0251809042446,0.0251809042446,0.105285248323,0.0218139126677,0.361119725873,0.334790459375,0.802839058997
 01/02  13:00:00,0.830048606897,0.987355398633,0.0,0.246668594387,0.00660466814888,0.00660466814888,0.00660466814888,0.105285248323,0.0218139126677,0.3518459739,0.329150803858,0.718013643604
 01/02  14:00:00,0.80308492879,0.775322412344,0.0,0.0843059124069,0.00225733063352,0.00225733063352,0.00225733063352,0.105285248323,0.0218139126677,0.317847783081,0.340532654084,0.667559314114
 01/02  15:00:00,0.801486210559,0.642248332593,0.0,0.0,0.0,0.0,0.0,0.110826537357,0.0229620193354,0.292642171022,0.359707482845,0.617470311556
 01/02  16:00:00,0.865629186617,0.667893427742,0.0,0.0178987254292,0.0004792468293,0.0004792468293,0.0004792468293,0.138533188893,0.0287025099169,0.302863615842,0.379702625135,0.623839339741
 01/02  17:00:00,1.10914159456,1.0884575866,0.0,0.373298678817,0.0099952484836,0.0099952484836,0.0099952484836,0.23273572157,0.0482202235015,0.353720743409,0.4491216576,0.684221697934
 01/02  18:00:00,1.55747348469,1.95878204465,0.0,1.10806969564,0.0296690895884,0.0296690895884,0.0296690895884,0.432223571359,0.0895518497538,0.445069937436,0.54561103655,0.813128583355
 01/02  19:00:00,1.82261064349,1.37006534049,0.0,0.397242550242,0.0106363569529,0.0106363569529,0.0106363569529,0.642793999216,0.133179675089,0.398283704478,0.592368907752,0.932018164382
 01/02  20:00:00,1.77426036352,1.34163348491,0.0,0.348288646492,0.00932559305256,0.00932559305256,0.00932559305256,0.681583297609,0.141216379006,0.315345896534,0.611441197322,0.951226440627
 01/02  21:00:00,1.65163246818,1.62894124035,0.0,0.704691473555,0.0188684471233,0.0188684471233,0.0188684471233,0.587380696143,0.121698665421,0.275874927963,0.632461731524,0.880683394573
 01/02  22:00:00,1.51754502176,1.98756843887,0.0,1.15028915086,0.0307995354479,0.0307995354479,0.0307995354479,0.493178163466,0.102180951837,0.258342283024,0.617696087987,0.794730029529
 01/02  23:00:00,1.24599880402,2.26429260647,0.0,1.57014660198,0.0420414170558,0.0420414170558,0.0420414170558,0.371268979252,0.0769227476707,0.205880856148,0.534536803897,0.657325074134
 01/02  24:00:00,0.979611372855,2.63692677372,0.0,2.09618466913,0.056126334821,0.056126334821,0.056126334821,0.254901084073,0.05281263592,0.135920781757,0.464502536285,0.508745401249
 01/03  01:00:00,0.715265930345,2.94695181622,0.0,2.56907103043,0.0687880905513,0.0687880905513,0.0687880905513,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351414638461
 01/03  02:00:00,0.613346550628,3.23019839708,0.0,2.92609517785,0.0783475807682,0.0783475807682,0.0783475807682,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279734869013
 01/03  03:00:00,0.5686900083,3.16283697621,0.0,2.87852358047,0.077073828774,0.077073828774,0.077073828774,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.260227577113
 01/03  04:00:00,0.556799071861,3.17318525958,0.0,2.88357198535,0.0772090021998,0.0772090021998,0.0772090021998,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.265866493516
 01/03  05:00:00,0.560764094091,3.47024955733,0.0,3.12434522295,0.0836558193854,0.0836558193854,0.0836558193854,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.323054591495
 01/03  06:00:00,0.612757562082,3.74972173999,0.0,3.15091775105,0.0843673113791,0.0843673113791,0.0843673113791,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.573305512331
 01/03  07:00:00,0.813392037047,4.30954122627,0.0,3.23946429185,0.0867381868414,0.0867381868414,0.0867381868414,0.127450542036,0.0264063108338,0.129758030703,0.427690966632,1.04061595216
 01/03  08:00:00,1.08960920206,4.30076213852,0.0,3.09979501743,0.0829984760345,0.0829984760345,0.0829984760345,0.260442373107,0.0539607283354,0.207405929039,0.454453695544,1.16966262017
 01/03  09:00:00,1.02909327161,3.39665357755,0.0,2.23398550576,0.0598160173233,0.0598160173233,0.0598160173233,0.24935972625,0.0516645292523,0.268690649238,0.38421434955,1.13620192446
 01/03  10:00:00,0.865721667809,2.53089327915,0.0,1.47470183837,0.0394858384187,0.0394858384187,0.0394858384187,0.127450542036,0.0264063108338,0.330033495679,0.326997480842,1.03366660923
 01/03  11:00:00,0.868224439661,2.66092601702,0.0,1.72593550718,0.0462127385922,0.0462127385922,0.0462127385922,0.105285248323,0.0218139126677,0.344876619894,0.334687920184,0.911935931536
 01/03  12:00:00,0.858187707953,1.56680170431,0.0,0.74061668806,0.0198303617139,0.0198303617139,0.0198303617139,0.105285248323,0.0218139126677,0.361119725873,0.334790459375,0.803123374666
 01/03  13:00:00,0.826255264416,0.845944367242,0.0,0.104996304939,0.00281132566838,0.00281132566838,0.00281132566838,0.105285248323,0.0218139126677,0.3518459739,0.329150803858,0.718274901661
 01/03  14:00:00,0.800827598156,0.689772341498,0.0,0.0,0.0,0.0,0.0,0.105285248323,0.0218139126677,0.317847783081,0.340532654084,0.666315155675
 01/03  15:00:00,0.801486210559,0.640698850099,0.0,0.0,0.0,0.0,0.0,0.110826537357,0.0229620193354,0.292642171022,0.359707482845,0.615920829061
 01/03  16:00:00,0.865149939788,0.648886295626,0.0,0.0,0.0,0.0,0.0,0.138533188893,0.0287025099169,0.302863615842,0.379702625135,0.622730933054
 01/03  17:00:00,1.09914634608,0.714876224178,0.0,0.0,0.0,0.0,0.0,0.23273572157,0.0482202235015,0.353720743409,0.4491216576,0.68393901433
 01/03  18:00:00,1.54137239822,1.35768227123,0.0,0.506732538575,0.0135680031171,0.0135680031171,0.0135680031171,0.432223571359,0.0895518497538,0.445069937436,0.54561103655,0.813365966995
 01/03  19:00:00,1.81204626592,0.975883872174,0.0,0.00268825811051,7.19793809283e-05,7.19793809283e-05,7.19793809283e-05,0.642793999216,0.133179675089,0.398283704478,0.592368907752,0.932390988198
 01/03  20:00:00,1.76865180897,1.13254098316,0.0,0.138822517838,0.00371703849933,0.00371703849933,0.00371703849933,0.681583297609,0.141216379006,0.315345896534,0.611441197322,0.951600067532
 01/03  21:00:00,1.64546609162,1.39897511911,0.0,0.474392024373,0.0127020705706,0.0127020705706,0.0127020705706,0.587380696143,0.121698665421,0.275874927963,0.632461731524,0.881016722516
 01/03  22:00:00,1.51146258651,1.76069987284,0.0,0.923124708868,0.0247171001937,0.0247171001937,0.0247171001937,0.493178163466,0.102180951837,0.258342283024,0.617696087987,0.795025905501
 01/03  23:00:00,1.24230406392,2.12651051967,0.0,1.43215687609,0.0383466769543,0.0383466769543,0.0383466769543,0.371268979252,0.0769227476707,0.205880856148,0.534536803897,0.65753271323
