Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.691998742647,2.15959393368,0.0,1.78204871256,0.0,0.0494311021329,0.0494311021329,0.0494311021329,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305328
 01/01  02:00:00,0.588941185985,2.38702001142,0.0,2.08287044943,0.0,0.0577754026529,0.0577754026529,0.0577754026529,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.550562724685,2.56037067629,0.0,2.27593577617,0.0,0.0631307174751,0.0631307174751,0.0631307174751,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.541861309862,2.72814488702,0.0,2.43858591343,0.0,0.0676423649348,0.0676423649348,0.0676423649348,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.543078689719,2.86537056565,0.0,2.5192551434,0.0,0.0698799967781,0.0698799967781,0.0698799967781,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.595614605238,3.12665818309,0.0,2.52965290753,0.0,0.0701684136641,0.0701684136641,0.0701684136641,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.792265495475,3.43707763795,0.0,2.3705876603,0.0,0.0657562051616,0.0657562051616,0.0657562051616,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.11168420589,4.28667350284,0.0,3.08658444282,0.0,0.0856167790247,0.0856167790247,0.0856167790247,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.05097860004,3.49894179681,0.0,2.3310878411,0.0,0.064660545103,0.064660545103,0.064660545103,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.921704251489,3.2259436612,0.0,2.16317112844,0.0,0.0600028114984,0.0600028114984,0.0600028114984,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683982
 01/01  11:00:00,0.933371973641,3.43411286199,0.0,2.49350840614,0.0,0.0691658246065,0.0691658246065,0.0691658246065,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825345857
 01/01  12:00:00,0.930158423575,2.56137689477,0.0,1.73172935434,0.0,0.0480353258457,0.0480353258457,0.0480353258457,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861451541
 01/01  13:00:00,0.895671232465,1.93658991875,0.0,1.19229584212,0.0,0.0330723268838,0.0330723268838,0.0330723268838,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891826905
 01/01  14:00:00,0.862684075767,1.66829590723,0.0,0.975549823807,0.0,0.0270601486011,0.0270601486011,0.0270601486011,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569176475
 01/01  15:00:00,0.842053380167,1.03003207877,0.0,0.38562347693,0.0,0.0106965614007,0.0106965614007,0.0106965614007,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619926641719
 01/01  16:00:00,0.896593780794,0.833534996131,0.0,0.182011385738,0.0,0.00504869666824,0.00504869666824,0.00504869666824,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.62568076594
 01/01  17:00:00,1.12666603373,0.975284435866,0.0,0.25498828266,0.0,0.00707295583674,0.00707295583674,0.00707295583674,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.68972859752
 01/01  18:00:00,1.55816693553,1.57786705725,0.0,0.723107929578,0.0,0.0200578253939,0.0200578253939,0.0200578253939,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.817624432743
 01/01  19:00:00,1.81527751371,1.11029293545,0.0,0.125782573265,0.0,0.00348900183354,0.00348900183354,0.00348900183354,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.944193291591
 01/01  20:00:00,1.76754586874,1.18327520651,0.0,0.17045496969,0.0,0.00472814068237,0.00472814068237,0.00472814068237,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.971205091946
 01/01  21:00:00,1.64619698078,1.34971895169,0.0,0.404274569448,0.0,0.0112139120504,0.0112139120504,0.0112139120504,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.902398564096
 01/01  22:00:00,1.51293132934,1.5398072129,0.0,0.687201840992,0.0,0.0190618495154,0.0190618495154,0.0190618495154,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.810564514495
 01/01  23:00:00,1.24003116082,1.79331207425,0.0,1.08593425951,0.0,0.0301220314087,0.0301220314087,0.0301220314087,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670996840352
 01/01  24:00:00,0.964170273879,2.05221786784,0.0,1.50482610388,0.0,0.0417414026388,0.0417414026388,0.0417414026388,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515777374175
 01/02  01:00:00,0.689424934664,2.29141844062,0.0,1.92624886094,0.0,0.053430977227,0.053430977227,0.053430977227,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339019663894
 01/02  02:00:00,0.588814729221,2.51825545428,0.0,2.22060634373,0.0,0.0615959699643,0.0615959699643,0.0615959699643,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571926277
 01/02  03:00:00,0.552079055507,2.70439444539,0.0,2.42473944731,0.0,0.0672582867238,0.0672582867238,0.0672582867238,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969572
 01/02  04:00:00,0.54332131392,2.82487208318,0.0,2.54044516563,0.0,0.0704677731647,0.0704677731647,0.0704677731647,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875952
 01/02  05:00:00,0.544638072794,3.00739284668,0.0,2.67177098264,0.0,0.0741105354682,0.0741105354682,0.0741105354682,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313045141981
 01/02  06:00:00,0.596842077855,3.28834292514,0.0,2.72159525479,0.0,0.0754925788815,0.0754925788815,0.0754925788815,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553863046
 01/02  07:00:00,0.813546631921,4.5179410238,0.0,3.52085944707,0.0,0.0976628538247,0.0976628538247,0.0976628538247,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.96797260989
 01/02  08:00:00,1.1041286079,4.6928078008,0.0,3.57708805374,0.0,0.0992225429507,0.0992225429507,0.0992225429507,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478928889
 01/02  09:00:00,1.02634683477,3.69217697005,0.0,2.61248647693,0.0,0.0724660807259,0.0724660807259,0.0724660807259,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354057733
 01/02  10:00:00,0.881173418621,3.30701097277,0.0,2.32540949432,0.0,0.0645030370968,0.0645030370968,0.0645030370968,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.959345785502
 01/02  11:00:00,0.882805993899,3.37706959993,0.0,2.50613530963,0.0,0.0695160741543,0.0695160741543,0.0695160741543,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.848155180314
 01/02  12:00:00,0.880958823247,2.62215589813,0.0,1.85030736796,0.0,0.0513244850369,0.0513244850369,0.0513244850369,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.749062441283
 01/02  13:00:00,0.85691070524,2.21273880763,0.0,1.51855810394,0.0,0.0421223057493,0.0421223057493,0.0421223057493,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.671778453972
 01/02  14:00:00,0.822283526897,1.7397524589,0.0,1.09046231574,0.0,0.0302476322456,0.0302476322456,0.0302476322456,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.626113236216
 01/02  15:00:00,0.819680426397,1.59463309549,0.0,0.989574851133,0.0,0.0274491798062,0.0274491798062,0.0274491798062,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.580576284228
 01/02  16:00:00,0.870179999465,1.17815822187,0.0,0.565782918938,0.0,0.0156938881939,0.0156938881939,0.0156938881939,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.586532458476
 01/02  17:00:00,1.09870868893,1.21416633952,0.0,0.541976248694,0.0,0.0150335302924,0.0150335302924,0.0150335302924,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.641622535142
 01/02  18:00:00,1.52675505936,1.66201397977,0.0,0.865151459865,0.0,0.0239978794471,0.0239978794471,0.0239978794471,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.759727824972
 01/02  19:00:00,1.78388156798,1.14012819178,0.0,0.230848993981,0.0,0.00640337164652,0.00640337164652,0.00640337164652,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.868962127208
 01/02  20:00:00,1.73391793062,1.12121948648,0.0,0.19269190669,0.0,0.00534495676389,0.00534495676389,0.00534495676389,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.886912434912
 01/02  21:00:00,1.60851605725,1.16757807743,0.0,0.302410090736,0.0,0.00838835884554,0.00838835884554,0.00838835884554,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.822122168548
 01/02  22:00:00,1.47079948898,1.23730286321,0.0,0.451968619874,0.0,0.0125368666144,0.0125368666144,0.0125368666144,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.743293385923
 01/02  23:00:00,1.20110801838,1.35717496722,0.0,0.702712903463,0.0,0.0194921008928,0.0194921008928,0.0194921008928,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.618081089374
 01/02  24:00:00,0.934521773548,1.51043376135,0.0,0.996012429331,0.0,0.027627747644,0.027627747644,0.027627747644,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.482806942238
 01/03  01:00:00,0.671804692623,1.65642357618,0.0,1.29101864578,0.0,0.0358107351864,0.0358107351864,0.0358107351864,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339255014609
 01/03  02:00:00,0.569653198118,1.82757762205,0.0,1.52981086559,0.0,0.0424344388613,0.0424344388613,0.0424344388613,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273689572189
 01/03  03:00:00,0.534389178928,2.06673675702,0.0,1.78699882606,0.0,0.0495684101447,0.0495684101447,0.0495684101447,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255939902446
 01/03  04:00:00,0.528652131295,2.29612356391,0.0,2.01160407402,0.0,0.0557985905396,0.0557985905396,0.0557985905396,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.261056448283
 01/03  05:00:00,0.530793321063,2.50846224441,0.0,2.17265158344,0.0,0.0602657837372,0.0602657837372,0.0602657837372,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.3132339389
 01/03  06:00:00,0.582473161163,2.77092341984,0.0,2.20357909923,0.0,0.0611236621894,0.0611236621894,0.0611236621894,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.542150513306
 01/03  07:00:00,0.772693031747,3.04648392123,0.0,2.04803965443,0.0,0.0568092536511,0.0568092536511,0.0568092536511,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.969335299959
 01/03  08:00:00,1.06054478616,3.12315193057,0.0,2.0058405988,0.0,0.0556387212104,0.0556387212104,0.0556387212104,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.0863808736
 01/03  09:00:00,1.01145002702,3.15667872525,0.0,2.07543923472,0.0,0.0575692729716,0.0575692729716,0.0575692729716,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05508957474
 01/03  10:00:00,0.872998528907,3.01368783506,0.0,2.03069521399,0.0,0.0563281473823,0.0563281473823,0.0563281473823,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.960736928124
 01/03  11:00:00,0.873469905112,3.04168721407,0.0,2.16955845242,0.0,0.0601799853667,0.0601799853667,0.0601799853667,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.849349651657
 01/03  12:00:00,0.868662366773,2.17986661919,0.0,1.40700581323,0.0,0.0390280285633,0.0390280285633,0.0390280285633,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.750074717076
 01/03  13:00:00,0.829260045534,1.21677049703,0.0,0.521719668129,0.0,0.0144716460432,0.0144716460432,0.0144716460432,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.67264857919
 01/03  14:00:00,0.792035894651,0.649708023083,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.626531116135
