Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.05776121126,10.5835058508,0.0,10.1297219714,0.0,0.336967605322,0.336967605322,0.336967605322,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.425274389895
 01/01  02:00:00,0.957036373374,11.419380068,0.0,11.0600058127,0.0,0.367818195599,0.367818195599,0.367818195599,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33312452513
 01/01  03:00:00,0.922411993089,11.8893573031,0.0,11.5563054185,0.0,0.384275776818,0.384275776818,0.384275776818,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.30710649908
 01/01  04:00:00,0.923372202139,12.3333208424,0.0,11.9940201069,0.0,0.39888839724,0.39888839724,0.39888839724,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.313720563586
 01/01  05:00:00,0.923757587772,12.4838640271,0.0,12.0717293605,0.0,0.401456479325,0.401456479325,0.401456479325,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.38752078918
 01/01  06:00:00,0.985144740378,12.9743829515,0.0,12.2418031346,0.0,0.407163718538,0.407163718538,0.407163718538,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.705112707908
 01/01  07:00:00,1.23767573522,14.2798410169,0.0,12.9460151952,0.0,0.430805049267,0.430805049267,0.430805049267,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30209027827
 01/01  08:00:00,1.56154153984,14.3022122425,0.0,12.793735075,0.0,0.425831479519,0.425831479519,0.425831479519,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47475577489
 01/01  09:00:00,1.4629545133,12.3641024601,0.0,10.894308765,0.0,0.36175472496,0.36175472496,0.36175472496,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44128420548
 01/01  10:00:00,1.23043110661,10.2994005716,0.0,8.96050640227,0.0,0.297356621104,0.297356621104,0.297356621104,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31463028832
 01/01  11:00:00,1.2173407505,9.85197295882,0.0,8.66807227013,0.0,0.288057153148,0.288057153148,0.288057153148,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15906616133
 01/01  12:00:00,1.15199762692,7.22937739944,0.0,6.1888633619,0.0,0.204787927772,0.204787927772,0.204787927772,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01567190157
 01/01  13:00:00,1.09500405704,5.9998359868,0.0,5.06740817706,0.0,0.167821970871,0.167821970871,0.167821970871,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908004147726
 01/01  14:00:00,1.05799417737,5.59418474332,0.0,4.7281035752,0.0,0.156771074853,0.156771074853,0.156771074853,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.840812949577
 01/01  15:00:00,1.03948191194,5.00023497598,0.0,4.19670936327,0.0,0.139068764943,0.139068764943,0.139068764943,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.776834582697
 01/01  16:00:00,1.10661226938,4.90113577604,0.0,4.08872625115,0.0,0.135498434448,0.135498434448,0.135498434448,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.784234814473
 01/01  17:00:00,1.37525720176,5.12773610015,0.0,4.22701184891,0.0,0.14022503247,0.14022503247,0.14022503247,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.867398506808
 01/01  18:00:00,1.9207121077,6.95118221688,0.0,5.88001540268,0.0,0.19571240004,0.19571240004,0.19571240004,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03068136075
 01/01  19:00:00,2.24293768885,6.47635743067,0.0,5.24389118432,0.0,0.173755307304,0.173755307304,0.173755307304,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18851126334
 01/01  20:00:00,2.22071343748,6.8887543584,0.0,5.6210190875,0.0,0.186580772712,0.186580772712,0.186580772712,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22236508504
 01/01  21:00:00,2.09055811845,7.56561362788,0.0,6.38296098945,0.0,0.212057432298,0.212057432298,0.212057432298,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13572268599
 01/01  22:00:00,1.94357051329,8.20271529162,0.0,7.13841643035,0.0,0.237175168216,0.237175168216,0.237175168216,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01846454975
 01/01  23:00:00,1.64726992578,9.01942903249,0.0,8.14190433127,0.0,0.270659354826,0.270659354826,0.270659354826,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.837860978456
 01/01  24:00:00,1.34069842525,9.53115032977,0.0,8.86038264172,0.0,0.294475451859,0.294475451859,0.294475451859,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.636300650999
 01/02  01:00:00,1.0398143426,10.2290790113,0.0,9.7916207003,0.0,0.325594419741,0.325594419741,0.325594419741,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.408948821423
 01/02  02:00:00,0.928912245234,10.6879960487,0.0,10.3370510315,0.0,0.343641091534,0.343641091534,0.343641091534,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.324695286969
 01/02  03:00:00,0.894915094156,11.1362371834,0.0,10.8092115344,0.0,0.359390116312,0.359390116312,0.359390116312,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.301080263469
 01/02  04:00:00,0.898202289502,11.6119568332,0.0,11.2791643262,0.0,0.375083888775,0.375083888775,0.375083888775,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.307212335223
 01/02  05:00:00,0.905970013638,12.0157208506,0.0,11.617090775,0.0,0.386340060806,0.386340060806,0.386340060806,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.374016198108
 01/02  06:00:00,0.968053640312,12.5459083075,0.0,11.8519557761,0.0,0.394169311072,0.394169311072,0.394169311072,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.666485422451
 01/02  07:00:00,1.21987786397,13.9745689519,0.0,12.7296771382,0.0,0.423632690232,0.423632690232,0.423632690232,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21315627031
 01/02  08:00:00,1.51884244681,13.5578951616,0.0,12.1587677352,0.0,0.404293748407,0.404293748407,0.404293748407,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36540603385
 01/02  09:00:00,1.42254522176,12.0082195412,0.0,10.6526870082,0.0,0.35378273432,0.35378273432,0.35378273432,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32702304342
