Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.748925218808,3.97215561843,0.0,3.58065375618,0.0958736959376,0.0958736959376,0.0958736959376,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365035714918
 01/01  02:00:00,0.662762106607,4.93551373313,0.0,4.62423634116,0.123816112672,0.123816112672,0.123816112672,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.286909041746
 01/01  03:00:00,0.631683631814,5.42318471546,0.0,5.13366157064,0.13745621386,0.13745621386,0.13745621386,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265437326199
 01/01  04:00:00,0.625976091081,5.71152302283,0.0,5.41617398593,0.145020617248,0.145020617248,0.145020617248,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271602256187
 01/01  05:00:00,0.628882760191,5.92631210493,0.0,5.56865355962,0.14910332987,0.14910332987,0.14910332987,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.33480880242
 01/01  06:00:00,0.680855340618,6.17373157532,0.0,5.54120558251,0.148368397315,0.148368397315,0.148368397315,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.607027516195
 01/01  07:00:00,0.880054224717,6.47957351992,0.0,5.33230039755,0.142774862294,0.142774862294,0.142774862294,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11781214011
 01/01  08:00:00,1.15851984097,6.1780825794,0.0,4.88311656721,0.130747753028,0.130747753028,0.130747753028,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26366151127
 01/01  09:00:00,1.10900717554,5.26810020904,0.0,4.0071233339,0.107292620359,0.107292620359,0.107292620359,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23451072782
 01/01  10:00:00,0.950880776892,4.12018554373,0.0,2.9733887698,0.0796138890357,0.0796138890357,0.0796138890357,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12427194238
 01/01  11:00:00,0.949017512249,3.85464738917,0.0,2.84176430813,0.076089581891,0.076089581891,0.076089581891,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989828502739
 01/01  12:00:00,0.932875614153,2.46055891565,0.0,1.56970184194,0.0420295083956,0.0420295083956,0.0420295083956,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867795432123
 01/01  13:00:00,0.897320589285,1.77051996252,0.0,0.973508292405,0.0260661444457,0.0260661444457,0.0260661444457,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774338509476
 01/01  14:00:00,0.856160390648,1.17851695864,0.0,0.438638758178,0.0117447599773,0.0117447599773,0.0117447599773,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716421014638
 01/01  15:00:00,0.843441965861,0.792217560118,0.0,0.105700586038,0.00283018312752,0.00283018312752,0.00283018312752,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.661738953042
 01/01  16:00:00,0.905432418308,0.814399548571,0.0,0.120390244207,0.00322350566486,0.00322350566486,0.00322350566486,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.667853941792
 01/01  17:00:00,1.14379978902,1.09531353385,0.0,0.326250964141,0.00873552369632,0.00873552369632,0.00873552369632,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.738125359857
 01/01  18:00:00,1.58790134369,1.83965178663,0.0,0.924167386475,0.0247450183792,0.0247450183792,0.0247450183792,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.877900634493
 01/01  19:00:00,1.85803280671,1.49543331568,0.0,0.438767407796,0.0117482046315,0.0117482046315,0.0117482046315,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01586128202
 01/01  20:00:00,1.81061929881,1.51437073108,0.0,0.427248265037,0.0114397741422,0.0114397741422,0.0114397741422,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.04500406825
 01/01  21:00:00,1.68197934707,1.54987913651,0.0,0.536310077267,0.0143599556889,0.0143599556889,0.0143599556889,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.970002687016
 01/01  22:00:00,1.54602270843,1.79626688513,0.0,0.884031634258,0.0236703646522,0.0236703646522,0.0236703646522,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.869685992398
