Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.87561901989,6.08237419004,0.0,5.62320897033,0.0,0.154825413954,0.154825413954,0.154825413954,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430655730127
 01/01  02:00:00,0.749854787289,6.1999353411,0.0,5.83426971397,0.0,0.160636609514,0.160636609514,0.160636609514,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.339415896922
 01/01  03:00:00,0.699118700575,6.18684599046,0.0,5.84683177451,0.0,0.160982484304,0.160982484304,0.160982484304,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.314068830438
 01/01  04:00:00,0.688401660719,6.29988941022,0.0,5.95344351878,0.0,0.16391785582,0.16391785582,0.16391785582,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.32086571958
 01/01  05:00:00,0.685890547469,6.36119517611,0.0,5.94151552687,0.0,0.163589439022,0.163589439022,0.163589439022,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.395065771796
 01/01  06:00:00,0.744016090431,6.77091950229,0.0,6.030340002,0.0,0.166035068591,0.166035068591,0.166035068591,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.713112391304
 01/01  07:00:00,0.967367946969,7.17129637085,0.0,5.82920862161,0.0,0.160497261017,0.160497261017,0.160497261017,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.31035220586
 01/01  08:00:00,1.2856183067,6.96134387418,0.0,5.444619034,0.0,0.149908246378,0.149908246378,0.149908246378,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48300344764
 01/01  09:00:00,1.2232585831,5.91234872517,0.0,4.43313595676,0.0,0.122058794763,0.122058794763,0.122058794763,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.45070327882
 01/01  10:00:00,1.0271300866,4.76427470399,0.0,3.41606901754,0.0,0.0940556010855,0.0940556010855,0.0940556010855,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32394180541
 01/01  11:00:00,1.02009956055,4.49137177092,0.0,3.2984064172,0.0,0.0908159632027,0.0908159632027,0.0908159632027,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16813082636
 01/01  12:00:00,1.00453645854,3.13209694035,0.0,2.08208936399,0.0,0.0573267593946,0.0573267593946,0.0573267593946,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02516544039
 01/01  13:00:00,0.97286280166,2.59967871571,0.0,1.65910881528,0.0,0.0456807154911,0.0456807154911,0.0456807154911,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.916146238406
 01/01  14:00:00,0.945822300991,2.49343008299,0.0,1.61982846675,0.0,0.0445991984687,0.0445991984687,0.0445991984687,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.848333397684
 01/01  15:00:00,0.950529193264,2.63162693605,0.0,1.82019859486,0.0,0.0501160462672,0.0501160462672,0.0501160462672,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.784737311178
 01/01  16:00:00,1.03554198971,3.16000173884,0.0,2.3400097479,0.0,0.0644281547752,0.0644281547752,0.0644281547752,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.791817280524
 01/01  17:00:00,1.31915664568,3.96250261979,0.0,3.05537378011,0.0,0.0841244763951,0.0841244763951,0.0841244763951,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.873803095243
 01/01  18:00:00,1.84571947236,5.46071857516,0.0,4.38450281762,0.0,0.120719764693,0.120719764693,0.120719764693,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03573030409
 01/01  19:00:00,2.17334721485,5.02122182238,0.0,3.78323306289,0.0,0.104164833307,0.104164833307,0.104164833307,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19403377648
 01/01  20:00:00,2.14100202724,5.15441301195,0.0,3.88146068762,0.0,0.106869362472,0.106869362472,0.106869362472,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22758213847
 01/01  21:00:00,1.99574431414,5.4461938536,0.0,4.25825065647,0.0,0.117243627986,0.117243627986,0.117243627986,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.1410132447
 01/01  22:00:00,1.83678890059,5.80592292187,0.0,4.73585177235,0.0,0.130393555521,0.130393555521,0.130393555521,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02423683799
 01/01  23:00:00,1.52283575263,6.19460424639,0.0,5.31085131486,0.0,0.146225181673,0.146225181673,0.146225181673,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.844089208761
 01/01  24:00:00,1.2132572399,6.7442857537,0.0,6.06663054723,0.0,0.167034266508,0.167034266508,0.167034266508,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.643188169424
 01/02  01:00:00,0.900411411979,7.20646847366,0.0,6.76241467781,0.0,0.18619148912,0.18619148912,0.18619148912,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.415544306266
 01/02  02:00:00,0.783599448218,7.56102569199,0.0,7.20321952532,0.0,0.198328294518,0.198328294518,0.198328294518,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.331556436464
 01/02  03:00:00,0.744526747517,7.92474510691,0.0,7.59087669156,0.0,0.209001769673,0.209001769673,0.209001769673,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.307923029851
 01/02  04:00:00,0.734824525871,8.02864507847,0.0,7.68909800778,0.0,0.211706125144,0.211706125144,0.211706125144,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.31396689883
 01/02  05:00:00,0.736986402913,8.29967424496,0.0,7.89431598239,0.0,0.217356450081,0.217356450081,0.217356450081,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.380744385117
 01/02  06:00:00,0.795513233554,8.75024504318,0.0,8.04949013858,0.0,0.221628904314,0.221628904314,0.221628904314,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.673287795605
 01/02  07:00:00,1.03259533378,9.83591663111,0.0,8.58416138654,0.0,0.236350160047,0.236350160047,0.236350160047,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.22001970118
 01/02  08:00:00,1.34739264517,9.86318904823,0.0,8.45681685423,0.0,0.232843946774,0.232843946774,0.232843946774,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37265080146
 01/02  09:00:00,1.26690591726,8.55917474615,0.0,7.19650529915,0.0,0.198143429817,0.198143429817,0.198143429817,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33415995742
 01/02  10:00:00,1.04891522144,7.08277531858,0.0,5.84281155296,0.0,0.160871794399,0.160871794399,0.160871794399,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21569988457
 01/02  11:00:00,1.04400457016,7.11563380327,0.0,6.01588961962,0.0,0.165637202098,0.165637202098,0.165637202098,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.0749096563
 01/02  12:00:00,1.00881270669,5.11566008156,0.0,4.14377608692,0.0,0.114091767063,0.114091767063,0.114091767063,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.947041858665
 01/02  13:00:00,0.977576845926,4.43974430133,0.0,3.56678349987,0.0,0.098205265848,0.098205265848,0.098205265848,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.848537139443
 01/02  14:00:00,0.959446059339,4.51301527563,0.0,3.69774221086,0.0,0.101810989332,0.101810989332,0.101810989332,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.790004846223
 01/02  15:00:00,0.973832448013,4.84556241645,0.0,4.08759340172,0.0,0.112544873192,0.112544873192,0.112544873192,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.731277984713
 01/02  16:00:00,1.05144191462,5.029767938,0.0,4.26345978995,0.0,0.117387052542,0.117387052542,0.117387052542,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.738133437624
 01/02  17:00:00,1.32472303545,5.40400699898,0.0,4.56207046923,0.0,0.125608785413,0.125608785413,0.125608785413,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.808610785314
 01/02  18:00:00,1.84366701007,6.59299060111,0.0,5.59392872512,0.0,0.154019232624,0.154019232624,0.154019232624,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.958576422543
 01/02  19:00:00,2.16103145219,5.72157652009,0.0,4.58206811126,0.0,0.126159386186,0.126159386186,0.126159386186,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09555342582
 01/02  20:00:00,2.12276450881,5.62550132296,0.0,4.46283831466,0.0,0.122876598242,0.122876598242,0.122876598242,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11729282244
 01/02  21:00:00,1.97148695353,5.72591754683,0.0,4.64316694245,0.0,0.127841637704,0.127841637704,0.127841637704,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03582065195
 01/02  22:00:00,1.80141783469,5.72655952478,0.0,4.74441564571,0.0,0.130629347085,0.130629347085,0.130629347085,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.936309567542
 01/02  23:00:00,1.48538402876,5.79264887357,0.0,4.9782171228,0.0,0.137066669735,0.137066669735,0.137066669735,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.774768028
 01/02  24:00:00,1.17364184695,5.82642967127,0.0,5.19203284441,0.0,0.142953718889,0.142953718889,0.142953718889,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.599929789816
 01/03  01:00:00,0.859969410788,5.73741566511,0.0,5.29357427189,0.0,0.145749487928,0.145749487928,0.145749487928,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.415331903634
