Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.642567640514,0.367233776833,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.341083861045
 01/01  02:00:00,0.531165783332,0.296764869405,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.272687685131
 01/01  03:00:00,0.48743200721,0.279876889724,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.25607886121
 01/01  04:00:00,0.474218944927,0.285773396488,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.262310354887
 01/01  05:00:00,0.473198692941,0.34334397384,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.320767251775
 01/01  06:00:00,0.525446191574,0.594261726697,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.569067919385
 01/01  07:00:00,0.726509290314,1.06368719538,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03457822854
 01/01  08:00:00,1.02606742687,1.19672682719,0.0,0.0,0.0,0.0,0.0,0.0,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16579636902
 01/01  09:00:00,0.986318054941,1.16189008918,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.13574017339
 01/01  10:00:00,0.86170143999,1.05329002288,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.03103432994
 01/01  11:00:00,0.864206149034,0.929290878652,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.906511768661
 01/01  12:00:00,0.882123097729,0.813051969472,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.790265880587
 01/01  13:00:00,0.862598905581,0.724590970762,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.702188721047
 01/01  14:00:00,0.835623927166,0.670668175509,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.647491268561
 01/01  15:00:00,0.831356818766,0.620509186936,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.596027226812
 01/01  16:00:00,0.891545084126,0.626739142513,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.60089629806
 01/01  17:00:00,1.11959307789,0.696274402348,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.665706846662
 01/01  18:00:00,1.53810911013,0.832723577478,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.795588882546
 01/01  19:00:00,1.81178851188,0.962366040141,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.922048969548
 01/01  20:00:00,1.76281772805,0.991225294356,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.94961014948
 01/01  21:00:00,1.63498306873,0.926027650881,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.882981832737
 01/01  22:00:00,1.49386947983,0.834767749409,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.792726892
 01/01  23:00:00,1.20990912941,0.691913765316,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.655532790935
 01/01  24:00:00,0.92242887124,0.536098361444,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.50448397166
 01/02  01:00:00,0.635993957437,0.357501870364,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.331351954575
 01/02  02:00:00,0.527218759256,0.29176937862,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.267692194347
 01/02  03:00:00,0.484820768783,0.278079849217,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.254281820704
 01/02  04:00:00,0.478284349327,0.480210920435,0.0,0.195786964184,0.0,0.00543080857141,0.00543080857141,0.00543080857141,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.26096091465
 01/02  05:00:00,0.485445235314,0.873422193131,0.0,0.537800359445,0.0,0.0149176979885,0.0149176979885,0.0149176979885,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313045111622
 01/02  06:00:00,0.544319200903,1.39483211964,0.0,0.828084464745,0.0,0.0229697019295,0.0229697019295,0.0229697019295,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553847583
 01/02  07:00:00,0.751658003703,2.28678400966,0.0,1.28970243298,0.0,0.035774225607,0.035774225607,0.035774225607,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.967972609832
 01/02  08:00:00,1.02543963513,1.85597882944,0.0,0.740259082384,0.0,0.0205335701814,0.0205335701814,0.0205335701814,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478928889
 01/02  09:00:00,0.963745337775,1.43532020743,0.0,0.355629714316,0.0,0.00986458372654,0.00986458372654,0.00986458372654,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354057733
 01/02  10:00:00,0.816670381524,0.979493072349,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.957237379408
 01/02  11:00:00,0.813289919745,0.863825366462,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.841046256472
 01/02  12:00:00,0.82963433821,0.759667026676,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.736880937791
 01/02  13:00:00,0.81478839949,0.679116762357,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.656714512642
 01/02  14:00:00,0.792035894651,0.632631382452,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.609454475503
 01/02  15:00:00,0.792231246591,0.586830715413,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.562348755288
 01/02  16:00:00,0.854486111271,0.593389341047,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.567546496593
 01/02  17:00:00,1.08367515864,0.653982247751,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.623414692065
 01/02  18:00:00,1.50275717992,0.782608575499,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.745473880567
 01/02  19:00:00,1.77747819634,0.892561911468,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.852244840875
 01/02  20:00:00,1.72857297386,0.911639883285,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.870024738409
 01/02  21:00:00,1.6001276984,0.85090554903,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.807859730887
 01/02  22:00:00,1.45826262236,0.77280845607,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.730767598661
 01/02  23:00:00,1.18161591749,0.6445531389,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.608172164519
 01/02  24:00:00,0.906894025904,0.507251237345,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.47563684756
 01/03  01:00:00,0.635993957437,0.361499549109,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.33534963332
 01/03  02:00:00,0.531172898101,0.438970449147,0.0,0.142551303406,0.0,0.00395413884491,0.00395413884491,0.00395413884491,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.272341961468
 01/03  03:00:00,0.500495108693,0.844814350228,0.0,0.565078180585,0.0,0.0156743399104,0.0156743399104,0.0156743399104,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.25593814113
 01/03  04:00:00,0.498799990946,1.21991829179,0.0,0.935399701063,0.0,0.0259464501909,0.0259464501909,0.0259464501909,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.261055549128
 01/03  05:00:00,0.505452313967,1.59488943146,0.0,1.25907880998,0.0,0.034924776641,0.034924776641,0.034924776641,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.31323389941
 01/03  06:00:00,0.561980920785,2.03215423509,0.0,1.4648100043,0.0,0.0406314218111,0.0406314218111,0.0406314218111,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.542150423474
 01/03  07:00:00,0.781904611689,3.37857193627,0.0,2.38012782298,0.0,0.0660208335932,0.0660208335932,0.0660208335932,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.969335146445
 01/03  08:00:00,1.04007105192,2.38504997048,0.0,1.2677386715,0.0,0.0351649869653,0.0351649869653,0.0351649869653,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08638084081
 01/03  09:00:00,0.963997850771,1.44597259187,0.0,0.364733101436,0.0,0.010117096722,0.010117096722,0.010117096722,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05508957465
 01/03  10:00:00,0.816670381524,0.980915346713,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.958659653772
 01/03  11:00:00,0.813289919745,0.867446032511,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.844666922521
 01/03  12:00:00,0.82963433821,0.763515679838,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.740729590953
 01/03  13:00:00,0.81478839949,0.68180880063,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.659406550915
 01/03  14:00:00,0.792035894651,0.634717335789,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.611540428841
 01/03  15:00:00,0.792231246591,0.588392340647,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.563910380523
 01/03  16:00:00,0.854486111271,0.594418484169,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.568575639715
 01/03  17:00:00,1.08367515864,0.655151491241,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.624583935555
 01/03  18:00:00,1.50275717992,0.783643645546,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.746508950613
 01/03  19:00:00,1.77747819634,0.895365530976,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.855048460383
 01/03  20:00:00,1.72857297386,0.914754742669,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.873139597793
 01/03  21:00:00,1.6001276984,0.853597992192,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.810552174048
 01/03  22:00:00,1.45826262236,0.775925782107,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.733884924698
 01/03  23:00:00,1.18161591749,0.64661587398,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.610234899599
 01/03  24:00:00,0.906894025904,0.510303382891,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.478688993106
 01/04  01:00:00,0.635993957437,0.362096183336,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.335946267547
 01/04  02:00:00,0.533058735655,0.507720446702,0.0,0.210537940161,0.0,0.00583997639883,0.00583997639883,0.00583997639883,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273105322268
 01/04  03:00:00,0.500585851464,0.848167014381,0.0,0.568349562982,0.0,0.0157650826809,0.0157650826809,0.0157650826809,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.256019422885
 01/04  04:00:00,0.495613396748,1.10512787367,0.0,0.820519274689,0.0,0.0227598559923,0.0227598559923,0.0227598559923,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.261145557378
 01/04  05:00:00,0.498347410123,1.33893169138,0.0,1.00293876452,0.0,0.0278198727973,0.0278198727973,0.0278198727973,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313416204797
 01/04  06:00:00,0.550334071775,1.61284795303,0.0,1.04492755401,0.0,0.0289845728008,0.0289845728008,0.0289845728008,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.542726591707
 01/04  07:00:00,0.761327141235,2.63804614983,0.0,1.6382860847,0.0,0.0454433631385,0.0454433631385,0.0454433631385,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.970651098297
 01/04  08:00:00,1.02946671832,2.00428839929,0.0,0.885440114263,0.0,0.0245606533717,0.0245606533717,0.0245606533717,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08791782686
 01/04  09:00:00,0.974857011341,1.83895382138,0.0,0.756218467526,0.0,0.0209762572928,0.0209762572928,0.0209762572928,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05658543807
 01/04  10:00:00,0.82671111711,1.34631625413,0.0,0.36198019368,0.0,0.0100407355858,0.0100407355858,0.0100407355858,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.962080367506
 01/04  11:00:00,0.827637960815,1.39054583618,0.0,0.517263565101,0.0,0.0143480410697,0.0143480410697,0.0143480410697,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.85050316109
 01/04  12:00:00,0.82963433821,0.773248297157,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.750462208273
 01/04  13:00:00,0.81478839949,0.693253399731,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.670851150016
 01/04  14:00:00,0.792035894651,0.646702052477,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.623525145529
 01/04  15:00:00,0.792231246591,0.600919017,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.576437056875
 01/04  16:00:00,0.854486111271,0.606803173904,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.580960329451
 01/04  17:00:00,1.08367515864,0.667122294381,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.636554738695
 01/04  18:00:00,1.50275717992,0.794605143561,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.757470448629
 01/04  19:00:00,1.77747819634,0.905778910883,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.86546184029
 01/04  20:00:00,1.72857297386,0.923970515225,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.882355370349
 01/04  21:00:00,1.6001276984,0.861603307956,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.818557489812
 01/04  22:00:00,1.45826262236,0.782831793369,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.74079093596
 01/04  23:00:00,1.18161591749,0.654245325508,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.617864351127
 01/04  24:00:00,0.912002740744,0.698946016299,0.0,0.184175110617,0.0,0.00510871483988,0.00510871483988,0.00510871483988,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.483156515897
 01/05  01:00:00,0.652264585286,0.95236906909,0.0,0.586575054148,0.0,0.0162706278486,0.0162706278486,0.0162706278486,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339644099153
 01/05  02:00:00,0.551830795988,1.18528249914,0.0,0.887292544143,0.0,0.0246120367317,0.0246120367317,0.0246120367317,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273912770721
 01/05  03:00:00,0.515579516596,1.38878388784,0.0,1.10888862628,0.0,0.0307587478128,0.0307587478128,0.0307587478128,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.256097233045
 01/05  04:00:00,0.507194562662,1.52272887077,0.0,1.238033773,0.0,0.0343410219067,0.0343410219067,0.0343410219067,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.261232056171
 01/05  05:00:00,0.506286644871,1.62532611911,0.0,1.28915740927,0.0,0.0357591075451,0.0357591075451,0.0357591075451,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313591987772
 01/05  06:00:00,0.555560122965,1.80180873055,0.0,1.23333277651,0.0,0.0342106239912,0.0342106239912,0.0342106239912,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.543282146732
 01/05  07:00:00,0.745567972461,2.07117880469,0.0,1.07014972494,0.0,0.0296841943647,0.0296841943647,0.0296841943647,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.971920112903
 01/05  08:00:00,1.04710176928,2.64153453704,0.0,1.52120420816,0.0,0.0421957043308,0.0421957043308,0.0421957043308,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08939987071
 01/05  09:00:00,0.968824434763,1.62291477301,0.0,0.538737066917,0.0,0.0149436807141,0.0149436807141,0.0149436807141,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.0580277903
 01/05  10:00:00,0.81838769805,1.04754266708,0.0,0.0619112577311,0.0,0.00171731652592,0.00171731652592,0.00171731652592,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.963375716408
 01/05  11:00:00,0.823108459972,1.22832967085,0.0,0.353969792608,0.0,0.00981854022676,0.00981854022676,0.00981854022676,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.851580768255
 01/05  12:00:00,0.82963433821,0.774101205056,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.751315116171
 01/05  13:00:00,0.81478839949,0.694611223161,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.672208973446
 01/05  14:00:00,0.792035894651,0.645894194019,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.622717287071
 01/05  15:00:00,0.792231246591,0.601027871238,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.576545911113
 01/05  16:00:00,0.854486111271,0.607243889424,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.581401044971
 01/05  17:00:00,1.08367515864,0.667820710857,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.637253155172
 01/05  18:00:00,1.50275717992,0.795013725562,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.75787903063
 01/05  19:00:00,1.77747819634,0.906467865643,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.866150795051
 01/05  20:00:00,1.72857297386,0.925216904135,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.883601759259
 01/05  21:00:00,1.6001276984,0.862891304887,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.819845486743
 01/05  22:00:00,1.45826262236,0.784326240362,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.742285382953
 01/05  23:00:00,1.18161591749,0.654311417993,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.617930443611
 01/05  24:00:00,0.913511060745,0.754390378298,0.0,0.238551800578,0.0,0.00661703484043,0.00661703484043,0.00661703484043,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.484224187935
 01/06  01:00:00,0.656398291704,1.10166314592,0.0,0.735599977382,0.0,0.0204043342668,0.0204043342668,0.0204043342668,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.33991325275
 01/06  02:00:00,0.559035311896,1.44511919848,0.0,1.14702372034,0.0,0.0318165526393,0.0318165526393,0.0318165526393,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.274018293865
 01/06  03:00:00,0.526532597736,1.78372950213,0.0,1.50375993813,0.0,0.0417118289535,0.0417118289535,0.0417118289535,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.256171535487
 01/06  04:00:00,0.521888156645,2.05253291886,0.0,1.76775492244,0.0,0.0490346158896,0.0490346158896,0.0490346158896,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.261314954817
 01/06  05:00:00,0.524948158281,2.29826467917,0.0,1.96192666814,0.0,0.0544206209553,0.0544206209553,0.0544206209553,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313761288964
 01/06  06:00:00,0.579239542666,2.65601427851,0.0,2.08700339221,0.0,0.0578900436922,0.0578900436922,0.0578900436922,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.543817078986
 01/06  07:00:00,0.769234663862,2.92561192165,0.0,1.92336147064,0.0,0.0533508857661,0.0533508857661,0.0533508857661,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.973141484169
 01/06  08:00:00,1.05127476817,2.79340251824,0.0,1.67164567062,0.0,0.0463687032188,0.0463687032188,0.0463687032188,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.09082638945
 01/06  09:00:00,0.988480197544,2.33291622591,0.0,1.24735017179,0.0,0.0345994434959,0.0345994434959,0.0345994434959,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05941613833
 01/06  10:00:00,0.841214490919,1.87172195291,0.0,0.88484368466,0.0,0.0245441093948,0.0245441093948,0.0245441093948,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.964622575311
 01/06  11:00:00,0.835753043596,1.68528681295,0.0,0.809821735931,0.0,0.0224631238507,0.0224631238507,0.0224631238507,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.852685967024
 01/06  12:00:00,0.832288929465,0.871389469431,0.0,0.0957011016048,0.0,0.00265459125461,0.00265459125461,0.00265459125461,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.752902278942
 01/06  13:00:00,0.81478839949,0.695350845652,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.672948595937
 01/06  14:00:00,0.792035894651,0.647429135685,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.624252228737
 01/06  15:00:00,0.792231246591,0.600409661931,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.575927701806
 01/06  16:00:00,0.854486111271,0.607721312336,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.581878467883
 01/06  17:00:00,1.08367515864,0.667098077957,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.636530522272
 01/06  18:00:00,1.50275717992,0.793153078877,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.756018383945
 01/06  19:00:00,1.77747819634,0.904825644134,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.864508573541
 01/06  20:00:00,1.72857297386,0.924135318785,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.88252017391
 01/06  21:00:00,1.6001276984,0.86134475517,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.818298937026
 01/06  22:00:00,1.45826262236,0.781785795275,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.739744937866
 01/06  23:00:00,1.18161591749,0.6523264985,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.615945524119
 01/06  24:00:00,0.906894025904,0.512738337748,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.481123947963
 01/07  01:00:00,0.645051243695,0.46826259019,0.0,0.0895367827131,0.0,0.00248360318085,0.00248360318085,0.00248360318085,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.352575891688
 01/07  02:00:00,0.543768258759,0.759113245206,0.0,0.454333893869,0.0,0.0126024754273,0.0126024754273,0.0126024754273,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280702167064
 01/07  03:00:00,0.509905002471,1.09513299242,0.0,0.810177611732,0.0,0.0224729952604,0.0224729952604,0.0224729952604,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.261157352179
 01/07  04:00:00,0.504355408546,1.37659451633,0.0,1.08645455747,0.0,0.0301364636187,0.0301364636187,0.0301364636187,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266676917267
 01/07  05:00:00,0.509248350306,1.64693623755,0.0,1.29963206814,0.0,0.0360496573649,0.0360496573649,0.0360496573649,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.324727447344
 01/07  06:00:00,0.564863810669,2.02177469956,0.0,1.42105100492,0.0,0.0394176190947,0.0394176190947,0.0394176190947,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.575529887336
 01/07  07:00:00,0.787034932005,3.25700352842,0.0,2.18201976488,0.0,0.0605256416916,0.0605256416916,0.0605256416916,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0458747967
