Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.973036587447,4.51129495713,0.0,4.48332757875,0.0,0.111411896184,0.111411896184,0.111411896184,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803470011
 01/01  02:00:00,0.789432670012,4.65900268468,0.0,4.63325209611,0.0,0.115467605255,0.115467605255,0.115467605255,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844102074
 01/01  03:00:00,0.72492301916,4.70739951939,0.0,4.68194748836,0.0,0.116994325562,0.116994325562,0.116994325562,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417455276
 01/01  04:00:00,0.713068184812,4.58591671596,0.0,4.56082295399,0.0,0.114025465479,0.114025465479,0.114025465479,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072423428
 01/01  05:00:00,0.758645324134,4.52377963482,0.0,4.49963379307,0.0,0.112488285231,0.112488285231,0.112488285231,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137187177
 01/01  06:00:00,1.02186458321,4.39468611826,0.0,4.36774129949,0.0,0.10931831931,0.10931831931,0.10931831931,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094807
 01/01  07:00:00,1.63270625698,4.06320429914,0.0,4.03207221075,0.0,0.100913331009,0.100913331009,0.100913331009,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252535
 01/01  08:00:00,2.06982284129,4.29478816075,0.0,4.26170798435,0.0,0.106487133929,0.106487133929,0.106487133929,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.00486083215,3.88931507695,0.0,3.86134769857,0.0,0.0967485999417,0.0967485999417,0.0967485999417,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.75682488426,3.72316971435,0.0,3.69936721378,0.0,0.0927196594621,0.0927196594621,0.0927196594621,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.66909861725,4.44994970412,0.0,4.42558740815,0.0,0.111808008515,0.111808008515,0.111808008515,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958446954
 01/01  12:00:00,1.57135314783,3.63040597875,0.0,3.60603621884,0.0,0.0908308290437,0.0908308290437,0.0908308290437,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158124
 01/01  13:00:00,1.47284485049,3.38686639647,0.0,3.36290715319,0.0,0.0847504767799,0.0847504767799,0.0847504767799,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165273
 01/01  14:00:00,1.39814565193,3.23084483523,0.0,3.20605709475,0.0,0.0810658575905,0.0810658575905,0.0810658575905,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927993973
 01/01  15:00:00,1.3563673561,3.31297041956,0.0,3.28678692254,0.0,0.0833034503327,0.0833034503327,0.0833034503327,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516437854
 01/01  16:00:00,1.43355752546,3.4728960439,0.0,3.44525707883,0.0,0.0873965401799,0.0873965401799,0.0873965401799,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328057139
 01/01  17:00:00,1.74355223964,3.47590088101,0.0,3.44320882943,0.0,0.0871272757261,0.0871272757261,0.0871272757261,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914893408
 01/01  18:00:00,2.35294067266,4.54211111,0.0,4.50239549208,0.0,0.114198641958,0.114198641958,0.114198641958,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680400119
 01/01  19:00:00,2.76682295114,3.73813414616,0.0,3.69501497219,0.0,0.0926489441651,0.0926489441651,0.0926489441651,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127808228
 01/01  20:00:00,2.74681976119,3.57179382971,0.0,3.52728636313,0.0,0.0881119726086,0.0881119726086,0.0881119726086,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909670134
 01/01  21:00:00,2.54360079549,3.74586988469,0.0,3.69983231068,0.0,0.0925494617855,0.0925494617855,0.0925494617855,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498761521
