Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.902523636491,7.05978645479,0.0,6.60037594538,0.0,0.181730030555,0.181730030555,0.181730030555,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.43090101982
 01/01  02:00:00,0.779774293639,7.28654395089,0.0,6.92093650983,0.0,0.190556115865,0.190556115865,0.190556115865,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.339357710856
 01/01  03:00:00,0.734136775296,7.45796035671,0.0,7.11867692489,0.0,0.196000559025,0.196000559025,0.196000559025,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.313338046316
 01/01  04:00:00,0.723543691083,7.57544147511,0.0,7.22979069805,0.0,0.199059886184,0.199059886184,0.199059886184,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.320070605195
 01/01  05:00:00,0.723839258306,7.73848802583,0.0,7.31980043336,0.0,0.201538149859,0.201538149859,0.201538149859,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.394073715013
 01/01  06:00:00,0.777473393908,7.9849273794,0.0,7.24549844549,0.0,0.199492372068,0.199492372068,0.199492372068,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711961824912
 01/01  07:00:00,1.01404176235,8.86512266908,0.0,7.52438650365,0.0,0.207171076394,0.207171076394,0.207171076394,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30900062205
 01/01  08:00:00,1.34156853047,8.99214190487,0.0,7.47671306933,0.0,0.205858470151,0.205858470151,0.205858470151,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.481707443
 01/01  09:00:00,1.28917778613,8.3049173826,0.0,6.82730009532,0.0,0.187977997798,0.187977997798,0.187977997798,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4491077977
 01/01  10:00:00,1.09858710742,7.3574705149,0.0,6.01136490744,0.0,0.165512621909,0.165512621909,0.165512621909,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32184172641
 01/01  11:00:00,1.0968463988,7.27634805142,0.0,6.0858267654,0.0,0.167562801449,0.167562801449,0.167562801449,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16568675867
 01/01  12:00:00,1.06983082139,5.50072561585,0.0,4.453559509,0.0,0.122621122243,0.122621122243,0.122621122243,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02232397087
