Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.941220148598,7.75611892832,0.0,7.29781841394,0.0,0.220426542662,0.220426542662,0.220426542662,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.4297910248
 01/01  02:00:00,0.808866091942,7.63815477507,0.0,7.27479710848,0.0,0.219647914167,0.219647914167,0.219647914167,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337107936389
 01/01  03:00:00,0.76854121466,7.96776667921,0.0,7.63035010989,0.0,0.230404998389,0.230404998389,0.230404998389,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311471183819
 01/01  04:00:00,0.758238731284,8.07994253952,0.0,7.73556510786,0.0,0.233754926385,0.233754926385,0.233754926385,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318797259791
 01/01  05:00:00,0.753171824898,8.06296756727,0.0,7.64593852479,0.0,0.230870716451,0.230870716451,0.230870716451,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392415165025
 01/01  06:00:00,0.808587990422,8.37574654328,0.0,7.63818077336,0.0,0.230606968582,0.230606968582,0.230606968582,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710098660929
 01/01  07:00:00,1.02712047256,8.63199661843,0.0,7.29271409235,0.0,0.220249786603,0.220249786603,0.220249786603,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.3075469827
 01/01  08:00:00,1.33957059027,8.27215782711,0.0,6.7580224703,0.0,0.203860529953,0.203860529953,0.203860529953,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48041396427
 01/01  09:00:00,1.28411545597,7.54500408304,0.0,6.06822885795,0.0,0.182915667638,0.182915667638,0.182915667638,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4482657355
 01/01  10:00:00,1.08422293996,6.36704807206,0.0,5.02146270031,0.0,0.151148454454,0.151148454454,0.151148454454,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3213214907
 01/01  11:00:00,1.05801057894,5.46758384501,0.0,4.27773898333,0.0,0.128726981595,0.128726981595,0.128726981595,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16501033432
 01/01  12:00:00,1.02881720512,3.77197216235,0.0,2.72464233772,0.0,0.0816075059734,0.0816075059734,0.0816075059734,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02248768865
 01/01  13:00:00,0.983068352262,2.80674820992,0.0,1.86776064942,0.0,0.0558862660931,0.0558862660931,0.0558862660931,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.914563898484
