Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.954635464385,8.94973895665,0.0,8.49306068357,0.0,0.233841858449,0.233841858449,0.233841858449,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428168783498
 01/01  02:00:00,0.824708055883,8.91577269664,0.0,8.5529162247,0.0,0.235489878108,0.235489878108,0.235489878108,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336606741735
 01/01  03:00:00,0.777117818376,9.0164272658,0.0,8.67973451118,0.0,0.238981602105,0.238981602105,0.238981602105,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310747369113
 01/01  04:00:00,0.764105782751,9.04632854468,0.0,8.70299275124,0.0,0.239621977852,0.239621977852,0.239621977852,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317755621573
 01/01  05:00:00,0.762528323625,9.14146544764,0.0,8.72497477519,0.0,0.240227215177,0.240227215177,0.240227215177,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391876794996
 01/01  06:00:00,0.815877603973,9.37759075325,0.0,8.64032693663,0.0,0.237896582132,0.237896582132,0.237896582132,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709796707627
 01/01  07:00:00,1.03614345737,9.66579730082,0.0,8.32711291994,0.0,0.229272771414,0.229272771414,0.229272771414,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.3069488375
 01/01  08:00:00,1.37857894579,10.334387512,0.0,8.82091938597,0.0,0.242868885469,0.242868885469,0.242868885469,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47974673347
 01/01  09:00:00,1.32450886605,9.58653461988,0.0,8.11051349301,0.0,0.223309077709,0.223309077709,0.223309077709,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44751163728
 01/01  10:00:00,1.13334700956,8.61816074488,0.0,7.27383331317,0.0,0.200272524049,0.200272524049,0.200272524049,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32006355066
 01/01  11:00:00,1.14242267567,8.9298499404,0.0,7.74114240378,0.0,0.21313907832,0.21313907832,0.21313907832,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16387300927
 01/01  12:00:00,1.1120321834,7.03128240426,0.0,5.98629933087,0.0,0.164822484251,0.164822484251,0.164822484251,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02014093742
 01/01  13:00:00,1.07431978654,6.2801710083,0.0,5.34399369886,0.0,0.147137700369,0.147137700369,0.147137700369,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.911753647427
 01/01  14:00:00,1.04843288805,6.21555449976,0.0,5.34661180854,0.0,0.147209785529,0.147209785529,0.147209785529,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843674472665
 01/01  15:00:00,1.05576461748,6.44871935882,0.0,5.64231517338,0.0,0.155351470483,0.155351470483,0.155351470483,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779713155421
 01/01  16:00:00,1.12678335579,6.46868078807,0.0,5.65386666031,0.0,0.155669520862,0.155669520862,0.155669520862,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.786639417344
 01/01  17:00:00,1.40449657825,7.05722066691,0.0,6.15489253533,0.0,0.169464408961,0.169464408961,0.169464408961,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.869002387152
 01/01  18:00:00,1.93293165841,8.62378424135,0.0,7.55202121408,0.0,0.207931950746,0.207931950746,0.207931950746,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03127757383
 01/01  19:00:00,2.25852260199,8.11028137209,0.0,6.87677558133,0.0,0.189340220444,0.189340220444,0.189340220444,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18955080775
 01/01  20:00:00,2.21855784488,7.96680059299,0.0,6.69826290581,0.0,0.184425180112,0.184425180112,0.184425180112,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22316750132
 01/01  21:00:00,2.06640436328,8.00818600377,0.0,6.82460079275,0.0,0.187903677132,0.187903677132,0.187903677132,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13665525859
 01/01  22:00:00,1.90839319443,8.40270529777,0.0,7.33649657054,0.0,0.201997849359,0.201997849359,0.201997849359,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02037441571
 01/01  23:00:00,1.58916843501,8.59993512372,0.0,7.72003288963,0.0,0.212557864056,0.212557864056,0.212557864056,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.840238511326
 01/01  24:00:00,1.27041468941,8.81626155909,0.0,8.14257063078,0.0,0.224191716013,0.224191716013,0.224191716013,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.639223891257
 01/02  01:00:00,0.950455950048,9.02062577786,0.0,8.580016118,0.0,0.236236027188,0.236236027188,0.236236027188,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412100170276
 01/02  02:00:00,0.827433400916,9.1496733886,0.0,8.79525451315,0.0,0.242162247217,0.242162247217,0.242162247217,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328169145247
 01/02  03:00:00,0.77916199089,9.17939892987,0.0,8.84881753119,0.0,0.243637013046,0.243637013046,0.243637013046,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304636013175
 01/02  04:00:00,0.769488103726,9.28468713352,0.0,8.94806794665,0.0,0.246369703,0.246369703,0.246369703,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311039015009
 01/02  05:00:00,0.766363266212,9.36410616712,0.0,8.9612741581,0.0,0.24673331338,0.24673331338,0.24673331338,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378218131568
 01/02  06:00:00,0.820914991474,9.67030598672,0.0,8.97207377233,0.0,0.247030662234,0.247030662234,0.247030662234,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.6707651054
 01/02  07:00:00,1.03837791543,10.0435284525,0.0,8.79418288229,0.0,0.242132741699,0.242132741699,0.242132741699,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21761002679
 01/02  08:00:00,1.37217736054,10.7611172896,0.0,9.35698970174,0.0,0.257628662135,0.257628662135,0.257628662135,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37040619529
 01/02  09:00:00,1.31419265561,10.2751198243,0.0,8.91394434539,0.0,0.245430168168,0.245430168168,0.245430168168,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33266598936
 01/02  10:00:00,1.10799352522,9.22611484682,0.0,7.98851644262,0.0,0.219950098179,0.219950098179,0.219950098179,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21333452315
 01/02  11:00:00,1.11111991646,9.55011053395,0.0,8.45349729501,0.0,0.232752548405,0.232752548405,0.232752548405,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07177871159
 01/02  12:00:00,1.0903887035,8.07507318561,0.0,7.10658991258,0.0,0.195667763873,0.195667763873,0.195667763873,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.943641137059
 01/02  13:00:00,1.07004875798,7.79449064735,0.0,6.92533344395,0.0,0.190677177904,0.190677177904,0.190677177904,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.84473354139
 01/02  14:00:00,1.03422058214,7.22405138169,0.0,6.4135287,0.0,0.176585512137,0.176585512137,0.176585512137,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.785254463135
 01/02  15:00:00,1.01787476008,6.44068886317,0.0,5.68719593461,0.0,0.156587185263,0.156587185263,0.156587185263,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.726801898543
 01/02  16:00:00,1.08792330558,6.35101548244,0.0,5.58845211323,0.0,0.153868443509,0.153868443509,0.153868443509,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.734388658796
 01/02  17:00:00,1.36611893782,6.90481905422,0.0,6.06555625739,0.0,0.16700468778,0.16700468778,0.16700468778,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.805937052404
 01/02  18:00:00,1.89445746223,8.43510507022,0.0,7.43862152402,0.0,0.204809684786,0.204809684786,0.204809684786,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.955998092756
 01/02  19:00:00,2.21798591723,7.78708337623,0.0,6.65063586467,0.0,0.183113851225,0.183113851225,0.183113851225,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09249252855
 01/02  20:00:00,2.1814154306,7.75301168469,0.0,6.59302082844,0.0,0.181527520025,0.181527520025,0.181527520025,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11462067039
 01/02  21:00:00,2.03826349109,8.1485774385,0.0,7.06846919361,0.0,0.194618175261,0.194618175261,0.194618175261,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03317829246
 01/02  22:00:00,1.87800234923,8.50498101433,0.0,7.52594044952,0.0,0.207213861629,0.207213861629,0.207213861629,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.933206253294
 01/02  23:00:00,1.58014606581,9.23137760792,0.0,8.41994366586,0.0,0.231828706778,0.231828706778,0.231828706778,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.771770219286
 01/02  24:00:00,1.27755738853,9.59728073068,0.0,8.96621171239,0.0,0.246869260469,0.246869260469,0.246869260469,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.596601981248
