Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.701840467701,2.21372423751,0.0,1.8221506625,0.0487889448309,0.0487889448309,0.0487889448309,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365107427682
 01/01  02:00:00,0.598345340141,2.52976671083,0.0,2.21842383385,0.059399346206,0.059399346206,0.059399346206,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.286974526753
 01/01  03:00:00,0.562068432942,2.82317788019,0.0,2.5337000182,0.0678410149886,0.0678410149886,0.0678410149886,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265392043365
 01/01  04:00:00,0.556867661585,3.13033669558,0.0,2.83513906032,0.0759121877509,0.0759121877509,0.0759121877509,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271450854546
 01/01  05:00:00,0.560833959289,3.38470018952,0.0,3.02719323343,0.0810545289683,0.0810545289683,0.0810545289683,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334657213206
 01/01  06:00:00,0.615278691174,3.72444817911,0.0,3.09207421386,0.0827917478712,0.0827917478712,0.0827917478712,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606875488639
 01/01  07:00:00,0.815719069791,4.07667883976,0.0,2.92953588652,0.0784397073683,0.0784397073683,0.0784397073683,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11768197099
 01/01  08:00:00,1.10410595383,4.14578202299,0.0,2.85088773225,0.0763338658819,0.0763338658819,0.0763338658819,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26358978982
 01/01  09:00:00,1.06782323177,3.72995944888,0.0,2.46900131293,0.0661086765893,0.0661086765893,0.0661086765893,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23449198862
 01/01  10:00:00,0.918795565242,2.92187820449,0.0,1.77508268085,0.0475286773858,0.0475286773858,0.0475286773858,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12427069209
 01/01  11:00:00,0.919419884351,2.74925047729,0.0,1.73636353608,0.0464919539926,0.0464919539926,0.0464919539926,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989832362911
 01/01  12:00:00,0.908301204751,1.54278034454,0.0,0.651906293638,0.0174550989936,0.0174550989936,0.0174550989936,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.867812409318
 01/01  13:00:00,0.871254444839,0.79678774362,0.0,0.0,0.0,0.0,0.0,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774114582979
 01/01  14:00:00,0.844415630671,0.73834170713,0.0,0.0,0.0,0.0,0.0,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.714884521307
 01/01  15:00:00,0.840611782734,0.682856326104,0.0,0.0,0.0,0.0,0.0,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.658078305066
 01/01  16:00:00,0.902208912643,0.689228367539,0.0,0.0,0.0,0.0,0.0,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.663073004967
 01/01  17:00:00,1.13506426533,0.765120533575,0.0,0.0,0.0,0.0,0.0,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.734183323728
 01/01  18:00:00,1.56315632531,0.913702672698,0.0,0.0,0.0,0.0,0.0,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.876118907036
 01/01  19:00:00,1.84628460207,1.05302856765,0.0,0.0,0.0,0.0,0.0,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01222394179
 01/01  20:00:00,1.79917952466,1.08390466009,0.0,0.0,0.0,0.0,0.0,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.0417862623
 01/01  21:00:00,1.66761939138,1.01235826834,0.0,0.0,0.0,0.0,0.0,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.968791896118
 01/01  22:00:00,1.52514698455,1.01630534827,0.0,0.104373163892,0.00279464077245,0.00279464077245,0.00279464077245,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.869382925905
 01/01  23:00:00,1.24708997859,1.30730467086,0.0,0.554215420043,0.0148393797008,0.0148393797008,0.0148393797008,0.371268979252,0.0769227476707,0.234174068073,0.534536803897,0.716268320462
 01/01  24:00:00,0.970869443443,1.766968743,0.0,1.18950506489,0.0318495600728,0.0318495600728,0.0318495600728,0.254901084073,0.05281263592,0.151455627092,0.464502536285,0.545466974777
 01/02  01:00:00,0.697064094243,2.26707308956,0.0,1.88927588775,0.0505862544492,0.0505862544492,0.0505862544492,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351331054479
 01/02  02:00:00,0.596349723557,2.59535352645,0.0,2.29130424691,0.0613507536968,0.0613507536968,0.0613507536968,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.27968092932
 01/02  03:00:00,0.568530678733,3.15675696852,0.0,2.87257300136,0.0769144992072,0.0769144992072,0.0769144992072,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.26009814853
 01/02  04:00:00,0.563094070353,3.40817278972,0.0,3.11867515701,0.0835040006912,0.0835040006912,0.0835040006912,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.265750852001
 01/02  05:00:00,0.560329685862,3.45393806721,0.0,3.10812111225,0.0832214111567,0.0832214111567,0.0832214111567,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.322967212067
 01/02  06:00:00,0.611261561457,3.69376189974,0.0,3.09504569766,0.0828713107539,0.0828713107539,0.0828713107539,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.573217725471
 01/02  07:00:00,0.806497431371,4.05175693936,0.0,2.98196722274,0.0798435811659,0.0798435811659,0.0798435811659,0.127450542036,0.0264063108338,0.129758030703,0.427690966632,1.04032873437
 01/02  08:00:00,1.09440788843,4.47961674141,0.0,3.27901450191,0.0877971624005,0.0877971624005,0.0877971624005,0.260442373107,0.0539607283354,0.207405929039,0.454453695544,1.16929773857
 01/02  09:00:00,1.03131198915,3.47914957279,0.0,2.31684931131,0.0620347348644,0.0620347348644,0.0620347348644,0.24935972625,0.0516645292523,0.268690649238,0.38421434955,1.13583411415
 01/02  10:00:00,0.865215331771,2.51158494674,0.0,1.45579139561,0.03897950238,0.03897950238,0.03897950238,0.127450542036,0.0264063108338,0.330033495679,0.326997480842,1.03326871958
 01/02  11:00:00,0.848459023171,1.92242309972,0.0,0.98774436826,0.0264473221023,0.0264473221023,0.0264473221023,0.105285248323,0.0218139126677,0.344876619894,0.334687920184,0.91162415316
 01/02  12:00:00,0.839665496931,0.874772538145,0.0,0.0488563066724,0.00130815069244,0.00130815069244,0.00130815069244,0.105285248323,0.0218139126677,0.361119725873,0.334790459375,0.802854589886
 01/02  13:00:00,0.823443938748,0.739576613924,0.0,0.0,0.0,0.0,0.0,0.105285248323,0.0218139126677,0.3518459739,0.329150803858,0.716903453283
 01/02  14:00:00,0.800827598156,0.68799637007,0.0,0.0,0.0,0.0,0.0,0.105285248323,0.0218139126677,0.317847783081,0.340532654084,0.664539184247
 01/02  15:00:00,0.801486210559,0.638847340486,0.0,0.0,0.0,0.0,0.0,0.110826537357,0.0229620193354,0.292642171022,0.359707482845,0.614069319448
 01/02  16:00:00,0.865149939788,0.646438238902,0.0,0.0,0.0,0.0,0.0,0.138533188893,0.0287025099169,0.302863615842,0.379702625135,0.62028287633
 01/02  17:00:00,1.09914634608,0.712412507155,0.0,0.0,0.0,0.0,0.0,0.23273572157,0.0482202235015,0.353720743409,0.4491216576,0.681475297307
 01/02  18:00:00,1.52902975363,0.895823273518,0.0,0.0457642169918,0.00122535853044,0.00122535853044,0.00122535853044,0.432223571359,0.0895518497538,0.445069937436,0.54561103655,0.812475290865
 01/02  19:00:00,1.81197428654,0.969646336251,0.0,0.0,0.0,0.0,0.0,0.642793999216,0.133179675089,0.398283704478,0.592368907752,0.928841710386
