Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.04112409038,12.0875258538,0.0,11.6342996126,0.0,0.320330484441,0.320330484441,0.320330484441,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.424716751583
 01/01  02:00:00,0.919329197021,12.3487419595,0.0,11.9895254741,0.0,0.330111019247,0.330111019247,0.330111019247,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.332966755188
 01/01  03:00:00,0.875380035694,12.5817906786,0.0,12.24858647,0.0,0.337243819423,0.337243819423,0.337243819423,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.307258823027
 01/01  04:00:00,0.863591887161,12.6559541869,0.0,12.3162958935,0.0,0.339108082262,0.339108082262,0.339108082262,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.314078121481
 01/01  05:00:00,0.861382388606,12.7280028156,0.0,12.3153224498,0.0,0.339081280159,0.339081280159,0.339081280159,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.388066488371
 01/01  06:00:00,0.912354130881,12.8777046329,0.0,12.1443231972,0.0,0.334373109041,0.334373109041,0.334373109041,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.705914326743
 01/01  07:00:00,1.13328483419,13.1901200548,0.0,11.8552563144,0.0,0.326414148237,0.326414148237,0.326414148237,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30312819698
 01/01  08:00:00,1.47792433098,13.938856692,0.0,12.4291116515,0.0,0.342214270655,0.342214270655,0.342214270655,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47602364789
 01/01  09:00:00,1.42446442882,13.2132900911,0.0,11.7408672113,0.0,0.323264640485,0.323264640485,0.323264640485,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44391339022
 01/01  10:00:00,1.24056821562,12.5085024314,0.0,11.1680728462,0.0,0.307493730111,0.307493730111,0.307493730111,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31616570414
 01/01  11:00:00,1.28141462777,13.9738168238,0.0,12.7892851595,0.0,0.352131030419,0.352131030419,0.352131030419,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15969713694
 01/01  12:00:00,1.25238408431,12.1241946641,0.0,11.0838349878,0.0,0.305174385167,0.305174385167,0.305174385167,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01551754025
 01/01  13:00:00,1.21915719371,11.5354285878,0.0,10.6044414928,0.0,0.291975107546,0.291975107546,0.291975107546,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.906563432969
 01/01  14:00:00,1.18593946024,11.2043177817,0.0,10.3408060462,0.0,0.284716357718,0.284716357718,0.284716357718,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.838243516982
 01/01  15:00:00,1.17378424031,10.7296858108,0.0,9.9287497118,0.0,0.273371093317,0.273371093317,0.273371093317,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.774245069013
 01/01  16:00:00,1.24271833661,10.6740379467,0.0,9.86458767492,0.0,0.271604501684,0.271604501684,0.271604501684,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.781275561314
 01/01  17:00:00,1.50747919561,10.7923394783,0.0,9.89518789727,0.0,0.27244702632,0.27244702632,0.27244702632,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.86382583655
 01/01  18:00:00,2.04078828312,12.5364865513,0.0,11.4693389469,0.0,0.315788575457,0.315788575457,0.315788575457,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02666215086
 01/01  19:00:00,2.33960053523,11.0509121279,0.0,9.82149989912,0.0,0.270418153682,0.270418153682,0.270418153682,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18545724577
 01/01  20:00:00,2.30129779311,10.968217483,0.0,9.70335107063,0.0,0.267165128341,0.267165128341,0.267165128341,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.21949622646
 01/01  21:00:00,2.1521228272,11.1180060131,0.0,9.93786768424,0.0,0.273622141049,0.273622141049,0.273622141049,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13320837647
 01/01  22:00:00,1.98883961532,11.3207408896,0.0,10.2582845638,0.0,0.282444270242,0.282444270242,0.282444270242,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01662201422
 01/01  23:00:00,1.67319622106,11.6481391884,0.0,10.7718949079,0.0,0.296585650111,0.296585650111,0.296585650111,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.836580557797
 01/01  24:00:00,1.35609009276,11.9243872263,0.0,11.2542735763,0.0,0.309867119361,0.309867119361,0.309867119361,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.635646612911
 01/02  01:00:00,1.0405609853,12.2895873726,0.0,11.8526018618,0.0,0.326341062438,0.326341062438,0.326341062438,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.408476021163
 01/02  02:00:00,0.921668671086,12.5688639034,0.0,12.2178490537,0.0,0.336397517386,0.336397517386,0.336397517386,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.324765119511
 01/02  03:00:00,0.880954896684,12.8728910972,0.0,12.5459029538,0.0,0.345429918841,0.345429918841,0.345429918841,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.301042757835
 01/02  04:00:00,0.873678863668,13.06527409,0.0,12.7322426565,0.0,0.350560462941,0.350560462941,0.350560462941,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.30745126159
 01/02  05:00:00,0.875078516888,13.3088891536,0.0,12.9097769084,0.0,0.355448564056,0.355448564056,0.355448564056,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.374498367779
 01/02  06:00:00,0.931297212002,13.6756837846,0.0,12.9811203286,0.0,0.357412882762,0.357412882762,0.357412882762,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.667096346977
 01/02  07:00:00,1.14759441527,14.0064530301,0.0,12.7608908401,0.0,0.351349241537,0.351349241537,0.351349241537,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21382664661
 01/02  08:00:00,1.45227698085,13.6663949056,0.0,12.2661820106,0.0,0.337728282452,0.337728282452,0.337728282452,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36649150251
 01/02  09:00:00,1.3960576443,13.2445205934,0.0,11.8872542626,0.0,0.327295156856,0.327295156856,0.327295156856,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32875684125
 01/02  10:00:00,1.19446479989,12.3632544385,0.0,11.129125177,0.0,0.306421372842,0.306421372842,0.306421372842,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.20986538045
 01/02  11:00:00,1.23397128963,14.0085619833,0.0,12.9154194431,0.0,0.35560392157,0.35560392157,0.35560392157,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.06830801286
 01/02  12:00:00,1.20513831184,12.2383386659,0.0,11.2742585821,0.0,0.310417372216,0.310417372216,0.310417372216,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.939237947873
 01/02  13:00:00,1.15702576096,10.9488989744,0.0,10.0843100673,0.0,0.277654180884,0.277654180884,0.277654180884,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.840165245163
 01/02  14:00:00,1.12062498244,10.3583377303,0.0,9.55170857891,0.0,0.262989912432,0.262989912432,0.262989912432,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.781360932821
 01/02  15:00:00,1.12061810448,10.1681040695,0.0,9.41880097983,0.0,0.259330529657,0.259330529657,0.259330529657,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.722612059635
 01/02  16:00:00,1.17585676169,9.54026926151,0.0,8.78216680466,0.0,0.241801899612,0.241801899612,0.241801899612,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.72992774644
 01/02  17:00:00,1.44357458548,9.71294452444,0.0,8.87872033442,0.0,0.244460335443,0.244460335443,0.244460335443,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.800898445586
 01/02  18:00:00,1.96833620084,11.1139343504,0.0,10.1218734208,0.0,0.278688423394,0.278688423394,0.278688423394,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.951575476198
 01/02  19:00:00,2.27658875697,9.91131222514,0.0,8.77907205431,0.0,0.241716690969,0.241716690969,0.241716690969,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.08828518782
 01/02  20:00:00,2.23879819998,9.8331663092,0.0,8.6771444571,0.0,0.238910289409,0.238910289409,0.238910289409,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11065166624
 01/02  21:00:00,2.08247595075,9.75076990063,0.0,8.67425143205,0.0,0.238830634926,0.238830634926,0.238830634926,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.02958851615
 01/02  22:00:00,1.90663145801,9.5412528488,0.0,8.56574042282,0.0,0.235842970407,0.235842970407,0.235842970407,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.929678114456
 01/02  23:00:00,1.58894103612,9.54735258817,0.0,8.73937414364,0.0,0.24062367709,0.24062367709,0.24062367709,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.768314721766
 01/02  24:00:00,1.28040874557,9.69812477828,0.0,9.06977207821,0.0,0.249720617513,0.249720617513,0.249720617513,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.593885663028
 01/03  01:00:00,0.975617648758,9.93220567245,0.0,9.49388087887,0.0,0.261397725899,0.261397725899,0.261397725899,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.409815303994
 01/03  02:00:00,0.8588664081,10.2890449868,0.0,9.93689116986,0.0,0.273595254401,0.273595254401,0.273595254401,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.325904086752
 01/03  03:00:00,0.815914877363,10.5121450875,0.0,10.1836704834,0.0,0.280389899519,0.280389899519,0.280389899519,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.302529218504
 01/03  04:00:00,0.812784214611,10.8550821081,0.0,10.5205686937,0.0,0.289665813884,0.289665813884,0.289665813884,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.308933242563
 01/03  05:00:00,0.826795198819,11.5569823415,0.0,11.1561424091,0.0,0.307165245987,0.307165245987,0.307165245987,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.376226054968
 01/03  06:00:00,0.877098974455,11.7093056663,0.0,11.0126578665,0.0,0.303214645215,0.303214645215,0.303214645215,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.669180690805
 01/03  07:00:00,1.09119937941,11.9608777201,0.0,10.7126413733,0.0,0.29495420567,0.29495420567,0.29495420567,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21650080336
 01/03  08:00:00,1.42156313331,12.5540908284,0.0,11.1506649993,0.0,0.307014434905,0.307014434905,0.307014434905,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36970443651
 01/03  09:00:00,1.34742807095,11.4811099094,0.0,10.1210438833,0.0,0.278665583501,0.278665583501,0.278665583501,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33155653661
 01/03  10:00:00,1.14749143233,10.6599607263,0.0,9.4230676565,0.0,0.259448005281,0.259448005281,0.259448005281,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21262918875
 01/03  11:00:00,1.1656800008,11.5305566111,0.0,10.4351019154,0.0,0.287312632738,0.287312632738,0.287312632738,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07062016835
 01/03  12:00:00,1.14166295991,9.93555338783,0.0,8.96885432524,0.0,0.246942020281,0.246942020281,0.246942020281,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.941856926616
 01/03  13:00:00,1.10590098803,9.09462217688,0.0,8.22747484615,0.0,0.226529407954,0.226529407954,0.226529407954,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.842723668714
 01/03  14:00:00,1.07711629858,8.78022276792,0.0,7.97148725016,0.0,0.219481228573,0.219481228573,0.219481228573,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.783467299199
 01/03  15:00:00,1.04773937763,7.52307074064,0.0,6.77186918689,0.0,0.186451802811,0.186451802811,0.186451802811,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.724510523738
 01/03  16:00:00,1.11941827714,7.49307039612,0.0,6.73233929606,0.0,0.185363415069,0.185363415069,0.185363415069,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.732556389641
 01/03  17:00:00,1.38685601572,7.65581493856,0.0,6.8187202212,0.0,0.187741765681,0.187741765681,0.187741765681,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.803768972929
 01/03  18:00:00,1.91439161987,9.15777037672,0.0,8.16262368342,0.0,0.224743842422,0.224743842422,0.224743842422,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.954661239853
 01/03  19:00:00,2.22440761293,8.01949651643,0.0,6.88386977614,0.0,0.18953554693,0.18953554693,0.18953554693,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09167175729
 01/03  20:00:00,2.18954777249,8.04803027708,0.0,6.88838485643,0.0,0.189659861921,0.189659861921,0.189659861921,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11427523479
 01/03  21:00:00,2.03755184201,8.12202646503,0.0,7.04262232946,0.0,0.19390652619,0.19390652619,0.19390652619,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03247418314
 01/03  22:00:00,1.87229490123,8.29706793252,0.0,7.31864778347,0.0,0.201506413622,0.201506413622,0.201506413622,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.932585837524
 01/03  23:00:00,1.55892090085,8.45973445562,0.0,7.64905253817,0.0,0.210603541825,0.210603541825,0.210603541825,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.771018194682
 01/03  24:00:00,1.25181697084,8.66150329755,0.0,8.03132806526,0.0,0.221128842777,0.221128842777,0.221128842777,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.595708195245
 01/04  01:00:00,0.946785189532,8.88630654173,0.0,8.44669528306,0.0,0.232565266672,0.232565266672,0.232565266672,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411101769088
 01/04  02:00:00,0.826389360199,9.11046404439,0.0,8.75733529188,0.0,0.241118206499,0.241118206499,0.241118206499,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.326879022304
 01/04  03:00:00,0.783188669548,9.32439636903,0.0,8.99506519797,0.0,0.247663691704,0.247663691704,0.247663691704,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.303385785555
 01/04  04:00:00,0.779775350893,9.6572826567,0.0,9.32169743725,0.0,0.256656950166,0.256656950166,0.256656950166,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310005047584
 01/04  05:00:00,0.780342243093,9.87097421982,0.0,9.46898607817,0.0,0.260712290261,0.260712290261,0.260712290261,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377374264202
 01/04  06:00:00,0.833445652933,10.1255397104,0.0,9.42718334459,0.0,0.259561323693,0.259561323693,0.259561323693,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.67088925684
 01/04  07:00:00,1.07376401635,11.3308846196,0.0,10.0793946251,0.0,0.277518842615,0.277518842615,0.277518842615,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21975445115
 01/04  08:00:00,1.38895761621,11.3734951511,0.0,9.96644316184,0.0,0.274408917812,0.274408917812,0.274408917812,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37333059669
 01/04  09:00:00,1.32034306752,10.5003813856,0.0,9.13732531717,0.0,0.251580580079,0.251580580079,0.251580580079,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33454657886
 01/04  10:00:00,1.13202263398,10.1009018856,0.0,8.86124590258,0.0,0.243979206935,0.243979206935,0.243979206935,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21539210192
 01/04  11:00:00,1.14728760135,10.8647624553,0.0,9.76709591502,0.0,0.268920233295,0.268920233295,0.268920233295,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07283201294
 01/04  12:00:00,1.12606714722,9.37084359055,0.0,8.40241945141,0.0,0.231346207591,0.231346207591,0.231346207591,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.943582003168
 01/04  13:00:00,1.10257883063,8.97565585632,0.0,8.10681516368,0.0,0.223207250555,0.223207250555,0.223207250555,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.844417030632
 01/04  14:00:00,1.06624693066,8.38643575572,0.0,7.57671532201,0.0,0.208611860652,0.208611860652,0.208611860652,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.784452215164
 01/04  15:00:00,1.06123206053,8.01425598238,0.0,7.26191906679,0.0,0.19994448571,0.19994448571,0.19994448571,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.725645885577
 01/04  16:00:00,1.13141557649,7.92941277564,0.0,7.16807732895,0.0,0.197360714418,0.197360714418,0.197360714418,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.733160736265
 01/04  17:00:00,1.39149386422,7.82491880105,0.0,6.98716537905,0.0,0.192379614181,0.192379614181,0.192379614181,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.804427677569
 01/04  18:00:00,1.86583075907,7.39463716217,0.0,6.39890892175,0.0,0.176182981619,0.176182981619,0.176182981619,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.955242786962
 01/04  19:00:00,2.19724964816,7.03524627506,0.0,5.89750127739,0.0,0.162377582157,0.162377582157,0.162377582157,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09379001465
 01/04  20:00:00,2.15610839031,6.8351536263,0.0,5.67387730866,0.0,0.156220479742,0.156220479742,0.156220479742,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11590613178
 01/04  21:00:00,2.00267384308,6.85717998761,0.0,5.77586468654,0.0,0.159028527261,0.159028527261,0.159028527261,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03438534864
 01/04  22:00:00,1.83230205397,6.84659516891,0.0,5.86612050342,0.0,0.16151356637,0.16151356637,0.16151356637,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.934640353976
 01/04  23:00:00,1.51992227293,7.04498295854,0.0,6.23263498249,0.0,0.171604913898,0.171604913898,0.171604913898,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.772684253281
 01/04  24:00:00,1.21137246598,7.19435024468,0.0,6.56239672707,0.0,0.180684337921,0.180684337921,0.180684337921,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.597486480565
 01/05  01:00:00,0.908523362277,7.49793954955,0.0,7.05703808953,0.0,0.194303439417,0.194303439417,0.194303439417,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.41239197043
 01/05  02:00:00,0.791750520162,7.85356559514,0.0,7.4992638226,0.0,0.206479366463,0.206479366463,0.206479366463,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328052042337
 01/05  03:00:00,0.743598150897,7.887598426,0.0,7.55715036261,0.0,0.208073173054,0.208073173054,0.208073173054,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304502677881
 01/05  04:00:00,0.734540383267,8.01513472556,0.0,7.67877804028,0.0,0.21142198254,0.21142198254,0.21142198254,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310776513414
 01/05  05:00:00,0.738031556496,8.33528479803,0.0,7.93227562259,0.0,0.218401603665,0.218401603665,0.218401603665,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378395297985
 01/05  06:00:00,0.789439525697,8.52898310052,0.0,7.82889503324,0.0,0.215555196457,0.215555196457,0.215555196457,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.672620958282
 01/05  07:00:00,1.00359611036,8.78504497219,0.0,7.53091896895,0.0,0.207350936622,0.207350936622,0.207350936622,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.22239045986
 01/05  08:00:00,1.33541636583,9.43173806279,0.0,8.02184226094,0.0,0.220867667425,0.220867667425,0.220867667425,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.3761744093
 01/05  09:00:00,1.26892695451,8.63661405087,0.0,7.26990871846,0.0,0.200164467065,0.200164467065,0.200164467065,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33819584283
 01/05  10:00:00,1.09586545968,8.79101394322,0.0,7.54802902377,0.0,0.207822032634,0.207822032634,0.207822032634,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21872103841
 01/05  11:00:00,1.11744158512,9.78387241017,0.0,8.68309825631,0.0,0.239074217058,0.239074217058,0.239074217058,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07593962649
 01/05  12:00:00,1.09762022014,8.34081618711,0.0,7.36923625832,0.0,0.202899280506,0.202899280506,0.202899280506,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.946737792811
 01/05  13:00:00,1.08103864879,8.19538775426,0.0,7.32448272446,0.0,0.201667068714,0.201667068714,0.201667068714,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.846481367786
 01/05  14:00:00,1.0213002124,6.75634278166,0.0,5.94426504889,0.0,0.163665142395,0.163665142395,0.163665142395,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.786809514223
 01/05  15:00:00,1.03929916637,7.21999161331,0.0,6.46532344309,0.0,0.178011591549,0.178011591549,0.178011591549,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.727977140212
 01/05  16:00:00,1.10595306593,7.00763763495,0.0,6.24328717891,0.0,0.171898203856,0.171898203856,0.171898203856,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.736175745626
 01/05  17:00:00,1.37795363327,7.33601054914,0.0,6.49538856934,0.0,0.178839383232,0.178839383232,0.178839383232,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.807296235368
 01/05  18:00:00,1.89900558913,8.60259354131,0.0,7.60380802223,0.0,0.209357811683,0.209357811683,0.209357811683,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.958300065628
 01/05  19:00:00,2.20634717016,7.36790864289,0.0,6.22792033481,0.0,0.171475104161,0.171475104161,0.171475104161,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09603332507
 01/05  20:00:00,2.16829576255,7.28014386264,0.0,6.1165187272,0.0,0.168407851974,0.168407851974,0.168407851974,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11825494959
 01/05  21:00:00,2.01586853627,7.3388979719,0.0,6.25509167646,0.0,0.172223220449,0.172223220449,0.172223220449,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03687634301
 01/05  22:00:00,1.84851282295,7.43705307799,0.0,6.45489039059,0.0,0.177724335343,0.177724335343,0.177724335343,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.936328375875
 01/05  23:00:00,1.53594092197,7.62805055393,0.0,6.81442713603,0.0,0.187623562944,0.187623562944,0.187623562944,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.773959695131
 01/05  24:00:00,1.22689122768,7.75882983989,0.0,7.12603313399,0.0,0.196203099625,0.196203099625,0.196203099625,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.598329668849
 01/06  01:00:00,0.920495218083,7.93330702052,0.0,7.49185202118,0.0,0.206275295223,0.206275295223,0.206275295223,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412945509756
 01/06  02:00:00,0.798415175021,8.09600869152,0.0,7.74132193199,0.0,0.213144021322,0.213144021322,0.213144021322,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328437029322
 01/06  03:00:00,0.752078696862,8.19588367751,0.0,7.86516104978,0.0,0.216553719019,0.216553719019,0.216553719019,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304777242226
 01/06  04:00:00,0.741116845473,8.25441991283,0.0,7.91763302105,0.0,0.217998444747,0.217998444747,0.217998444747,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311206719905
 01/06  05:00:00,0.738788418592,8.36316548001,0.0,7.95976460917,0.0,0.219158465761,0.219158465761,0.219158465761,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.37878699338
 01/06  06:00:00,0.792763920505,8.65063827725,0.0,7.94963597766,0.0,0.218879591265,0.218879591265,0.218879591265,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.673535190595
 01/06  07:00:00,1.0216564241,9.44310610581,0.0,8.18686372409,0.0,0.225411250365,0.225411250365,0.225411250365,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.22450683834
 01/06  08:00:00,1.33543806273,9.43489879085,0.0,8.0226302856,0.0,0.220889364332,0.220889364332,0.220889364332,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37854711271
 01/06  09:00:00,1.2707806918,8.70588927689,0.0,7.3372358574,0.0,0.202018204355,0.202018204355,0.202018204355,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.3401439299
 01/06  10:00:00,1.05798614338,7.41713814023,0.0,6.17226450469,0.0,0.169942716341,0.169942716341,0.169942716341,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.22060975449
 01/06  11:00:00,1.04413482202,7.12371359085,0.0,6.02062032513,0.0,0.16576745396,0.16576745396,0.16576745396,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07825873836
 01/06  12:00:00,1.0111421761,5.20281941598,0.0,4.2283816625,0.0,0.116421236469,0.116421236469,0.116421236469,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.949595617507
 01/06  13:00:00,0.973838685709,4.30640740675,0.0,3.43101472957,0.0,0.0944671056312,0.0944671056312,0.0944671056312,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.850969015164
 01/06  14:00:00,0.939988020646,3.80761624277,0.0,2.99103253748,0.0,0.0823529506385,0.0823529506385,0.0823529506385,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.791315486741
 01/06  15:00:00,0.951178449373,4.02396297886,0.0,3.26480749655,0.0,0.089890874552,0.089890874552,0.089890874552,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.732464452297
 01/06  16:00:00,1.0316600539,4.31332793833,0.0,3.54498900553,0.0,0.0976051918286,0.0976051918286,0.0976051918286,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.740164222387
 01/06  17:00:00,1.31225428126,4.95395197804,0.0,4.10920934897,0.0,0.113140031223,0.113140031223,0.113140031223,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.811416884642
 01/06  18:00:00,1.83463904646,6.26877163678,0.0,5.26603600582,0.0,0.144991269006,0.144991269006,0.144991269006,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.962250177505
 01/06  19:00:00,2.16467559157,5.85829002948,0.0,4.71442207535,0.0,0.12980352557,0.12980352557,0.12980352557,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09991297112
 01/06  20:00:00,2.13264071828,5.98906989093,0.0,4.82153904903,0.0,0.132752807711,0.132752807711,0.132752807711,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.12216065605
 01/06  21:00:00,1.98806230792,6.33220751515,0.0,5.24517845423,0.0,0.144416992098,0.144416992098,0.144416992098,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.04009910849
