Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.02780287496,8.68839744542,0.0,8.23640204946,0.0,0.307009269024,0.307009269024,0.307009269024,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.423485906365
 01/01  02:00:00,0.903031587171,8.77926094873,0.0,8.42108089522,0.0,0.313813409396,0.313813409396,0.313813409396,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.331930323304
 01/01  03:00:00,0.855723875796,8.84688134251,0.0,8.51403198511,0.0,0.317587659526,0.317587659526,0.317587659526,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.306903971893
 01/01  04:00:00,0.843468196652,8.89319464102,0.0,8.55369236778,0.0,0.318984391753,0.318984391753,0.318984391753,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.31392210137
 01/01  05:00:00,0.851287680611,9.23376537097,0.0,8.82123479309,0.0,0.328986572164,0.328986572164,0.328986572164,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.387916700431
 01/01  06:00:00,0.91002650662,9.6346432413,0.0,8.90132481383,0.0,0.33204548478,0.33204548478,0.33204548478,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.705851318481
 01/01  07:00:00,1.13168354793,10.0443201359,0.0,8.70972340479,0.0,0.324812861981,0.324812861981,0.324812861981,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30286118768
 01/01  08:00:00,1.4628237171,10.2823444574,0.0,8.77303268523,0.0,0.327113656785,0.327113656785,0.327113656785,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47559037966
 01/01  09:00:00,1.40065472108,9.5106727595,0.0,8.03897335016,0.0,0.299454932748,0.299454932748,0.299454932748,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44318991975
 01/01  10:00:00,1.2357574531,9.4592334972,0.0,8.1188782018,0.0,0.302682967587,0.302682967587,0.302682967587,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31609141435
 01/01  11:00:00,1.22962120681,9.24089307232,0.0,8.05685327167,0.0,0.300337609464,0.300337609464,0.300337609464,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15920527329
 01/01  12:00:00,1.191005078,7.59791834513,0.0,6.5571120488,0.0,0.243795378848,0.243795378848,0.243795378848,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01596416035
 01/01  13:00:00,1.17619234845,7.61776243921,0.0,6.68614937343,0.0,0.249010262282,0.249010262282,0.249010262282,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.907189403768
 01/01  14:00:00,1.1101256396,6.48425521681,0.0,5.62003737234,0.0,0.20890253708,0.20890253708,0.20890253708,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.838949625923
 01/01  15:00:00,1.09360598407,5.9964478335,0.0,5.19416721285,0.0,0.193192837071,0.193192837071,0.193192837071,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.775589590641
 01/01  16:00:00,1.17573742768,6.30515309531,0.0,5.49374151298,0.0,0.204623592752,0.204623592752,0.204623592752,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.783236871911
 01/01  17:00:00,1.46353561712,7.02820842897,0.0,6.12935521461,0.0,0.228503447835,0.228503447835,0.228503447835,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.86552746993
 01/01  18:00:00,2.00153040738,8.47593976296,0.0,7.40811653211,0.0,0.27653069972,0.27653069972,0.27653069972,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.0273377774
 01/01  19:00:00,2.31834428339,7.92434771131,0.0,6.69467079667,0.0,0.249161901849,0.249161901849,0.249161901849,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18572193162
 01/01  20:00:00,2.28635569048,8.03501263455,0.0,6.7700269822,0.0,0.252223025714,0.252223025714,0.252223025714,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.2196154665
