Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.900091807197,6.96968408139,0.0,6.51205269179,0.0,0.179298201261,0.179298201261,0.179298201261,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429121900016
 01/01  02:00:00,0.767665277754,6.84549556901,0.0,6.48114096844,0.0,0.178447099979,0.178447099979,0.178447099979,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.338104870364
 01/01  03:00:00,0.718375571846,6.88487966911,0.0,6.54623511216,0.0,0.180239355575,0.180239355575,0.180239355575,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.312699171449
 01/01  04:00:00,0.705794259375,6.93046287766,0.0,6.58513707791,0.0,0.181310454477,0.181310454477,0.181310454477,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319745627886
 01/01  05:00:00,0.701597046094,6.93053520594,0.0,6.51197047805,0.0,0.179295937647,0.179295937647,0.179295937647,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393950850436
 01/01  06:00:00,0.75324842324,7.10502182696,0.0,6.36565534423,0.0,0.1752674014,0.1752674014,0.1752674014,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711899373735
 01/01  07:00:00,0.973112914782,7.37878348587,0.0,6.03786399487,0.0,0.166242228829,0.166242228829,0.166242228829,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30918394761
 01/01  08:00:00,1.28561584743,6.96023284651,0.0,5.4445297143,0.0,0.149905787113,0.149905787113,0.149905787113,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48198173967
 01/01  09:00:00,1.23071561517,6.18241024567,0.0,4.70397295031,0.0,0.129515826835,0.129515826835,0.129515826835,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44992780577
 01/01  10:00:00,1.06004577366,5.9588907547,0.0,4.61155612813,0.0,0.126971288151,0.126971288151,0.126971288151,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32307074553
 01/01  11:00:00,1.05460034409,5.74312482296,0.0,4.55146371917,0.0,0.125316746743,0.125316746743,0.125316746743,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16682657643
 01/01  12:00:00,1.05272709229,4.88083822808,0.0,3.83235759877,0.0,0.105517393143,0.105517393143,0.105517393143,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02363849333
 01/01  13:00:00,1.01388016529,4.08749086456,0.0,3.14884619908,0.0,0.0866980791254,0.0866980791254,0.0866980791254,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.914221003465
 01/01  14:00:00,0.98123732094,3.77767064172,0.0,2.90609053947,0.0,0.0800142184177,0.0800142184177,0.0800142184177,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.846311883696
 01/01  15:00:00,0.988689151156,4.01591499376,0.0,3.20615592607,0.0,0.0882760041594,0.0882760041594,0.0882760041594,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.783068037674
 01/01  16:00:00,1.0749271755,4.58867876556,0.0,3.77046696031,0.0,0.103813340569,0.103813340569,0.103813340569,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.790037094838
 01/01  17:00:00,1.34895069406,5.04264431072,0.0,4.13748398302,0.0,0.113918524774,0.113918524774,0.113918524774,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.871834583268
 01/01  18:00:00,1.87764136549,6.61855571922,0.0,5.5438956539,0.0,0.152641657826,0.152641657826,0.152641657826,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03417461187
 01/01  19:00:00,2.20191022776,6.05716806231,0.0,4.82063245571,0.0,0.132727846219,0.132727846219,0.132727846219,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19258062359
 01/01  20:00:00,2.16974835374,6.19707952392,0.0,4.92551797062,0.0,0.135615688971,0.135615688971,0.135615688971,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22619136745
 01/01  21:00:00,2.02526688313,6.51704590393,0.0,5.33050081594,0.0,0.146766196981,0.146766196981,0.146766196981,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13961513556
 01/01  22:00:00,1.86790910522,6.93500585389,0.0,5.8661275414,0.0,0.161513760149,0.161513760149,0.161513760149,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02304400097
 01/01  23:00:00,1.55851244682,7.48904985623,0.0,6.60661731157,0.0,0.181901875867,0.181901875867,0.181901875867,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.842768821888
 01/01  24:00:00,1.23990414107,7.71025786636,0.0,7.03443738122,0.0,0.193681167679,0.193681167679,0.193681167679,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.641353448091
 01/02  01:00:00,0.926005108645,8.13473744696,0.0,7.69196946472,0.0,0.211785185786,0.211785185786,0.211785185786,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.414258492649
 01/02  02:00:00,0.810389951104,8.53237735149,0.0,8.17624192715,0.0,0.225118797405,0.225118797405,0.225118797405,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.329885694129
 01/02  03:00:00,0.776520693388,9.0854459304,0.0,8.75288646,0.0,0.240995715544,0.240995715544,0.240995715544,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.306614084896
 01/02  04:00:00,0.770828995965,9.33491914919,0.0,8.99676871917,0.0,0.247710595238,0.247710595238,0.247710595238,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.312570258161
 01/02  05:00:00,0.776505015307,9.73391147201,0.0,9.32961920578,0.0,0.256875062475,0.256875062475,0.256875062475,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.379678388776
 01/02  06:00:00,0.835416145865,10.1982488704,0.0,9.49875101068,0.0,0.261531816625,0.261531816625,0.261531816625,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.672030750756
 01/02  07:00:00,1.07748587255,11.4651074447,0.0,10.2145712389,0.0,0.281240698819,0.281240698819,0.281240698819,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21880066238
 01/02  08:00:00,1.37667385912,10.9250350554,0.0,9.52030107623,0.0,0.262125160717,0.262125160717,0.262125160717,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37101258662
 01/02  09:00:00,1.30629941246,9.9890706943,0.0,8.62726430653,0.0,0.237536925018,0.237536925018,0.237536925018,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33329689819
 01/02  10:00:00,1.09501083655,8.75598862635,0.0,7.51698938793,0.0,0.206967409501,0.206967409501,0.206967409501,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21473535737
 01/02  11:00:00,1.10555514648,9.34986683282,0.0,8.25138664881,0.0,0.227187778426,0.227187778426,0.227187778426,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07364565665
 01/02  12:00:00,1.06513274218,7.15935578019,0.0,6.18930156408,0.0,0.170411802549,0.170411802549,0.170411802549,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.945212080129
 01/02  13:00:00,1.03059412048,6.36386336854,0.0,5.4923537681,0.0,0.151222540406,0.151222540406,0.151222540406,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.847085938423
 01/02  14:00:00,1.0084769264,6.29159393643,0.0,5.47852744773,0.0,0.150841856389,0.150841856389,0.150841856389,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.787798270151
 01/02  15:00:00,1.01883361912,6.4784071478,0.0,5.72202138461,0.0,0.157546044296,0.157546044296,0.157546044296,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.729694733172
 01/02  16:00:00,1.10054985503,6.81194963735,0.0,6.04704430605,0.0,0.166494992951,0.166494992951,0.166494992951,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.736730620884
 01/02  17:00:00,1.37729011438,7.3117528717,0.0,6.47128977792,0.0,0.178175864345,0.178175864345,0.178175864345,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.807137349352
 01/02  18:00:00,1.90854961801,8.94778492699,0.0,7.95044406488,0.0,0.21890184056,0.21890184056,0.21890184056,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.956855408658
